#TFM v1.0.8 by tritical
field = bottom
crc32 = 3df253f2
394 c - [21]
395 p - [11]
396 p - [24]
397 c - [38]
398 c - [27]
399 c - [10]
400 p - [14]
401 p - [15]
402 c - [18]
403 c - [20]
404 c - [9]
405 p - [18]
406 p - [14]
407 c - [22]
408 c - [15]
409 c - [34]
410 p - [19]
411 p - [26]
412 c - [17]
413 c - [10]
414 c - [8]
415 p - [48]
416 p - [24]
417 l + [97]
418 c - [35]
419 c - [14]
420 p - [15]
421 p - [11]
422 c - [22]
423 c - [71]
424 c - [13]
425 p - [15]
426 p - [15]
427 c - [10]
428 c - [5]
429 c - [26]
430 p - [25]
431 p - [12]
432 p - [7]
433 c - [12]
434 c - [18]
435 p - [19]
436 p - [43]
437 c - [25]
438 c - [12]
439 c - [17]
440 p - [21]
441 p - [17]
442 c - [11]
443 c - [19]
444 c - [20]
445 p - [14]
446 p - [15]
447 c - [32]
448 c - [34]
449 c - [19]
450 p - [27]
451 p - [33]
452 c - [10]
453 c - [10]
454 c - [13]
455 p - [26]
456 p - [8]
457 c - [13]
458 c - [20]
459 c - [13]
460 p + [93]
461 p - [13]
462 c - [33]
463 c - [6]
464 c - [7]
465 p - [15]
466 p + [95]
467 l + [95]
468 c - [8]
469 c - [10]
470 p - [17]
471 p - [20]
472 c - [10]
473 c - [10]
474 c - [14]
475 p - [17]
476 p - [22]
477 c - [6]
478 c - [8]
479 c - [10]
480 p - [17]
481 p - [11]
482 c - [21]
483 c - [24]
484 p - [38]
485 p - [22]
486 l + [102]
487 l + [96]
488 c - [21]
489 p - [30]
490 p - [38]
491 c - [19]
492 c - [30]
493 c - [27]
494 p - [28]
495 p - [24]
496 c - [41]
497 c - [46]
498 l + [102]
499 p + [91]
500 c - [43]
501 c - [22]
502 c - [33]
503 c - [37]
504 p + [89]
505 p - [18]
506 l + [96]
507 c - [16]
508 p - [23]
509 p - [43]
510 p - [23]
511 c - [25]
512 c - [33]
513 c - [19]
514 p + [93]
515 p - [16]
516 l + [85]
517 c - [13]
518 c - [22]
519 p - [16]
520 p - [32]
521 c - [29]
522 c - [20]
523 l + [90]
524 p + [89]
525 p - [14]
526 c - [33]
527 c - [17]
528 c - [60]
529 p - [25]
530 p + [91]
531 c - [21]
532 c - [16]
533 c - [16]
534 p - [35]
535 p - [41]
536 c - [41]
537 c - [53]
538 c - [23]
539 p - [24]
540 p - [32]
541 c - [73]
542 l + [92]
543 l + [86]
544 p + [85]
545 p - [35]
546 c - [15]
547 c - [22]
548 c - [17]
549 p - [20]
550 p - [23]
551 c - [15]
552 c - [20]
553 c - [17]
554 p - [20]
555 p - [15]
556 c - [21]
557 c - [17]
558 c - [47]
559 p - [29]
560 p - [19]
561 c - [32]
562 c - [30]
563 c - [35]
564 p - [33]
565 p + [89]
566 c - [32]
567 l + [94]
568 c - [24]
569 p - [28]
570 p - [35]
571 c - [39]
572 c - [24]
573 c - [39]
574 p + [99]
575 p - [21]
576 c - [17]
577 c - [41]
578 c - [18]
579 p - [18]
580 p - [30]
581 c - [19]
582 c - [15]
583 c - [21]
584 p - [27]
585 p - [25]
586 c - [65]
587 c - [41]
588 c - [33]
589 p - [21]
590 p - [26]
591 c - [17]
592 c - [71]
593 c - [66]
594 p + [82]
595 p - [26]
596 c - [16]
597 c - [24]
598 c - [39]
599 p - [24]
600 p - [41]
601 c - [20]
602 c - [15]
603 c - [19]
604 p - [21]
605 p - [50]
606 c - [64]
607 c - [17]
608 c - [19]
609 p - [32]
610 p - [25]
611 c - [80]
612 l + [87]
613 l + [84]
614 p - [80]
615 p - [15]
616 c - [20]
617 c - [31]
618 c - [25]
619 p + [81]
620 p + [81]
621 l + [90]
622 c - [42]
623 l + [86]
624 p + [87]
625 p - [19]
626 c - [19]
627 c - [14]
628 c - [12]
629 p - [38]
630 p - [40]
631 c - [16]
632 c - [26]
633 c - [26]
634 p - [12]
635 p - [15]
636 p - [33]
637 c - [14]
638 c - [22]
639 p - [34]
640 p - [22]
641 l + [92]
642 l + [92]
643 l + [93]
644 p + [92]
645 p - [14]
646 c - [11]
647 c - [14]
648 c - [20]
649 p - [20]
650 p - [18]
651 c - [22]
652 c - [21]
653 c - [9]
654 p - [19]
655 p - [27]
656 c - [34]
657 c - [48]
658 c - [34]
659 p - [16]
660 p - [29]
661 c - [20]
662 c - [34]
663 c - [15]
664 p - [40]
665 p + [92]
666 c - [25]
667 l + [87]
668 l + [88]
669 p + [93]
670 p - [18]
671 c - [17]
672 c - [24]
673 c - [12]
674 p - [23]
675 p - [12]
676 c - [16]
677 c - [24]
678 c - [13]
679 p + [92]
680 p - [13]
681 c - [18]
682 c - [22]
683 c - [7]
684 p - [8]
685 p - [22]
686 c - [15]
687 l + [92]
688 c - [10]
689 p - [15]
690 p - [13]
691 c - [13]
692 c - [18]
693 c - [16]
694 p - [14]
695 p - [15]
696 c - [21]
697 c - [27]
698 c - [22]
699 p - [22]
700 p - [28]
701 c - [13]
702 c - [21]
703 c - [20]
704 p - [14]
705 p - [24]
706 c - [19]
707 c - [20]
708 c - [44]
709 p - [24]
710 p - [20]
711 c - [10]
712 c - [15]
713 l + [92]
714 p - [16]
715 p - [13]
716 c - [15]
717 c - [10]
718 c - [21]
719 p - [17]
720 p - [18]
721 c - [9]
722 c - [15]
723 c - [15]
724 p - [12]
725 p - [8]
726 c - [11]
727 c - [10]
728 c - [49]
729 p - [37]
730 p + [98]
731 p - [20]
732 c - [30]
733 c - [6]
734 p - [51]
735 p - [25]
736 c - [29]
737 c - [27]
738 p - [28]
739 p - [18]
740 c - [25]
741 c - [22]
742 c - [9]
743 p - [31]
744 p - [8]
745 c - [10]
746 c - [17]
747 c - [10]
748 p - [11]
749 c - [22]
750 c - [12]
751 c - [9]
752 p - [17]
753 c - [15]
754 c - [24]
755 c - [8]
756 p - [15]
757 c - [8]
758 c - [23]
759 p - [16]
760 c - [25]
761 c - [11]
762 p - [15]
763 p - [10]
764 p - [13]
765 c - [13]
766 c - [6]
767 c - [22]
768 p - [38]
769 p - [10]
770 c - [7]
771 c - [22]
772 c - [15]
773 p + [96]
774 p - [40]
775 l + [91]
776 c - [5]
777 c - [9]
778 p - [22]
779 p - [24]
780 c - [9]
781 c - [11]
782 c - [17]
783 c - [17]
784 c - [14]
785 c - [35]
786 l + [84]
787 c - [10]
788 c - [35]
789 p - [13]
790 c - [25]
791 c - [27]
792 c - [27]
793 p - [30]
794 c - [17]
795 c - [10]
796 c - [19]
797 c - [20]
798 p - [28]
799 c - [18]
800 l + [103]
801 l + [90]
802 c - [14]
803 p - [29]
804 c - [27]
805 p - [12]
806 c - [14]
807 c - [27]
808 p - [25]
809 c - [14]
810 p - [8]
811 c - [19]
812 l + [96]
813 c - [19]
814 c - [50]
815 p - [18]
816 c - [23]
817 c - [41]
818 c - [9]
819 c - [26]
820 l + [96]
821 c - [21]
822 c - [45]
823 p - [24]
824 c - [11]
825 c - [47]
826 c - [16]
827 c - [23]
828 c - [10]
829 c - [26]
830 c - [18]
831 c - [25]
832 c - [18]
833 c - [34]
834 c - [17]
835 c - [24]
836 p - [26]
837 c - [22]
838 c - [16]
839 c - [22]
840 c - [22]
841 p - [10]
842 c - [6]
843 c - [26]
844 c - [26]
845 c - [33]
846 c - [36]
847 c - [68]
848 c - [27]
849 c - [34]
850 l + [96]
851 l + [87]
852 c - [58]
853 p - [65]
854 c - [38]
855 c - [23]
856 c - [18]
857 p - [11]
858 c - [7]
859 c - [15]
860 c - [18]
861 c - [24]
862 l + [89]
863 c - [9]
864 c - [6]
865 c - [34]
866 c - [10]
867 c - [23]
868 l + [84]
869 c - [11]
870 l + [93]
871 c - [10]
872 p - [18]
873 c - [25]
874 c - [8]
875 l + [96]
876 c - [12]
877 c - [8]
878 c - [11]
879 p - [8]
880 c - [8]
881 c - [18]
882 c - [24]
883 c - [14]
884 c - [21]
885 c - [20]
886 c - [25]
887 c - [6]
888 p - [22]
889 c - [11]
890 c - [12]
891 c - [18]
892 c - [10]
893 p - [12]
894 l + [96]
895 l + [100]
896 p - [13]
897 c - [23]
898 c - [9]
899 c - [12]
900 c - [13]
901 c - [12]
902 c - [5]
903 c - [35]
904 c - [14]
905 c - [12]
906 c - [17]
907 c - [12]
908 c - [17]
909 c - [26]
910 c - [31]
911 p - [12]
912 c - [36]
913 c - [14]
914 c - [31]
915 l + [96]
916 p + [96]
917 l + [95]
918 c - [58]
919 l + [96]
920 c - [9]
921 c - [10]
922 c - [12]
923 c - [7]
924 p - [21]
925 p - [18]
926 c - [11]
927 c - [12]
928 c - [23]
929 p - [17]
930 p - [26]
931 c - [21]
932 c - [20]
933 c - [15]
934 p - [28]
935 p - [17]
936 l + [87]
937 c - [20]
938 c - [63]
939 p - [74]
940 p - [24]
941 c - [28]
942 c - [27]
943 c - [20]
944 p + [84]
945 p - [78]
946 p + [84]
947 c - [31]
948 c - [26]
949 p + [83]
950 p + [87]
951 c - [14]
952 c - [13]
953 c - [16]
954 p + [81]
955 p + [93]
956 l + [92]
957 l + [91]
958 c - [23]
959 p + [91]
960 p + [90]
961 l + [96]
962 c - [15]
963 c - [12]
964 p - [18]
965 p - [22]
966 c - [21]
967 c - [14]
968 c - [12]
969 p - [26]
970 p - [22]
971 c - [32]
972 l + [88]
973 l + [92]
974 c - [36]
975 c - [24]
976 p - [28]
977 p - [26]
978 p - [38]
979 c - [22]
980 l + [94]
981 p - [26]
982 p + [104]
983 c - [29]
984 c - [13]
985 c - [36]
986 p - [22]
987 p - [16]
988 c - [12]
989 c - [10]
990 c - [19]
991 p - [31]
992 p - [45]
993 c - [28]
994 c - [12]
995 c - [33]
996 p - [25]
997 p - [23]
998 c - [36]
999 c - [29]
1000 c - [29]
1001 p - [39]
1002 p - [33]
1003 c - [15]
1004 c - [26]
1005 c - [26]
1006 p - [29]
1007 p - [24]
1008 c - [28]
1009 c - [44]
1010 c - [34]
1011 p - [21]
1012 p - [33]
1013 c - [29]
1014 c - [34]
1015 c - [19]
1016 p - [27]
1017 p - [28]
1018 l + [94]
1019 c - [63]
1020 c - [26]
1021 p - [28]
1022 p - [26]
1023 c - [26]
1024 c - [14]
1025 c - [40]
1026 c - [34]
1027 c - [44]
1028 p - [52]
1029 p - [31]
1030 c - [29]
1031 c - [22]
1032 c - [30]
1033 p - [21]
1034 p - [32]
1035 c - [25]
1036 c - [18]
1037 c - [30]
1038 p + [97]
1039 u - [16]
1040 p - [16]
1041 c - [12]
1042 c - [9]
1043 u - [19]
1044 p - [19]
1045 c - [14]
1046 c - [18]
1047 c - [13]
1048 p - [17]
1049 p - [10]
1050 c - [30]
1051 l + [92]
1052 c - [10]
1053 p - [10]
1054 p - [12]
1055 c - [5]
1056 c - [30]
1057 c - [23]
1058 p - [10]
1059 p - [12]
1060 c - [17]
1061 c - [22]
1062 c - [12]
1063 p - [14]
1064 p - [15]
1065 c - [28]
1066 c - [12]
1067 l + [95]
1068 p + [89]
1069 p + [96]
1070 c - [10]
1071 l + [92]
1072 c - [8]
1073 p + [89]
1074 p - [16]
1075 c - [8]
1076 c - [9]
1077 c - [10]
1078 c - [24]
1079 c - [18]
1080 p - [41]
1081 p - [24]
1082 l + [98]
1083 c - [23]
1084 c - [14]
1085 p - [23]
1086 p - [28]
1087 c - [16]
1088 l + [82]
1089 c - [24]
1090 p - [33]
1091 p - [27]
1092 c - [23]
1093 c - [33]
1094 c - [11]
1095 p - [16]
1096 p - [17]
1097 c - [32]
1098 c - [21]
1099 c - [24]
1100 p - [22]
1101 p - [25]
1102 c - [11]
1103 c - [15]
1104 c - [17]
1105 p - [13]
1106 p - [36]
1107 c - [21]
1108 c - [12]
1109 c - [16]
1110 p - [16]
1111 p - [13]
1112 l + [98]
1113 l + [104]
1114 u - [14]
1115 p - [14]
1116 p - [11]
1117 c - [15]
1118 c - [12]
1119 c - [33]
1120 p - [17]
1121 p - [34]
1122 c - [17]
1123 c - [20]
1124 c - [20]
1125 p - [19]
1126 p - [33]
1127 c - [21]
1128 c - [14]
1129 c - [19]
1130 p - [13]
1131 p - [25]
1132 c - [35]
1133 c - [16]
1134 l + [81]
1135 p + [82]
1136 p + [91]
1137 l + [90]
1138 c - [33]
1139 c - [41]
1140 c - [46]
1141 c - [28]
1142 c - [42]
1143 c - [24]
1144 c - [19]
1145 c - [27]
1146 l + [96]
1147 l + [96]
1148 c - [19]
1149 c - [22]
1150 c - [40]
1151 c - [25]
1152 l + [86]
1153 c - [74]
1154 c - [32]
1155 c - [29]
1156 c - [23]
1157 l + [94]
1158 l + [103]
1159 p - [33]
1160 c - [18]
1161 c - [22]
1162 c - [37]
1163 c - [34]
1164 p - [31]
1165 c - [15]
1166 c - [49]
1167 c - [36]
1168 c - [41]
1169 c - [36]
1170 c - [41]
1171 c - [33]
1172 c - [45]
1173 c - [34]
1174 c - [41]
1175 c - [24]
1176 c - [32]
1177 l + [99]
1178 c - [12]
1179 c - [34]
1180 c - [40]
1181 c - [39]
1182 c - [33]
1183 c - [31]
1184 c - [41]
1185 c - [34]
1186 c - [15]
1187 c - [30]
1188 c - [34]
1189 c - [26]
1190 c - [41]
1191 c - [52]
1192 c - [22]
1193 c - [26]
1194 c - [14]
1195 c - [51]
1196 c - [39]
1197 c - [31]
1198 l + [81]
1199 c - [15]
1200 p - [66]
1201 p + [82]
1202 l + [82]
1203 c - [13]
1204 c - [19]
1205 p - [32]
1206 p - [40]
1207 c - [49]
1208 c - [35]
1209 c - [25]
1210 p - [52]
1211 p - [19]
1212 c - [26]
1213 c - [23]
1214 c - [24]
1215 p - [54]
1216 p - [42]
1217 c - [12]
1218 p - [15]
1219 c - [16]
1220 p - [18]
1221 p - [19]
1222 c - [21]
1223 c - [9]
1224 c - [19]
1225 p - [25]
1226 p - [55]
1227 c - [18]
1228 c - [21]
1229 c - [19]
1230 p - [24]
1231 p - [14]
1232 c - [35]
1233 c - [49]
1234 l + [96]
1235 p + [96]
1236 p + [90]
1237 l + [86]
1238 c - [6]
1239 c - [20]
1240 p - [6]
1241 p - [28]
1242 c - [5]
1243 c - [10]
1244 c - [5]
1245 p - [12]
1246 p + [96]
1247 c - [15]
1248 c - [37]
1249 c - [28]
1250 p - [25]
1251 p - [80]
1252 c - [14]
1253 p - [13]
1254 c - [9]
1255 c - [15]
1256 p - [15]
1257 c - [21]
1258 c - [8]
1259 c - [28]
1260 p - [17]
1261 p - [15]
1262 c - [20]
1263 c - [19]
1264 c - [6]
1265 p - [18]
1266 p - [14]
1267 c - [1]
1268 c - [36]
1269 c - [9]
1270 p - [19]
1271 p - [41]
1272 c - [20]
1273 c - [8]
1274 c - [57]
1275 p - [45]
1276 p - [8]
1277 c - [15]
1278 c - [15]
1279 c - [45]
1280 p - [47]
1281 p - [16]
1282 c - [13]
1283 c - [17]
1284 c - [5]
1285 p - [16]
1286 p - [19]
1287 c - [33]
1288 l + [96]
1289 c - [30]
1290 p - [40]
1291 p - [23]
1292 c - [35]
1293 c - [25]
1294 c - [15]
1295 c - [13]
1296 c - [11]
1297 p - [4]
1298 p - [12]
1299 p - [43]
1300 p - [44]
1301 c - [21]
1302 c - [50]
1303 u - [8]
1304 p - [8]
1305 c - [5]
1306 c - [6]
1307 c - [12]
1308 p - [14]
1309 p - [9]
1310 c - [9]
1311 l + [83]
1312 l + [83]
1313 p + [92]
1314 p - [12]
1315 l + [89]
1316 c - [9]
1317 c - [15]
1318 p - [13]
1319 p - [35]
1320 l + [84]
1321 c - [9]
1322 c - [11]
1323 p - [4]
1324 u - [17]
1325 c - [10]
1326 c - [7]
1327 c - [5]
1328 p - [7]
1329 p - [12]
1330 l + [84]
1331 l + [93]
1332 c - [14]
1333 p - [8]
1334 p - [31]
1335 c - [20]
1336 c - [12]
1337 c - [21]
1338 p - [25]
1339 p - [7]
1340 c - [18]
1341 c - [17]
1342 c - [7]
1343 p - [6]
1344 p - [15]
1345 p - [10]
1346 c - [11]
1347 c - [9]
1348 p - [15]
1349 p - [29]
1350 c - [11]
1351 c - [8]
1352 c - [6]
1353 p - [10]
1354 p - [66]
1355 c - [6]
1356 c - [6]
1357 c - [53]
1358 p - [4]
1359 p - [10]
1360 c - [4]
1361 c - [4]
1362 c - [6]
1363 p - [7]
1364 p - [6]
1365 c - [35]
1366 c - [3]
1367 c - [30]
1368 p - [16]
1369 p - [27]
1370 c - [12]
1371 c - [18]
1372 c - [5]
1373 p - [4]
1374 p - [11]
1375 c - [4]
1376 c - [7]
1377 p - [7]
1378 p - [23]
1379 c - [8]
1380 c - [10]
1381 c - [6]
1382 p - [7]
1383 p - [25]
1384 c - [5]
1385 c - [4]
1386 c - [12]
1387 p - [15]
1388 p - [17]
1389 c - [31]
1390 c - [13]
1391 c - [5]
1392 p - [10]
1393 p - [27]
1394 c - [7]
1395 c - [3]
1396 c - [4]
1397 p - [12]
1398 c - [7]
1399 c - [11]
1400 c - [12]
1401 c - [4]
1402 p - [7]
1403 c - [20]
1404 c - [17]
1405 c - [20]
1406 c - [9]
1407 p + [101]
1408 p - [12]
1409 c - [18]
1410 p - [17]
1411 c - [24]
1412 c - [14]
1413 p - [11]
1414 c - [12]
1415 c - [18]
1416 c - [28]
1417 c - [18]
1418 p - [16]
1419 c - [5]
1420 c - [37]
1421 c - [22]
1422 p - [39]
1423 p - [41]
1424 c - [30]
1425 c - [35]
1426 c - [28]
1427 p - [42]
1428 p - [27]
1429 c - [33]
1430 c - [39]
1431 c - [15]
1432 p - [20]
1433 p - [25]
1434 c - [24]
1435 c - [26]
1436 c - [17]
1437 p - [10]
1438 c - [37]
1439 c - [25]
1440 c - [29]
1441 c - [19]
1442 c - [47]
1443 l + [99]
1444 c - [24]
1445 c - [17]
1446 c - [15]
1447 c - [28]
1448 c - [22]
1449 c - [21]
1450 c - [80]
1451 l + [90]
1452 l + [92]
1453 c - [27]
1454 c - [36]
1455 c - [26]
1456 l + [81]
1457 c - [24]
1458 c - [29]
1459 c - [26]
1460 c - [24]
1461 c - [31]
1462 l + [84]
1463 c - [38]
1464 c - [29]
1465 c - [31]
1466 p - [31]
1467 c - [31]
1468 p - [31]
1469 c - [35]
1470 c - [23]
1471 c - [26]
1472 c - [29]
1473 c - [29]
1474 l + [83]
1475 l + [83]
1476 l + [83]
1477 l + [91]
1478 c - [27]
1479 c - [27]
1480 c - [9]
1481 c - [25]
1482 p - [21]
1483 p + [85]
1484 c - [15]
1485 c - [11]
1486 c - [25]
1487 p - [28]
1488 p - [35]
1489 c - [32]
1490 c - [18]
1491 c - [21]
1492 p - [32]
1493 p - [18]
1494 l + [96]
1495 l + [106]
1496 c - [14]
1497 p - [17]
1498 p - [14]
1499 c - [24]
1500 c - [14]
1501 c - [24]
1502 p - [25]
1503 p - [25]
1504 c - [14]
1505 c - [21]
1506 c - [7]
1507 p - [6]
1508 p - [5]
1509 c - [12]
1510 c - [29]
1511 c - [14]
1512 p - [14]
1513 p + [81]
1514 c - [6]
1515 l + [87]
1516 c - [13]
1517 p - [13]
1518 p - [25]
1519 c - [10]
1520 c - [7]
1521 c - [8]
1522 p - [14]
1523 p + [87]
1524 c - [11]
1525 c - [31]
1526 l + [96]
1527 p - [15]
1528 p - [17]
1529 c - [31]
1530 c - [13]
1531 c - [8]
1532 p - [20]
1533 p - [44]
1534 p - [24]
1535 c - [22]
1536 c - [30]
1537 p - [13]
1538 p - [33]
1539 c - [26]
1540 c - [37]
1541 l + [84]
1542 p - [7]
1543 p - [11]
1544 c - [17]
1545 c - [25]
1546 c - [14]
1547 p - [14]
1548 p - [14]
1549 c - [13]
1550 c - [11]
1551 l + [97]
1552 p - [20]
1553 p - [12]
1554 c - [13]
1555 c - [19]
1556 c - [16]
1557 p - [13]
1558 p - [4]
1559 c - [13]
1560 c - [9]
1561 c - [24]
1562 p - [21]
1563 p - [12]
1564 p - [17]
1565 c - [12]
1566 c - [9]
1567 p - [16]
1568 p - [10]
1569 c - [15]
1570 c - [16]
1571 l + [94]
1572 p - [10]
1573 p - [13]
1574 c - [16]
1575 c - [29]
1576 c - [18]
1577 p - [22]
1578 p - [12]
1579 p - [24]
1580 c - [18]
1581 c - [18]
1582 p - [21]
1583 p - [15]
1584 c - [9]
1585 c - [15]
1586 c - [12]
1587 p - [12]
1588 p - [22]
1589 l + [89]
1590 u - [22]
1591 p - [22]
1592 c - [14]
1593 c - [16]
1594 c - [21]
1595 p - [19]
1596 p - [20]
1597 c - [22]
1598 c - [13]
1599 c - [20]
1600 p - [15]
1601 p - [9]
1602 c - [11]
1603 c - [22]
1604 c - [17]
1605 p - [28]
1606 p - [14]
1607 l + [96]
1608 l + [95]
1609 c - [13]
1610 p - [21]
1611 p - [34]
1612 c - [11]
1613 c - [33]
1614 c - [20]
1615 p - [17]
1616 p - [15]
1617 c - [19]
1618 c - [17]
1619 c - [25]
1620 p - [28]
1621 p - [19]
1622 p - [27]
1623 c - [11]
1624 c - [27]
1625 p - [25]
1626 p - [22]
1627 l + [96]
1628 l + [91]
1629 c - [30]
1630 p - [22]
1631 p - [23]
1632 c - [29]
1633 c - [37]
1634 c - [24]
1635 p - [38]
1636 p - [12]
1637 c - [43]
1638 c - [33]
1639 c - [46]
1640 p - [44]
1641 p - [17]
1642 p - [30]
1643 c - [18]
1644 c - [33]
1645 p - [26]
1646 p - [19]
1647 c - [23]
1648 c - [17]
1649 c - [19]
1650 p - [17]
1651 p - [13]
1652 c - [35]
1653 c - [33]
1654 c - [40]
1655 p - [34]
1656 p - [31]
1657 c - [24]
1658 c - [51]
