#TFM v1.0.8 by tritical
field = bottom
crc32 = 856f302e
209 c - [10]
210 p - [2]
211 p - [14]
212 c - [10]
213 c - [5]
214 c - [7]
215 p - [4]
216 p - [8]
217 c - [3]
218 c - [2]
219 c - [6]
220 p - [5]
221 p - [5]
222 c - [3]
223 c - [14]
224 c - [16]
225 p - [11]
226 p - [11]
227 c - [8]
228 c - [19]
229 c - [18]
230 p - [12]
231 p - [9]
232 c - [8]
233 c - [11]
234 c - [11]
235 p - [11]
236 p - [5]
237 c - [8]
238 c - [18]
239 c - [17]
240 p - [7]
241 p - [17]
242 c - [10]
243 c - [5]
244 c - [19]
245 p - [36]
246 p - [13]
247 c - [23]
248 c - [7]
249 c - [11]
250 p - [13]
251 c - [5]
252 p - [4]
253 c - [10]
254 c - [2]
255 p - [2]
256 p - [15]
257 c - [2]
258 c - [4]
259 c - [2]
260 p - [1]
261 c - [10]
262 c - [1]
263 c - [9]
264 c - [24]
265 p - [5]
266 p - [19]
267 c - [4]
268 c - [1]
269 c - [5]
270 p - [2]
271 p - [2]
272 c - [2]
273 c - [2]
274 c - [4]
275 p - [3]
276 p - [2]
277 c - [5]
278 c - [1]
279 c - [0]
280 p - [2]
281 p - [10]
282 c - [2]
283 c - [13]
284 c - [5]
285 p - [3]
286 p - [4]
287 c - [0]
288 c - [4]
289 c - [1]
290 p - [2]
291 p - [2]
292 c - [6]
293 c - [2]
294 c - [4]
295 p - [2]
296 p - [7]
297 c - [5]
298 c - [12]
299 c - [15]
300 p - [4]
301 p - [3]
302 c - [7]
303 c - [0]
304 c - [0]
305 p - [4]
306 p - [2]
307 p - [6]
308 c - [3]
309 c - [10]
310 p - [3]
311 p - [3]
312 c - [9]
313 c - [2]
314 c - [1]
315 p - [3]
316 p - [3]
317 c - [5]
318 c - [9]
319 c - [9]
320 p - [5]
321 p - [3]
322 c - [5]
323 c - [9]
324 c - [15]
325 p - [12]
326 p - [17]
327 c - [18]
328 c - [9]
329 l + [96]
330 p - [16]
331 p - [21]
332 c - [18]
333 c - [12]
334 c - [3]
335 p - [10]
336 p - [3]
337 c - [14]
338 c - [16]
339 c - [25]
340 p - [3]
341 p - [5]
342 c - [9]
343 c - [21]
344 c - [8]
345 p - [12]
346 p - [11]
347 c - [7]
348 c - [3]
349 c - [10]
350 p - [9]
351 p - [8]
352 c - [1]
353 c - [6]
354 c - [5]
355 p - [2]
356 p - [2]
357 c - [4]
358 c - [7]
359 c - [4]
360 p - [6]
361 p - [1]
362 c - [11]
363 c - [29]
364 c - [17]
365 p - [10]
366 p - [21]
367 c - [6]
368 c - [1]
369 c - [3]
370 p - [6]
371 p - [5]
372 c - [21]
373 c - [12]
374 c - [16]
375 p - [11]
376 p - [8]
377 c - [12]
378 c - [6]
379 c - [17]
380 p - [14]
381 c - [9]
382 c - [14]
383 c - [5]
384 c - [4]
385 p - [13]
386 p - [16]
387 c - [11]
388 c - [8]
389 c - [5]
390 p - [2]
391 p - [5]
392 c - [7]
393 c - [1]
394 l + [96]
395 p - [5]
396 p - [2]
397 c - [2]
398 c - [4]
399 c - [8]
400 p - [2]
401 c - [4]
402 c - [4]
403 c - [3]
404 c - [2]
405 p - [1]
406 c - [12]
407 c - [4]
408 c - [8]
409 c - [25]
410 p - [10]
411 c - [2]
412 c - [9]
413 c - [7]
414 c - [6]
415 p - [13]
416 l + [96]
417 c - [11]
418 l + [97]
419 c - [13]
420 p - [7]
421 c - [12]
422 c - [10]
423 c - [3]
424 l + [96]
425 p - [4]
426 c - [4]
427 c - [15]
428 c - [6]
429 c - [9]
430 c - [13]
431 c - [5]
432 c - [7]
433 c - [4]
434 c - [3]
435 p - [2]
436 c - [5]
437 c - [6]
438 c - [5]
439 c - [2]
440 p - [1]
441 c - [3]
442 l + [96]
443 l + [96]
444 c - [4]
445 p - [11]
446 c - [11]
447 c - [21]
448 l + [91]
449 p - [27]
450 p + [99]
451 c - [13]
452 c - [23]
453 c - [16]
454 p - [34]
455 p - [8]
456 c - [10]
457 c - [27]
458 c - [38]
459 p - [21]
460 p - [18]
461 c - [14]
462 c - [57]
463 c - [24]
464 p - [32]
465 p - [35]
466 c - [27]
467 c - [23]
468 c - [68]
469 p - [39]
470 p - [17]
471 c - [38]
472 c - [25]
473 c - [35]
474 p - [39]
475 p - [26]
476 c - [41]
477 c - [14]
478 c - [19]
479 p - [39]
480 p - [17]
481 c - [27]
482 c - [18]
483 c - [32]
484 p - [19]
485 p - [14]
486 c - [28]
487 c - [25]
488 c - [21]
489 p - [17]
490 p - [13]
491 c - [15]
492 c - [18]
493 c - [29]
494 p - [34]
495 p - [43]
496 c - [39]
497 c - [15]
498 c - [17]
499 p - [10]
500 p - [27]
501 c - [32]
502 c - [16]
503 c - [17]
504 p - [42]
505 p - [14]
506 c - [20]
507 c - [78]
508 c - [27]
509 p - [39]
510 p - [13]
511 c - [12]
512 c - [26]
513 c - [35]
514 p - [49]
515 p - [36]
516 c - [11]
517 c - [55]
518 c - [8]
519 p - [13]
520 p - [31]
521 c - [35]
522 c - [29]
523 c - [32]
524 p - [38]
525 p - [22]
526 c - [13]
527 c - [38]
528 c - [21]
529 p - [13]
530 p - [8]
531 c - [12]
532 c - [8]
533 c - [14]
534 p - [32]
535 p - [17]
536 c - [18]
537 c - [21]
538 c - [19]
539 p - [34]
540 p - [30]
541 c - [9]
542 c - [22]
543 c - [60]
544 p - [36]
545 p - [16]
546 c - [27]
547 c - [17]
548 c - [25]
549 p - [16]
550 p - [49]
551 c - [42]
552 c - [16]
553 c - [22]
554 p - [27]
555 p - [18]
556 c - [8]
557 c - [64]
558 c - [38]
559 p - [28]
560 p - [26]
561 c - [31]
562 c - [9]
563 c - [9]
564 p - [29]
565 p - [27]
566 c - [24]
567 c - [41]
568 c - [16]
569 p - [12]
570 p - [34]
571 c - [11]
572 c - [22]
573 c - [50]
574 p - [24]
575 p - [16]
576 c - [30]
577 c - [22]
578 c - [10]
579 p - [24]
580 p - [12]
581 c - [26]
582 c - [22]
583 c - [19]
584 p - [7]
585 p - [18]
586 c - [32]
587 c - [22]
588 c - [22]
589 p - [20]
590 p - [14]
591 c - [28]
592 c - [26]
593 c - [18]
594 p - [19]
595 c - [21]
596 c - [10]
597 p - [7]
598 p - [15]
599 c - [11]
600 c - [7]
601 c - [33]
602 p - [15]
603 p - [17]
604 c - [41]
605 c - [6]
606 c - [15]
607 p - [11]
608 p - [9]
609 c - [16]
610 c - [7]
611 c - [10]
612 p - [24]
613 p - [14]
614 c - [7]
615 c - [24]
616 c - [10]
617 p - [19]
618 p - [6]
619 c - [26]
620 c - [16]
621 c - [31]
622 p - [9]
623 p - [13]
624 c - [25]
625 c - [16]
626 c - [6]
627 p - [15]
628 p - [12]
629 c - [11]
630 c - [23]
631 c - [5]
632 p - [9]
633 p - [15]
634 c - [7]
635 c - [9]
636 c - [10]
637 p - [13]
638 p - [50]
639 c - [6]
640 c - [16]
641 c - [13]
642 p - [28]
643 p - [11]
644 c - [49]
645 c - [15]
646 c - [9]
647 p - [10]
648 p - [16]
649 c - [22]
650 c - [6]
651 c - [52]
652 p - [21]
653 p - [37]
654 c - [9]
655 c - [13]
656 c - [14]
657 p - [12]
658 p - [17]
659 c - [9]
660 c - [7]
661 c - [24]
662 p + [96]
663 p - [19]
664 c - [34]
665 c - [22]
666 c - [20]
667 p - [24]
668 p - [24]
669 c - [26]
670 c - [17]
671 c - [18]
672 p - [29]
673 p - [9]
674 c - [13]
675 c - [3]
676 c - [38]
677 p - [54]
678 p - [15]
679 c - [25]
680 c - [14]
681 c - [18]
682 p - [37]
683 p - [19]
684 c - [8]
685 c - [21]
686 c - [26]
687 p - [29]
688 p - [11]
689 c - [19]
690 c - [25]
691 c - [38]
692 p - [28]
693 p - [44]
694 c - [27]
695 c - [26]
696 c - [24]
697 p - [13]
698 p - [66]
699 c - [3]
700 c - [15]
701 c - [68]
702 p - [40]
703 p - [20]
704 c - [6]
705 c - [19]
706 c - [9]
707 p - [11]
708 p - [21]
709 c - [7]
710 c - [9]
711 c - [19]
712 p - [11]
713 p - [33]
714 c - [4]
715 c - [4]
716 c - [27]
717 p - [18]
718 p - [16]
719 p - [67]
720 c - [8]
721 c - [25]
722 p - [39]
723 p - [27]
724 c - [15]
725 c - [23]
726 c - [11]
727 p - [28]
728 p - [45]
729 c - [10]
730 c - [10]
731 c - [12]
732 p - [29]
733 p - [27]
734 c - [14]
735 c - [8]
736 c - [10]
737 p - [5]
738 p - [10]
739 c - [54]
740 c - [31]
741 c - [9]
742 p - [8]
743 c - [10]
744 c - [12]
745 p - [12]
746 p - [24]
747 c - [6]
748 c - [12]
749 c - [4]
750 p - [28]
751 p - [10]
752 c - [4]
753 c - [3]
754 c - [9]
755 p - [24]
756 p - [16]
757 c - [31]
758 c - [29]
759 c - [10]
760 p - [15]
761 p - [28]
762 c - [30]
763 c - [19]
764 c - [18]
765 p - [29]
766 p - [37]
767 c - [7]
768 c - [12]
769 c - [21]
770 p - [14]
771 p - [21]
772 c - [16]
773 c - [11]
774 c - [16]
775 p - [21]
776 p - [41]
777 p - [28]
778 c - [12]
779 c - [10]
780 p - [35]
781 p - [16]
782 c - [17]
783 c - [8]
784 c - [9]
785 p - [35]
786 p - [27]
787 c - [30]
788 c - [17]
789 c - [26]
790 p - [18]
791 p - [23]
792 c - [23]
793 c - [33]
794 c - [10]
795 p - [15]
796 p - [22]
797 p - [16]
798 c - [7]
799 c - [23]
800 p - [17]
801 p - [26]
802 c - [20]
803 c - [19]
804 c - [9]
805 p - [22]
806 p - [16]
807 c - [12]
808 c - [18]
809 c - [20]
810 p - [22]
811 p - [12]
812 c - [34]
813 c - [14]
814 c - [26]
815 p + [96]
816 p - [41]
817 c - [18]
818 c - [7]
819 c - [8]
820 p - [12]
821 p - [13]
822 c - [5]
823 c - [5]
824 c - [30]
825 p - [13]
826 p - [3]
827 c - [28]
828 c - [10]
829 c - [9]
830 p - [8]
831 p - [13]
832 p - [9]
833 c - [11]
834 c - [9]
835 p - [21]
836 p - [12]
837 c - [10]
838 c - [19]
839 c - [38]
840 p - [29]
841 p - [10]
842 c - [16]
843 c - [28]
844 c - [7]
845 p - [12]
846 p - [12]
847 c - [5]
848 c - [16]
849 c - [8]
850 p - [25]
851 p - [25]
852 c - [8]
853 c - [19]
854 c - [7]
855 p - [10]
856 p - [31]
857 p - [10]
858 c - [7]
859 c - [5]
860 p - [21]
861 p - [25]
862 c - [12]
863 c - [18]
864 c - [3]
865 p - [14]
866 p - [29]
867 c - [19]
868 c - [14]
869 c - [33]
870 p - [17]
871 p - [59]
872 c - [5]
873 c - [24]
874 c - [11]
875 p - [15]
876 p - [23]
877 l + [94]
878 c - [22]
879 c - [16]
880 p - [20]
881 p - [23]
882 c - [7]
883 c - [23]
884 c - [16]
885 p - [23]
886 p - [51]
887 c - [12]
888 c - [28]
889 c - [26]
890 p - [8]
891 p - [30]
892 c - [27]
893 c - [9]
894 c - [25]
895 p - [11]
896 p - [12]
897 c - [25]
898 c - [8]
899 c - [20]
900 p - [23]
901 p - [13]
902 p - [20]
903 c - [15]
904 c - [24]
905 p - [8]
906 p - [17]
907 c - [21]
908 c - [11]
909 c - [12]
910 p - [34]
911 p - [11]
912 c - [7]
913 c - [12]
914 c - [30]
915 p - [36]
916 p - [37]
917 c - [30]
918 c - [6]
919 c - [17]
920 p - [28]
921 p - [18]
922 c - [12]
923 c - [14]
924 c - [30]
925 p - [28]
926 p - [11]
927 c - [20]
928 c - [19]
929 c - [11]
930 p - [34]
931 p - [14]
932 c - [26]
933 c - [15]
934 c - [14]
935 p - [25]
936 p - [36]
937 c - [20]
938 c - [14]
939 c - [18]
940 p - [34]
941 p - [29]
942 c - [17]
943 c - [14]
944 c - [20]
945 p - [9]
946 p - [27]
947 c - [10]
948 c - [19]
949 c - [14]
950 p - [28]
951 p - [16]
952 c - [19]
953 c - [14]
954 c - [19]
955 c - [9]
956 c - [8]
957 c - [6]
958 p - [9]
959 p - [9]
960 c - [6]
961 c - [13]
962 c - [4]
963 p - [5]
964 p - [11]
965 c - [7]
966 c - [6]
967 c - [17]
968 p - [9]
969 c - [18]
970 c - [4]
971 c - [7]
972 c - [6]
973 p - [4]
974 p - [10]
975 c - [9]
976 c - [9]
977 c - [4]
978 c - [7]
979 p - [6]
980 c - [3]
981 c - [20]
982 c - [9]
983 p - [10]
984 p - [8]
985 c - [9]
986 c - [21]
987 c - [10]
988 p - [6]
989 p - [12]
990 c - [12]
991 c - [39]
992 c - [22]
993 p - [36]
994 c - [29]
995 c - [7]
996 c - [31]
997 c - [8]
998 p - [12]
999 p - [11]
1000 c - [2]
1001 c - [20]
1002 c - [7]
1003 p - [9]
1004 p - [7]
1005 c - [11]
1006 c - [6]
1007 c - [1]
1008 p - [3]
1009 p - [8]
1010 c - [9]
1011 c - [3]
1012 c - [12]
1013 p - [2]
1014 p - [15]
1015 c - [5]
1016 c - [13]
1017 c - [10]
1018 p - [8]
1019 p - [4]
1020 c - [15]
1021 c - [6]
1022 c - [7]
1023 p - [8]
1024 p - [9]
1025 c - [8]
1026 c - [6]
1027 c - [21]
1028 p - [22]
1029 p - [7]
1030 c - [4]
1031 c - [12]
1032 c - [7]
1033 p - [13]
1034 p - [9]
1035 c - [5]
1036 c - [13]
1037 c - [4]
1038 p - [4]
1039 p - [7]
1040 c - [5]
1041 c - [10]
1042 c - [2]
1043 p - [7]
1044 c - [8]
1045 c - [13]
1046 c - [11]
1047 c - [8]
1048 p - [9]
1049 p - [3]
1050 c - [12]
1051 l + [85]
1052 c - [11]
1053 p - [8]
1054 p - [1]
1055 c - [6]
1056 c - [7]
1057 c - [8]
1058 p - [12]
1059 p - [9]
1060 c - [8]
1061 c - [12]
1062 c - [6]
1063 p - [14]
1064 p - [6]
1065 c - [9]
1066 c - [2]
1067 c - [4]
1068 p - [6]
1069 p - [9]
1070 c - [6]
1071 c - [31]
1072 c - [15]
1073 p - [25]
1074 p - [12]
1075 c - [5]
1076 c - [17]
1077 c - [8]
1078 p - [16]
1079 p - [17]
1080 c - [16]
1081 c - [4]
1082 c - [2]
1083 p - [3]
1084 p - [10]
1085 c - [4]
1086 c - [6]
1087 c - [5]
1088 p - [13]
1089 p - [15]
1090 c - [13]
1091 c - [9]
1092 c - [5]
1093 p - [33]
1094 p - [12]
1095 c - [13]
1096 c - [40]
1097 c - [8]
1098 p - [9]
1099 p - [22]
1100 c - [18]
1101 c - [21]
1102 c - [45]
1103 p - [30]
1104 p - [20]
1105 c - [16]
1106 c - [7]
1107 c - [7]
1108 p - [4]
1109 p - [13]
1110 c - [31]
1111 c - [9]
1112 c - [14]
1113 p - [30]
1114 p - [8]
1115 l + [96]
1116 c - [29]
1117 c - [22]
1118 p - [29]
1119 p - [26]
1120 c - [10]
1121 c - [34]
1122 c - [6]
1123 p - [14]
1124 p - [25]
1125 c - [42]
1126 c - [12]
1127 c - [16]
1128 p - [8]
1129 p - [10]
1130 c - [29]
1131 c - [20]
1132 c - [7]
1133 p - [18]
1134 p - [20]
1135 c - [15]
1136 c - [10]
1137 c - [10]
1138 p - [8]
1139 p - [21]
1140 c - [13]
1141 c - [7]
1142 c - [7]
1143 p - [24]
1144 p - [28]
1145 c - [5]
1146 c - [18]
1147 c - [18]
1148 p - [10]
1149 p - [22]
1150 c - [11]
1151 c - [11]
1152 c - [16]
1153 p - [7]
1154 p - [15]
1155 c - [26]
1156 c - [18]
1157 c - [8]
1158 p - [6]
1159 p - [27]
1160 c - [6]
1161 c - [12]
1162 c - [6]
1163 p - [8]
1164 p - [15]
1165 c - [6]
1166 c - [30]
1167 c - [20]
1168 p - [16]
1169 p - [27]
1170 c - [10]
1171 c - [11]
1172 c - [18]
1173 p - [12]
1174 p - [12]
1175 p - [10]
1176 c - [17]
1177 c - [24]
1178 p - [28]
1179 p - [10]
1180 c - [10]
1181 c - [17]
1182 c - [14]
1183 p - [19]
1184 p - [15]
1185 p - [9]
1186 c - [19]
1187 c - [19]
1188 p - [31]
1189 p - [13]
1190 c - [18]
1191 c - [20]
1192 l + [85]
1193 p - [11]
1194 p - [15]
1195 c - [6]
1196 c - [17]
1197 c - [9]
1198 p - [9]
1199 p - [12]
1200 c - [4]
1201 l + [84]
1202 c - [3]
1203 p - [10]
1204 p - [7]
1205 c - [4]
1206 c - [11]
1207 c - [6]
1208 p - [6]
1209 p - [7]
1210 c - [6]
1211 c - [11]
1212 c - [11]
1213 p - [10]
1214 p - [8]
1215 c - [3]
1216 c - [9]
1217 c - [6]
1218 p - [11]
1219 p - [13]
1220 p - [15]
1221 c - [15]
1222 c - [9]
1223 p - [11]
1224 p - [12]
1225 c - [15]
1226 c - [18]
1227 c - [8]
1228 p - [9]
1229 p - [10]
1230 c - [24]
1231 c - [10]
1232 c - [15]
1233 p - [14]
1234 p - [9]
1235 p - [7]
1236 c - [8]
1237 c - [8]
1238 p - [8]
1239 p - [9]
1240 c - [11]
1241 c - [11]
1242 c - [14]
1243 p - [8]
1244 p - [5]
1245 c - [16]
1246 c - [14]
1247 c - [11]
1248 p - [30]
1249 p - [11]
1250 c - [9]
1251 c - [9]
1252 c - [16]
1253 p - [9]
1254 p - [8]
1255 c - [11]
1256 c - [6]
1257 c - [6]
1258 p - [10]
1259 p + [96]
1260 c - [15]
1261 c - [12]
1262 c - [31]
1263 p - [25]
1264 p + [84]
1265 l + [84]
1266 c - [3]
1267 c - [11]
1268 p - [21]
1269 p - [12]
1270 c - [18]
1271 c - [6]
1272 c - [40]
1273 p - [9]
1274 p - [13]
1275 c - [5]
1276 c - [13]
1277 c - [10]
1278 p - [16]
1279 p - [6]
1280 c - [6]
1281 c - [4]
1282 c - [6]
1283 p - [6]
1284 p - [7]
1285 c - [5]
1286 l + [88]
1287 c - [6]
1288 p - [12]
1289 p - [14]
1290 c - [11]
1291 c - [14]
1292 c - [5]
1293 p - [9]
1294 p - [5]
1295 c - [8]
1296 c - [11]
1297 c - [15]
1298 p - [13]
1299 p - [7]
1300 c - [11]
1301 c - [8]
1302 c - [6]
1303 p - [7]
1304 p - [6]
1305 c - [5]
1306 c - [6]
1307 c - [6]
1308 p - [15]
1309 p - [16]
1310 c - [7]
1311 c - [16]
1312 c - [20]
1313 p - [33]
1314 p - [14]
1315 p - [11]
1316 c - [8]
1317 c - [14]
1318 p - [17]
1319 p - [6]
1320 c - [6]
1321 c - [13]
1322 c - [11]
1323 p - [17]
1324 p - [10]
1325 c - [6]
1326 c - [13]
1327 c - [8]
1328 p - [15]
1329 p - [8]
1330 c - [2]
1331 c - [8]
1332 c - [16]
1333 p - [4]
1334 p - [14]
1335 c - [19]
1336 c - [14]
1337 c - [14]
1338 p - [12]
1339 p - [25]
1340 c - [6]
1341 c - [5]
1342 c - [20]
1343 p - [53]
1344 p - [16]
1345 c - [21]
1346 c - [23]
1347 c - [40]
1348 p - [11]
1349 p - [7]
1350 c - [30]
1351 c - [14]
1352 c - [24]
1353 p - [37]
1354 p - [23]
1355 c - [30]
1356 c - [47]
1357 c - [17]
1358 p - [30]
1359 p - [25]
1360 c - [14]
1361 c - [13]
1362 c - [15]
1363 p - [42]
1364 p - [48]
1365 c - [20]
1366 c - [11]
1367 c - [8]
1368 p - [49]
1369 p - [15]
1370 c - [12]
1371 c - [45]
1372 c - [21]
1373 p - [20]
1374 p - [19]
1375 c - [14]
1376 c - [15]
1377 c - [16]
1378 p - [19]
1379 p - [20]
1380 c - [13]
1381 c - [15]
1382 c - [37]
1383 p - [40]
1384 p - [30]
1385 c - [25]
1386 c - [24]
1387 c - [12]
1388 p - [20]
1389 p - [20]
1390 c - [29]
1391 c - [26]
1392 c - [18]
1393 p - [32]
1394 p - [21]
1395 p - [19]
1396 c - [22]
1397 c - [22]
1398 p - [29]
1399 p - [21]
1400 c - [26]
1401 c - [22]
1402 c - [24]
1403 p - [25]
1404 p - [27]
1405 c - [26]
1406 c - [22]
1407 c - [21]
1408 p - [21]
1409 p - [23]
1410 p - [21]
1411 c - [24]
1412 c - [22]
1413 p - [24]
1414 p - [23]
1415 c - [19]
1416 c - [23]
1417 c - [24]
1418 p - [22]
1419 p - [25]
1420 c - [21]
1421 c - [22]
1422 c - [24]
1423 p - [21]
1424 p - [24]
1425 c - [22]
1426 c - [25]
1427 c - [24]
1428 p - [28]
1429 p - [22]
1430 c - [21]
1431 c - [20]
1432 c - [24]
1433 p - [21]
1434 p - [20]
1435 c - [23]
1436 c - [27]
1437 c - [26]
1438 p - [34]
1439 p - [22]
1440 p - [24]
1441 c - [23]
1442 c - [34]
1443 p - [23]
1444 p - [21]
1445 c - [22]
1446 c - [19]
1447 c - [41]
1448 p - [22]
1449 p - [24]
1450 c - [22]
1451 c - [21]
1452 c - [23]
1453 p - [22]
1454 p - [21]
1455 c - [21]
1456 c - [24]
1457 p - [64]
1458 c - [64]
1459 p - [23]
1460 c - [22]
1461 c - [29]
1462 c - [26]
1463 p - [22]
1464 p - [29]
1465 c - [24]
1466 c - [28]
1467 c - [28]
1468 p - [25]
1469 p - [22]
1470 c - [26]
1471 c - [33]
1472 c - [24]
1473 p - [28]
1474 p - [24]
1475 c - [22]
1476 c - [22]
1477 c - [25]
1478 p - [22]
1479 p - [23]
1480 c - [46]
1481 c - [22]
1482 c - [27]
1483 p - [23]
1484 p - [22]
1485 c - [21]
1486 c - [30]
1487 c - [23]
1488 p - [31]
1489 p - [21]
1490 p - [20]
1491 c - [44]
1492 c - [21]
1493 p - [20]
1494 p - [33]
1495 c - [20]
1496 c - [22]
1497 c - [26]
1498 p - [26]
1499 p - [32]
1500 c - [30]
1501 c - [21]
1502 c - [27]
1503 p - [22]
1504 p - [43]
1505 c - [22]
1506 c - [23]
1507 c - [21]
1508 p - [23]
1509 p - [31]
1510 p - [30]
1511 c - [22]
1512 c - [23]
1513 p - [29]
1514 p - [21]
1515 c - [60]
1516 c - [30]
1517 c - [37]
1518 p - [44]
1519 c - [23]
1520 c - [25]
1521 c - [27]
1522 c - [24]
1523 c - [40]
1524 p - [35]
1525 c - [22]
1526 c - [25]
1527 c - [43]
1528 p - [32]
1529 p - [33]
1530 c - [23]
1531 c - [21]
1532 c - [26]
1533 p - [24]
1534 p - [20]
1535 c - [25]
1536 c - [29]
1537 c - [19]
1538 p - [19]
1539 p - [22]
1540 c - [23]
1541 c - [21]
1542 c - [23]
1543 p - [19]
1544 p - [23]
1545 c - [22]
1546 u - [12]
1547 c - [8]
1548 c - [7]
1549 p - [3]
1550 c - [0]
1551 p - [6]
1552 c - [1]
1553 c - [6]
1554 c - [4]
1555 c - [2]
1556 c - [22]
1557 c - [7]
1558 c - [8]
1559 p - [7]
1560 c - [2]
1561 l + [81]
1562 l + [97]
1563 c - [68]
1564 c - [4]
1565 p - [22]
1566 c - [68]
1567 c - [4]
1568 c - [8]
1569 c - [4]
1570 c - [9]
1571 c - [4]
1572 l + [85]
1573 c - [9]
1574 c - [3]
1575 c - [5]
1576 c - [4]
1577 c - [4]
1578 c - [3]
1579 p - [4]
1580 c - [8]
1581 c - [18]
1582 c - [8]
1583 c - [15]
1584 c - [3]
1585 p - [10]
1586 c - [2]
1587 c - [7]
1588 c - [2]
1589 c - [8]
1590 l + [96]
1591 l + [95]
1592 c - [2]
1593 c - [1]
1594 c - [3]
1595 c - [2]
1596 c - [3]
1597 c - [3]
1598 c - [3]
1599 p - [2]
1600 c - [4]
1601 c - [1]
1602 l + [82]
1603 l + [85]
1604 c - [5]
1605 p - [1]
1606 c - [2]
1607 c - [13]
1608 p - [76]
1609 p - [2]
1610 c - [1]
1611 c - [5]
1612 c - [3]
1613 p - [2]
1614 p - [3]
1615 c - [6]
1616 c - [2]
1617 c - [2]
1618 p - [18]
1619 p - [15]
1620 c - [6]
1621 c - [3]
1622 c - [8]
1623 p - [21]
1624 p - [9]
1625 c - [11]
1626 c - [14]
1627 c - [22]
1628 p - [39]
1629 p - [22]
1630 c - [18]
1631 c - [10]
1632 c - [35]
1633 p - [43]
1634 p - [9]
1635 c - [38]
1636 c - [5]
1637 c - [8]
1638 p - [7]
1639 p - [20]
1640 c - [15]
1641 c - [2]
1642 c - [11]
1643 p - [14]
1644 p - [16]
1645 p - [23]
1646 c - [20]
1647 c - [12]
1648 p - [17]
1649 p - [40]
1650 c - [30]
1651 c - [32]
1652 c - [22]
1653 p - [17]
1654 p - [29]
1655 c - [12]
1656 c - [12]
1657 c - [18]
1658 p - [38]
