#TFM v1.0.8 by tritical
field = bottom
crc32 = 6e915d0b
219 l + [86]
220 l + [89]
221 l + [94]
222 c - [21]
223 c - [34]
224 l + [92]
225 p - [25]
226 l + [83]
227 p + [82]
228 p - [23]
229 p - [22]
230 c - [25]
231 c - [20]
232 l + [83]
233 p - [23]
234 p - [39]
235 c - [29]
236 c - [23]
237 p - [48]
238 p - [45]
239 p - [34]
240 c - [42]
241 c - [48]
242 p - [16]
243 p - [17]
244 c - [31]
245 c - [37]
246 c - [15]
247 p - [7]
248 p - [23]
249 c - [33]
250 c - [24]
251 c - [45]
252 p - [31]
253 p - [48]
254 c - [45]
255 c - [23]
256 l + [104]
257 p - [19]
258 p - [30]
259 c - [13]
260 c - [14]
261 c - [31]
262 p - [10]
263 p - [47]
264 c - [16]
265 c - [27]
266 c - [24]
267 p - [42]
268 p - [24]
269 c - [15]
270 c - [26]
271 c - [53]
272 p - [23]
273 p + [93]
274 c - [19]
275 c - [15]
276 c - [28]
277 p - [39]
278 p - [32]
279 c - [15]
280 c - [15]
281 c - [19]
282 p - [15]
283 p - [22]
284 c - [19]
285 c - [22]
286 c - [28]
287 p - [28]
288 p - [36]
289 c - [25]
290 c - [17]
291 c - [34]
292 p - [26]
293 p - [19]
294 c - [27]
295 c - [15]
296 c - [37]
297 p - [32]
298 p - [16]
299 c - [20]
300 p + [223]
301 p - [32]
302 c - [7]
303 c - [37]
304 c - [6]
305 p - [21]
306 p - [22]
307 c - [19]
308 c - [6]
309 c - [16]
310 p - [15]
311 p - [9]
312 c - [28]
313 c - [39]
314 c - [9]
315 p - [8]
316 p - [66]
317 c - [16]
318 c - [18]
319 c - [5]
320 p + [101]
321 p - [43]
322 c - [19]
323 c - [19]
324 c - [23]
325 p - [15]
326 p - [17]
327 c - [32]
328 c - [29]
329 c - [21]
330 p - [21]
331 p - [17]
332 c - [23]
333 c - [7]
334 c - [51]
335 p - [23]
336 p - [41]
337 c - [11]
338 c - [19]
339 c - [28]
340 p - [21]
341 p - [49]
342 c - [30]
343 c - [27]
344 c - [28]
345 p - [23]
346 p - [37]
347 c - [15]
348 c - [31]
349 c - [7]
350 p - [32]
351 p - [20]
352 c - [30]
353 c - [30]
354 c - [19]
355 p - [19]
356 p - [37]
357 c - [12]
358 c - [10]
359 c - [39]
360 p - [23]
361 p - [42]
362 c - [14]
363 c - [19]
364 c - [26]
365 p - [14]
366 p - [54]
367 c - [45]
368 c - [25]
369 c - [14]
370 p - [20]
371 p - [26]
372 l + [92]
373 c - [56]
374 c - [36]
375 p - [32]
376 p - [39]
377 c - [27]
378 c - [18]
379 c - [36]
380 p - [37]
381 p - [10]
382 c - [12]
383 l + [82]
384 c - [42]
385 p - [53]
386 p - [54]
387 c - [29]
388 c - [28]
389 l + [96]
390 p + [96]
391 p + [96]
392 c - [28]
393 c - [52]
394 c - [41]
395 p - [25]
396 p - [41]
397 c - [39]
398 c - [44]
399 l + [141]
400 p - [46]
401 p - [19]
402 c - [58]
403 c - [30]
404 c - [69]
405 p - [34]
406 p - [13]
407 c - [55]
408 l + [96]
409 l + [95]
410 p - [22]
411 p - [43]
412 c - [50]
413 c - [35]
414 c - [22]
415 p - [35]
416 p - [26]
417 c - [62]
418 l + [96]
419 l + [96]
420 p + [96]
421 p + [96]
422 l + [81]
423 c - [25]
424 c - [40]
425 p - [16]
426 p - [20]
427 c - [40]
428 c - [28]
429 c - [44]
430 p - [31]
431 p - [39]
432 c - [42]
433 l + [88]
434 l + [98]
435 p + [96]
436 p - [24]
437 c - [34]
438 c - [42]
439 l + [96]
440 p + [96]
441 p + [89]
442 l + [95]
443 c - [35]
444 l + [85]
445 p - [56]
446 p + [93]
447 l + [87]
448 c - [9]
449 c - [43]
450 p - [31]
451 p + [86]
452 c - [27]
453 c - [27]
454 l + [119]
455 p - [45]
456 p + [84]
457 c - [8]
458 l + [84]
459 c - [21]
460 p - [30]
461 p - [32]
462 c - [36]
463 c - [20]
464 l + [86]
465 p - [80]
466 p + [81]
467 l + [93]
468 c - [17]
469 c - [45]
470 p - [47]
471 p - [24]
472 c - [28]
473 c - [26]
474 c - [20]
475 p - [18]
476 p + [96]
477 l + [96]
478 l + [95]
479 c - [28]
480 p - [41]
481 p - [60]
482 c - [13]
483 c - [16]
484 l + [90]
485 p - [52]
486 p - [16]
487 c - [62]
488 c - [26]
489 c - [41]
490 p - [30]
491 p - [57]
492 c - [48]
493 c - [22]
494 c - [20]
495 p - [46]
496 p + [101]
497 c - [48]
498 c - [61]
499 c - [50]
500 p - [60]
501 p - [33]
502 c - [36]
503 c - [47]
504 l + [84]
505 p + [83]
506 p - [35]
507 c - [22]
508 l + [108]
509 c - [40]
510 p + [124]
511 p - [35]
512 l + [91]
513 c - [21]
514 c - [31]
515 c - [25]
516 p - [19]
517 c - [17]
518 l + [87]
519 l + [82]
520 p - [40]
521 c - [74]
522 l + [86]
523 l + [84]
524 c - [33]
525 c - [17]
526 c - [27]
527 l + [82]
528 c - [80]
529 c - [17]
530 p - [12]
531 c - [7]
532 c - [19]
533 l + [81]
534 l + [86]
535 p + [82]
536 c - [80]
537 p - [80]
538 c - [8]
539 c - [20]
540 c - [35]
541 c - [28]
542 c - [10]
543 c - [17]
544 l + [81]
545 c - [8]
546 p + [83]
547 l + [85]
548 c - [80]
549 c - [9]
550 p - [12]
551 l + [82]
552 c - [64]
553 c - [24]
554 c - [14]
555 c - [18]
556 c - [20]
557 c - [29]
558 c - [11]
559 l + [82]
560 l + [81]
561 c - [28]
562 c - [18]
563 p - [31]
564 p - [26]
565 c - [12]
566 c - [12]
567 c - [22]
568 p - [80]
569 p - [17]
570 c - [15]
571 l + [96]
572 c - [80]
573 p - [20]
574 p - [22]
575 c - [21]
576 c - [24]
577 c - [28]
578 p - [40]
579 p + [88]
580 c - [80]
581 c - [42]
582 c - [24]
583 p - [41]
584 p - [53]
585 c - [80]
586 c - [13]
587 c - [9]
588 p - [18]
589 p - [10]
590 c - [5]
591 c - [50]
592 l + [84]
593 p - [10]
594 p - [8]
595 p - [13]
596 c - [5]
597 c - [27]
598 p - [19]
599 p - [10]
600 c - [24]
601 c - [14]
602 c - [16]
603 p - [18]
604 p - [16]
605 c - [15]
606 c - [34]
607 c - [17]
608 p - [80]
609 p - [25]
610 c - [21]
611 c - [14]
612 c - [16]
613 p - [15]
614 p - [31]
615 c - [38]
616 c - [15]
617 c - [15]
618 p - [15]
619 p - [9]
620 c - [10]
621 c - [9]
622 c - [17]
623 p + [87]
624 p - [11]
625 c - [13]
626 l + [84]
627 c - [19]
628 p - [11]
629 p - [17]
630 c - [24]
631 c - [49]
632 c - [41]
633 p - [18]
634 p - [15]
635 l + [95]
636 c - [66]
637 c - [28]
638 p - [39]
639 p - [21]
640 c - [17]
641 c - [11]
642 c - [14]
643 p - [14]
644 p - [16]
645 c - [16]
646 c - [21]
647 c - [16]
648 p - [9]
649 p - [16]
650 c - [45]
651 c - [17]
652 c - [7]
653 p - [21]
654 p - [16]
655 c - [14]
656 c - [14]
657 c - [38]
658 p - [11]
659 p - [21]
660 c - [21]
661 c - [19]
662 c - [12]
663 p - [7]
664 p - [25]
665 c - [30]
666 c - [18]
667 c - [14]
668 p - [14]
669 p - [15]
670 c - [31]
671 c - [13]
672 c - [10]
673 p - [16]
674 p - [21]
675 c - [9]
676 c - [9]
677 c - [26]
678 p - [36]
679 p - [15]
680 c - [18]
681 c - [35]
682 c - [25]
683 p - [23]
684 p - [19]
685 c - [11]
686 c - [35]
687 c - [26]
688 p - [25]
689 p - [40]
690 c - [42]
691 c - [37]
692 c - [17]
693 p - [40]
694 p - [23]
695 c - [16]
696 c - [16]
697 c - [10]
698 p - [12]
699 p - [12]
700 c - [20]
701 c - [25]
702 c - [9]
703 p - [80]
704 p + [98]
705 c - [24]
706 c - [26]
707 c - [18]
708 p - [21]
709 p - [42]
710 c - [10]
711 c - [44]
712 c - [20]
713 p - [18]
714 p - [21]
715 c - [14]
716 c - [27]
717 c - [19]
718 p - [12]
719 p - [24]
720 c - [27]
721 c - [21]
722 c - [31]
723 p - [14]
724 p - [16]
725 c - [16]
726 c - [13]
727 c - [18]
728 p - [16]
729 p - [25]
730 c - [35]
731 c - [35]
732 c - [21]
733 p - [11]
734 p - [13]
735 c - [80]
736 c - [26]
737 c - [27]
738 p - [13]
739 p - [16]
740 c - [21]
741 c - [16]
742 c - [12]
743 p - [11]
744 p - [22]
745 c - [30]
746 c - [28]
747 c - [21]
748 p - [16]
749 p - [22]
750 c - [18]
751 c - [30]
752 c - [19]
753 p - [26]
754 p - [31]
755 c - [28]
756 c - [15]
757 c - [8]
758 p - [15]
759 p - [20]
760 c - [23]
761 l + [83]
762 c - [24]
763 p - [21]
764 p - [12]
765 c - [12]
766 c - [26]
767 c - [19]
768 p - [16]
769 p - [39]
770 c - [28]
771 c - [14]
772 c - [9]
773 p - [20]
774 p - [8]
775 c - [24]
776 c - [27]
777 c - [15]
778 p - [20]
779 p - [16]
780 c - [12]
781 c - [13]
782 c - [24]
783 p - [15]
784 p - [23]
785 c - [18]
786 c - [80]
787 c - [17]
788 p - [80]
789 p + [83]
790 p - [9]
791 c - [26]
792 c - [15]
793 p - [12]
794 p - [9]
795 c - [33]
796 c - [7]
797 c - [31]
798 p - [80]
799 p - [21]
800 c - [9]
801 c - [15]
802 c - [9]
803 p - [6]
804 p - [11]
805 c - [19]
806 c - [12]
807 c - [14]
808 p - [46]
809 p - [66]
810 c - [16]
811 c - [62]
812 c - [17]
813 p - [25]
814 p - [79]
815 p + [88]
816 c - [73]
817 c - [36]
818 p - [10]
819 p - [8]
820 c - [17]
821 c - [30]
822 c - [48]
823 l + [86]
824 l + [84]
825 l + [82]
826 l + [82]
827 p + [84]
828 c - [21]
829 c - [80]
830 c - [24]
831 c - [20]
832 c - [20]
833 c - [24]
834 c - [13]
835 c - [16]
836 p - [32]
837 c - [13]
838 c - [18]
839 c - [11]
840 c - [16]
841 c - [17]
842 c - [40]
843 c - [25]
844 c - [20]
845 c - [14]
846 c - [30]
847 c - [18]
848 c - [20]
849 l + [81]
850 c - [14]
851 c - [80]
852 c - [80]
853 c - [80]
854 c - [13]
855 p - [9]
856 c - [80]
857 c - [27]
858 c - [12]
859 l + [81]
860 c - [77]
861 c - [14]
862 l + [82]
863 c - [16]
864 c - [17]
865 p - [21]
866 p - [39]
867 c - [26]
868 c - [35]
869 c - [19]
870 p - [21]
871 p + [90]
872 l + [84]
873 l + [91]
874 c - [23]
875 p - [12]
876 p - [14]
877 c - [13]
878 l + [87]
879 c - [18]
880 p - [19]
881 p - [28]
882 p - [15]
883 c - [19]
884 l + [88]
885 p + [84]
886 p + [90]
887 l + [97]
888 c - [45]
889 c - [20]
890 p - [12]
891 p - [25]
892 c - [25]
893 c - [19]
894 c - [23]
895 p - [13]
896 p + [92]
897 p + [91]
898 c - [21]
899 c - [14]
900 p + [86]
901 p - [17]
902 l + [84]
903 l + [90]
904 l + [82]
905 p + [92]
906 p - [29]
907 p + [91]
908 c - [32]
909 c - [23]
910 l + [82]
911 l + [86]
912 c - [22]
913 c - [21]
914 c - [13]
915 l + [91]
916 l + [84]
917 l + [89]
918 l + [93]
919 c - [80]
920 l + [93]
921 c - [21]
922 c - [12]
923 l + [84]
924 l + [96]
925 l + [86]
926 c - [13]
927 c - [11]
928 c - [23]
929 l + [96]
930 l + [96]
931 p - [13]
932 c - [13]
933 p - [28]
934 l + [85]
935 p + [84]
936 c - [80]
937 c - [12]
938 c - [14]
939 l + [87]
940 l + [87]
941 c - [12]
942 c - [11]
943 c - [22]
944 c - [14]
945 l + [88]
946 p + [89]
947 l + [94]
948 l + [90]
949 c - [13]
950 c - [22]
951 p - [21]
952 c - [26]
953 c - [17]
954 l + [93]
955 c - [16]
956 c - [19]
957 c - [12]
958 c - [18]
959 c - [16]
960 l + [90]
961 p + [91]
962 l + [95]
963 l + [96]
964 c - [40]
965 p + [92]
966 c - [12]
967 l + [98]
968 l + [96]
969 c - [21]
970 c - [13]
971 l + [82]
972 p + [90]
973 c - [17]
974 c - [11]
975 c - [35]
976 c - [26]
977 c - [18]
978 l + [86]
979 l + [87]
980 c - [11]
981 c - [18]
982 c - [10]
983 l + [86]
984 l + [94]
985 l + [96]
986 l + [93]
987 l + [93]
988 l + [92]
989 c - [13]
990 c - [26]
991 c - [14]
992 c - [24]
993 c - [12]
994 c - [26]
995 c - [11]
996 c - [18]
997 c - [12]
998 c - [18]
999 c - [20]
1000 c - [11]
1001 p - [22]
1002 c - [25]
1003 c - [13]
1004 c - [15]
1005 c - [19]
1006 c - [24]
1007 c - [10]
1008 c - [18]
1009 c - [14]
1010 c - [17]
1011 c - [23]
1012 c - [16]
1013 c - [15]
1014 c - [14]
1015 c - [21]
1016 c - [16]
1017 c - [17]
1018 c - [24]
1019 c - [14]
1020 p - [13]
1021 l + [91]
1022 c - [12]
1023 c - [20]
1024 c - [17]
1025 c - [17]
1026 c - [14]
1027 c - [20]
1028 c - [12]
1029 c - [11]
1030 l + [87]
1031 l + [93]
1032 c - [11]
1033 c - [27]
1034 p - [23]
1035 c - [28]
1036 c - [56]
1037 c - [65]
1038 c - [27]
1039 p - [25]
1040 c - [13]
1041 c - [12]
1042 u - [7]
1043 c - [13]
1044 p - [63]
1045 p - [22]
1046 c - [20]
1047 c - [58]
1048 c - [22]
1049 p - [30]
1050 c - [33]
1051 p - [16]
1052 c - [22]
1053 c - [16]
1054 p - [22]
1055 p - [27]
1056 c - [46]
1057 c - [29]
1058 c - [30]
1059 p - [49]
1060 p - [14]
1061 p - [22]
1062 c - [17]
1063 c - [13]
1064 p - [21]
1065 p - [21]
1066 c - [30]
1067 c - [21]
1068 c - [40]
1069 p - [9]
1070 p - [18]
1071 c - [16]
1072 c - [30]
1073 c - [16]
1074 p - [9]
1075 p - [17]
1076 c - [23]
1077 c - [21]
1078 c - [29]
1079 p - [28]
1080 p - [21]
1081 c - [12]
1082 c - [40]
1083 c - [23]
1084 p - [16]
1085 p - [24]
1086 c - [19]
1087 c - [10]
1088 c - [22]
1089 c - [25]
1090 c - [34]
1091 c - [12]
1092 c - [25]
1093 c - [41]
1094 c - [49]
1095 p - [46]
1096 c - [29]
1097 c - [24]
1098 c - [26]
1099 p - [18]
1100 c - [47]
1101 c - [43]
1102 c - [39]
1103 c - [27]
1104 l + [96]
1105 l + [108]
1106 l + [99]
1107 c - [37]
1108 c - [24]
1109 c - [32]
1110 p - [27]
1111 c - [15]
1112 c - [30]
1113 c - [34]
1114 c - [38]
1115 c - [21]
1116 c - [17]
1117 p - [36]
1118 p - [30]
1119 c - [17]
1120 p - [15]
1121 c - [30]
1122 c - [16]
1123 c - [26]
1124 p - [41]
1125 p - [17]
1126 c - [14]
1127 c - [21]
1128 c - [16]
1129 p + [91]
1130 p - [35]
1131 c - [18]
1132 c - [14]
1133 c - [16]
1134 p - [23]
1135 p - [35]
1136 c - [54]
1137 c - [34]
1138 c - [25]
1139 p - [35]
1140 p - [25]
1141 c - [25]
1142 c - [21]
1143 c - [11]
1144 p - [18]
1145 p - [43]
1146 c - [35]
1147 c - [13]
1148 l + [87]
1149 p + [92]
1150 c - [20]
1151 c - [25]
1152 p - [24]
1153 p - [16]
1154 c - [33]
1155 c - [30]
1156 c - [35]
1157 p - [28]
1158 p - [17]
1159 c - [14]
1160 c - [27]
1161 l + [92]
1162 p - [14]
1163 p - [25]
1164 c - [20]
1165 c - [35]
1166 c - [19]
1167 p + [93]
1168 p + [84]
1169 c - [22]
1170 c - [23]
1171 c - [15]
1172 p - [27]
1173 c - [26]
1174 l + [93]
1175 c - [31]
1176 c - [15]
1177 p - [16]
1178 p - [13]
1179 l + [84]
1180 c - [28]
1181 c - [30]
1182 p - [23]
1183 p - [7]
1184 c - [51]
1185 c - [20]
1186 c - [29]
1187 p + [95]
1188 p - [25]
1189 c - [11]
1190 c - [26]
1191 c - [16]
1192 p - [7]
1193 p - [15]
1194 c - [12]
1195 c - [37]
1196 c - [35]
1197 p - [16]
1198 p - [18]
1199 c - [14]
1200 c - [22]
1201 c - [21]
1202 p - [10]
1203 p - [16]
1204 c - [28]
1205 c - [44]
1206 c - [24]
1207 p - [23]
1208 p - [21]
1209 c - [37]
1210 c - [36]
1211 c - [50]
1212 p + [88]
1213 p - [21]
1214 c - [28]
1215 c - [31]
1216 l + [87]
1217 p + [87]
1218 p - [26]
1219 c - [32]
1220 c - [20]
1221 c - [22]
1222 c - [19]
1223 c - [7]
1224 b - [13]
1225 c - [10]
1226 c - [21]
1227 p - [34]
1228 p - [38]
1229 l + [94]
1230 l + [91]
1231 c - [9]
1232 p - [31]
1233 p - [26]
1234 c - [34]
1235 c - [24]
1236 c - [21]
1237 p - [30]
1238 p - [37]
1239 c - [8]
1240 l + [96]
1241 c - [14]
1242 p - [26]
1243 p - [27]
1244 c - [27]
1245 c - [16]
1246 c - [11]
1247 p - [20]
1248 p + [95]
1249 c - [21]
1250 c - [12]
1251 c - [20]
1252 p - [17]
1253 p + [96]
1254 l + [97]
1255 l + [95]
1256 l + [97]
1257 p + [106]
1258 p + [95]
1259 c - [11]
1260 l + [96]
1261 l + [99]
1262 p + [84]
1263 p + [94]
1264 p - [16]
1265 c - [16]
1266 c - [9]
1267 p + [93]
1268 p - [10]
1269 c - [11]
1270 c - [11]
1271 c - [15]
1272 l + [96]
1273 p + [96]
1274 u - [19]
1275 c - [37]
1276 c - [20]
1277 c - [39]
1278 p - [17]
1279 p - [37]
1280 l + [88]
1281 c - [21]
1282 c - [31]
1283 p - [23]
1284 c - [13]
1285 l + [96]
1286 l + [96]
1287 l + [99]
1288 p - [17]
1289 c - [8]
1290 p - [21]
1291 c - [17]
1292 l + [85]
1293 p + [90]
1294 c - [11]
1295 c - [6]
1296 c - [14]
1297 c - [16]
1298 p + [91]
1299 p - [17]
1300 l + [94]
1301 l + [89]
1302 p + [87]
1303 c - [80]
1304 p + [87]
1305 c - [11]
1306 c - [19]
1307 c - [11]
1308 p - [27]
1309 c - [17]
1310 l + [90]
1311 l + [90]
1312 l + [87]
1313 c - [20]
1314 c - [28]
1315 c - [35]
1316 c - [18]
1317 p - [18]
1318 l + [87]
1319 l + [88]
1320 c - [23]
1321 p - [24]
1322 c - [26]
1323 l + [95]
1324 c - [55]
1325 l + [90]
1326 c - [63]
1327 c - [23]
1328 c - [53]
1329 c - [50]
1330 c - [48]
1331 c - [53]
1332 c - [53]
1333 c - [43]
1334 c - [34]
1335 c - [36]
1336 l + [123]
1337 c - [44]
1338 c - [57]
1339 c - [55]
1340 c - [33]
1341 c - [37]
1342 c - [70]
1343 l + [114]
1344 c - [40]
1345 c - [74]
1346 c - [61]
1347 l + [102]
1348 c - [37]
1349 l + [121]
1350 l + [96]
1351 c - [56]
1352 c - [45]
1353 c - [40]
1354 c - [28]
1355 c - [44]
1356 c - [38]
1357 c - [40]
1358 c - [38]
1359 c - [55]
1360 c - [36]
1361 c - [26]
1362 c - [35]
1363 c - [29]
1364 c - [36]
1365 c - [35]
1366 c - [57]
1367 c - [35]
1368 l + [87]
1369 c - [48]
1370 c - [22]
1371 c - [29]
1372 c - [34]
1373 c - [37]
1374 c - [38]
1375 l + [93]
1376 c - [32]
1377 c - [66]
1378 c - [44]
1379 c - [37]
1380 c - [44]
1381 c - [32]
1382 c - [30]
1383 c - [60]
1384 c - [77]
1385 c - [37]
1386 l + [103]
1387 c - [42]
1388 c - [70]
1389 c - [78]
1390 c - [47]
1391 c - [77]
1392 c - [71]
1393 l + [90]
1394 c - [68]
1395 l + [94]
1396 l + [85]
1397 l + [86]
1398 c - [68]
1399 c - [28]
1400 c - [34]
1401 c - [41]
1402 c - [66]
1403 c - [56]
1404 c - [48]
1405 c - [8]
1406 c - [18]
1407 p - [23]
1408 p - [21]
1409 c - [16]
1410 c - [13]
1411 c - [16]
1412 p - [11]
1413 p - [17]
1414 p - [6]
1415 c - [8]
1416 c - [14]
1417 p - [14]
1418 p - [19]
1419 c - [12]
1420 c - [20]
1421 c - [13]
1422 p - [16]
1423 p - [19]
1424 c - [15]
1425 c - [8]
1426 c - [14]
1427 p - [18]
1428 p - [26]
1429 p - [16]
1430 c - [14]
1431 c - [21]
1432 p - [23]
1433 p - [14]
1434 c - [22]
1435 c - [42]
1436 c - [18]
1437 p - [49]
1438 p - [25]
1439 c - [17]
1440 c - [31]
1441 c - [26]
1442 p - [19]
1443 p - [40]
1444 c - [13]
1445 c - [26]
1446 c - [16]
1447 p - [23]
1448 p - [28]
1449 c - [32]
1450 c - [14]
1451 c - [24]
1452 p - [20]
1453 p - [40]
1454 c - [24]
1455 c - [19]
1456 l + [105]
1457 p - [21]
1458 p - [24]
1459 c - [25]
1460 c - [22]
1461 c - [15]
1462 p - [36]
1463 p - [10]
1464 c - [18]
1465 c - [67]
1466 c - [6]
1467 p - [27]
1468 p - [43]
1469 c - [43]
1470 c - [27]
1471 c - [27]
1472 p - [20]
1473 p - [36]
1474 c - [50]
1475 c - [20]
1476 c - [23]
1477 p - [17]
1478 p - [20]
1479 l + [97]
1480 l + [98]
1481 c - [21]
1482 p - [34]
1483 p - [28]
1484 p - [14]
1485 c - [31]
1486 c - [20]
1487 p - [12]
1488 p - [20]
1489 c - [25]
1490 c - [13]
1491 c - [22]
1492 p - [41]
1493 p - [21]
1494 c - [41]
1495 c - [23]
1496 c - [42]
1497 p - [51]
1498 p - [34]
1499 l + [88]
1500 l + [92]
1501 c - [31]
1502 p - [20]
1503 p - [21]
1504 c - [35]
1505 c - [26]
1506 c - [51]
1507 c - [15]
1508 p - [16]
1509 l + [95]
1510 l + [112]
1511 p + [176]
1512 p + [87]
1513 p - [50]
1514 c - [48]
1515 c - [46]
1516 p + [192]
1517 p - [41]
1518 p - [48]
1519 c - [76]
1520 c - [59]
1521 p + [174]
1522 p - [34]
1523 p - [47]
1524 c - [55]
1525 c - [64]
1526 p + [196]
1527 p - [42]
1528 p - [42]
1529 c - [63]
1530 c - [50]
1531 p + [160]
1532 p - [48]
1533 p - [36]
1534 c - [44]
1535 c - [80]
1536 p + [177]
1537 p + [122]
1538 p - [74]
1539 c - [66]
1540 c - [64]
1541 p + [152]
1542 p + [82]
1543 p + [88]
1544 c - [80]
1545 l + [93]
1546 p + [173]
1547 p - [52]
1548 c - [13]
1549 c - [11]
1550 p - [17]
1551 p - [21]
1552 c - [23]
1553 c - [35]
1554 c - [26]
1555 u - [24]
1556 p - [24]
1557 l + [96]
1558 c - [15]
1559 c - [15]
1560 p - [40]
1561 p - [33]
1562 c - [26]
1563 c - [25]
1564 c - [22]
1565 p - [22]
1566 p - [30]
1567 l + [88]
1568 l + [82]
1569 c - [16]
1570 p - [20]
1571 p - [20]
1572 c - [27]
1573 c - [10]
1574 c - [9]
1575 p + [85]
1576 p - [15]
1577 c - [34]
1578 c - [30]
1579 l + [96]
1580 p + [96]
1581 c - [27]
1582 c - [23]
1583 p - [9]
1584 p - [20]
1585 p - [13]
1586 c - [31]
1587 c - [21]
1588 p - [16]
1589 p - [24]
1590 c - [21]
1591 c - [13]
1592 c - [19]
1593 p - [11]
1594 p - [26]
1595 c - [50]
1596 c - [20]
1597 c - [8]
1598 p - [14]
1599 p + [93]
1600 c - [17]
1601 c - [16]
1602 c - [13]
1603 p - [24]
1604 p - [19]
1605 c - [8]
1606 c - [19]
1607 c - [32]
1608 p - [11]
1609 p - [11]
1610 c - [30]
1611 c - [20]
1612 c - [32]
1613 p - [19]
1614 p - [17]
1615 c - [15]
1616 c - [17]
1617 c - [14]
1618 p - [21]
1619 p + [84]
1620 c - [80]
1621 c - [17]
1622 l + [92]
1623 p - [18]
1624 p - [21]
1625 c - [13]
1626 c - [24]
1627 l + [87]
1628 p - [19]
1629 p - [21]
1630 c - [47]
1631 l + [83]
1632 l + [93]
1633 p - [33]
1634 p - [16]
1635 c - [24]
1636 c - [30]
1637 c - [32]
1638 p - [17]
1639 p - [14]
1640 l + [91]
1641 c - [17]
1642 l + [82]
1643 p - [14]
1644 p - [16]
1645 c - [11]
1646 c - [14]
1647 c - [17]
1648 p - [13]
1649 p - [15]
1650 c - [67]
1651 c - [80]
1652 c - [16]
1653 p - [45]
1654 p - [22]
1655 c - [20]
1656 c - [36]
1657 c - [19]
