#TFM v1.0.8 by tritical
field = bottom
crc32 = 4ba38ee0
391 c - [28]
392 c - [24]
393 c - [20]
394 p - [16]
395 p - [8]
396 c - [7]
397 c - [11]
398 c - [16]
399 p - [18]
400 p - [11]
401 c - [18]
402 c - [7]
403 c - [13]
404 p - [8]
405 p - [36]
406 c - [21]
407 c - [17]
408 c - [23]
409 p - [17]
410 p - [10]
411 c - [9]
412 c - [9]
413 c - [9]
414 p - [24]
415 p - [23]
416 c - [22]
417 c - [16]
418 c - [13]
419 p - [13]
420 p - [24]
421 c - [12]
422 c - [28]
423 c - [14]
424 p - [24]
425 p - [29]
426 c - [23]
427 c - [12]
428 c - [22]
429 p - [19]
430 p - [19]
431 c - [26]
432 c - [19]
433 c - [9]
434 p - [21]
435 p - [14]
436 c - [13]
437 c - [15]
438 c - [20]
439 p - [21]
440 p - [36]
441 c - [27]
442 c - [26]
443 c - [34]
444 p - [22]
445 p - [17]
446 c - [20]
447 c - [25]
448 c - [14]
449 p - [47]
450 p - [26]
451 c - [21]
452 c - [29]
453 c - [16]
454 p - [25]
455 p - [17]
456 c - [19]
457 c - [18]
458 c - [6]
459 p - [11]
460 p - [33]
461 c - [29]
462 c - [16]
463 c - [12]
464 p - [18]
465 p - [16]
466 c - [23]
467 c - [7]
468 c - [19]
469 p - [21]
470 p - [13]
471 c - [15]
472 c - [16]
473 c - [15]
474 p - [14]
475 p - [23]
476 c - [31]
477 c - [48]
478 c - [10]
479 p - [24]
480 p - [18]
481 c - [11]
482 c - [23]
483 c - [20]
484 p - [23]
485 p - [26]
486 c - [16]
487 c - [20]
488 c - [25]
489 p - [50]
490 p - [12]
491 c - [11]
492 c - [34]
493 c - [24]
494 p - [27]
495 p - [44]
496 c - [13]
497 c - [21]
498 c - [13]
499 p - [26]
500 p - [21]
501 c - [42]
502 c - [18]
503 c - [16]
504 p - [34]
505 p - [19]
506 c - [10]
507 c - [29]
508 c - [12]
509 p - [15]
510 p - [17]
511 c - [21]
512 c - [29]
513 c - [30]
514 p - [23]
515 p - [29]
516 c - [11]
517 c - [21]
518 c - [26]
519 p - [18]
520 p - [14]
521 c - [10]
522 c - [31]
523 c - [15]
524 p - [22]
525 p - [20]
526 c - [8]
527 c - [16]
528 c - [35]
529 p - [24]
530 p - [20]
531 c - [11]
532 c - [17]
533 c - [14]
534 p - [13]
535 p - [15]
536 c - [22]
537 c - [27]
538 c - [20]
539 p - [13]
540 p - [24]
541 c - [9]
542 c - [16]
543 c - [31]
544 p - [21]
545 p - [21]
546 c - [16]
547 c - [19]
548 c - [22]
549 p - [18]
550 p - [19]
551 c - [33]
552 c - [14]
553 c - [22]
554 p - [26]
555 p - [27]
556 c - [24]
557 c - [20]
558 c - [13]
559 p - [14]
560 p - [24]
561 p - [18]
562 c - [24]
563 c - [13]
564 p - [33]
565 p - [25]
566 c - [12]
567 c - [18]
568 c - [6]
569 p - [20]
570 p - [50]
571 c - [13]
572 c - [27]
573 c - [11]
574 p - [16]
575 p - [13]
576 c - [12]
577 c - [24]
578 c - [24]
579 p - [44]
580 p - [19]
581 c - [33]
582 c - [35]
583 c - [32]
584 p - [31]
585 p - [58]
586 c - [37]
587 c - [31]
588 c - [9]
589 p - [18]
590 p - [17]
591 c - [14]
592 c - [22]
593 c - [29]
594 p - [27]
595 p - [13]
596 c - [35]
597 c - [20]
598 c - [22]
599 p - [44]
600 p - [24]
601 c - [27]
602 c - [11]
603 c - [22]
604 p - [32]
605 p - [35]
606 c - [32]
607 c - [28]
608 c - [35]
609 p - [22]
610 p - [20]
611 c - [23]
612 c - [33]
613 c - [35]
614 p - [36]
615 p - [38]
616 c - [22]
617 c - [30]
618 c - [33]
619 p - [36]
620 p - [29]
621 p - [26]
622 c - [22]
623 c - [23]
624 c - [35]
625 c - [26]
626 c - [22]
627 c - [45]
628 c - [30]
629 c - [22]
630 c - [37]
631 c - [26]
632 c - [51]
633 c - [15]
634 c - [9]
635 c - [14]
636 c - [21]
637 c - [62]
638 c - [23]
639 c - [28]
640 c - [12]
641 c - [14]
642 c - [31]
643 c - [44]
644 c - [17]
645 c - [30]
646 c - [33]
647 c - [19]
648 c - [32]
649 c - [12]
650 c - [23]
651 c - [20]
652 c - [16]
653 c - [25]
654 c - [36]
655 c - [29]
656 c - [58]
657 c - [23]
658 c - [23]
659 c - [19]
660 c - [33]
661 c - [15]
662 c - [37]
663 c - [42]
664 c - [56]
665 c - [30]
666 c - [22]
667 c - [19]
668 c - [43]
669 c - [20]
670 c - [23]
671 c - [19]
672 c - [26]
673 c - [24]
674 c - [7]
675 c - [14]
676 c - [14]
677 c - [4]
678 c - [19]
679 c - [16]
680 c - [16]
681 c - [31]
682 c - [25]
683 c - [13]
684 c - [9]
685 c - [20]
686 c - [22]
687 c - [26]
688 c - [23]
689 c - [16]
690 c - [16]
691 c - [16]
692 c - [20]
693 c - [14]
694 c - [17]
695 c - [16]
696 c - [16]
697 c - [20]
698 c - [5]
699 c - [15]
700 c - [15]
701 c - [9]
702 c - [20]
703 c - [19]
704 c - [29]
705 c - [13]
706 c - [25]
707 c - [15]
708 c - [15]
709 c - [10]
710 c - [21]
711 c - [24]
712 c - [10]
713 c - [21]
714 c - [16]
715 c - [8]
716 c - [8]
717 c - [11]
718 c - [27]
719 c - [44]
720 c - [18]
721 c - [10]
722 c - [8]
723 c - [11]
724 c - [24]
725 c - [20]
726 c - [35]
727 c - [24]
728 c - [24]
729 c - [21]
730 c - [10]
731 c - [23]
732 c - [12]
733 c - [6]
734 c - [17]
735 c - [23]
736 c - [16]
737 c - [26]
738 c - [9]
739 c - [7]
740 c - [6]
741 p - [11]
742 p - [11]
743 c - [35]
744 c - [5]
745 c - [9]
746 p - [21]
747 p - [31]
748 c - [18]
749 c - [21]
750 c - [21]
751 p - [37]
752 p - [22]
753 c - [11]
754 c - [22]
755 c - [15]
756 p - [22]
757 p - [35]
758 c - [23]
759 c - [46]
760 c - [32]
761 p - [9]
762 p - [14]
763 p - [15]
764 c - [17]
765 c - [31]
766 p - [20]
767 p - [8]
768 c - [12]
769 c - [36]
770 c - [22]
771 p - [13]
772 p - [20]
773 c - [20]
774 c - [16]
775 c - [15]
776 p - [17]
777 p - [26]
778 c - [17]
779 c - [17]
780 c - [45]
781 p - [46]
782 p - [41]
783 c - [34]
784 c - [15]
785 c - [37]
786 p - [40]
787 p - [43]
788 c - [33]
789 c - [13]
790 c - [21]
791 p - [29]
792 p - [35]
793 c - [24]
794 c - [13]
795 c - [8]
796 p - [13]
797 c - [11]
798 c - [8]
799 p - [9]
800 p - [9]
801 c - [5]
802 c - [11]
803 c - [11]
804 p - [5]
805 p - [20]
806 c - [8]
807 c - [23]
808 c - [5]
809 p - [5]
810 p - [8]
811 c - [7]
812 c - [16]
813 c - [4]
814 p - [3]
815 p - [13]
816 c - [11]
817 c - [7]
818 c - [8]
819 p - [6]
820 p - [11]
821 c - [9]
822 c - [5]
823 c - [10]
824 p - [12]
825 p - [16]
826 c - [18]
827 c - [11]
828 c - [10]
829 p - [12]
830 p - [20]
831 c - [22]
832 c - [15]
833 c - [10]
834 p - [14]
835 p - [16]
836 c - [27]
837 c - [28]
838 c - [8]
839 p - [9]
840 p - [7]
841 c - [19]
842 c - [13]
843 c - [6]
844 p - [9]
845 p - [10]
846 c - [8]
847 c - [10]
848 c - [15]
849 p - [22]
850 p - [7]
851 c - [7]
852 c - [15]
853 c - [7]
854 p - [8]
855 p - [10]
856 c - [11]
857 c - [33]
858 c - [7]
859 p - [17]
860 p - [6]
861 c - [14]
862 c - [9]
863 c - [14]
864 p - [7]
865 p - [16]
866 c - [13]
867 c - [10]
868 c - [12]
869 p - [6]
870 p - [15]
871 c - [12]
872 c - [8]
873 c - [14]
874 p - [9]
875 p - [12]
876 c - [12]
877 c - [11]
878 c - [10]
879 c - [46]
880 c - [26]
881 p - [18]
882 p - [11]
883 c - [32]
884 c - [36]
885 c - [50]
886 p - [30]
887 c - [30]
888 c - [21]
889 c - [10]
890 c - [25]
891 p - [25]
892 c - [16]
893 c - [5]
894 c - [7]
895 c - [8]
896 p - [14]
897 c - [11]
898 c - [11]
899 c - [15]
900 c - [24]
901 p - [17]
902 c - [14]
903 c - [14]
904 c - [21]
905 c - [13]
906 p - [39]
907 c - [5]
908 c - [10]
909 c - [14]
910 c - [28]
911 p - [39]
912 c - [4]
913 c - [12]
914 c - [25]
915 c - [17]
916 p - [33]
917 c - [36]
918 c - [49]
919 c - [12]
920 c - [18]
921 p - [23]
922 c - [13]
923 c - [33]
924 c - [17]
925 c - [17]
926 p - [24]
927 c - [56]
928 c - [22]
929 c - [22]
930 c - [29]
931 p - [14]
932 c - [30]
933 c - [23]
934 c - [9]
935 c - [33]
936 p - [24]
937 c - [35]
938 c - [35]
939 c - [18]
940 c - [21]
941 p - [8]
942 c - [11]
943 c - [8]
944 p - [21]
945 p - [7]
946 c - [20]
947 c - [7]
948 c - [8]
949 p - [10]
950 p - [20]
951 c - [16]
952 c - [17]
953 c - [15]
954 p - [17]
955 p - [21]
956 c - [21]
957 c - [16]
958 c - [16]
959 p - [16]
960 p - [12]
961 c - [16]
962 c - [12]
963 c - [14]
964 p - [23]
965 p - [19]
966 c - [19]
967 c - [18]
968 c - [9]
969 p - [15]
970 p - [15]
971 c - [16]
972 c - [32]
973 c - [32]
974 p - [32]
975 p - [14]
976 c - [22]
977 c - [8]
978 c - [19]
979 p - [47]
980 p - [18]
981 c - [13]
982 c - [19]
983 c - [20]
984 p - [17]
985 p - [14]
986 c - [16]
987 c - [16]
988 c - [16]
989 p - [16]
990 p - [16]
991 c - [15]
992 c - [12]
993 c - [18]
994 p - [18]
995 p - [25]
996 c - [7]
997 c - [14]
998 p - [6]
999 p - [4]
1000 c - [17]
1001 c - [10]
1002 c - [4]
1003 p - [4]
1004 p - [6]
1005 c - [16]
1006 c - [8]
1007 c - [9]
1008 p - [8]
1009 p - [8]
1010 c - [10]
1011 c - [16]
1012 c - [3]
1013 p - [6]
1014 p - [12]
1015 c - [2]
1016 c - [19]
1017 c - [9]
1018 p - [9]
1019 p - [7]
1020 c - [3]
1021 c - [6]
1022 c - [4]
1023 p - [6]
1024 p - [16]
1025 c - [4]
1026 c - [22]
1027 c - [4]
1028 p - [10]
1029 p - [18]
1030 c - [7]
1031 c - [5]
1032 c - [13]
1033 p - [13]
1034 p - [4]
1035 c - [12]
1036 c - [7]
1037 c - [4]
1038 p - [13]
1039 p - [12]
1040 c - [18]
1041 c - [23]
1042 c - [10]
1043 p - [10]
1044 p - [12]
1045 c - [6]
1046 c - [13]
1047 c - [5]
1048 p - [5]
1049 p - [6]
1050 c - [4]
1051 c - [2]
1052 c - [11]
1053 p - [6]
1054 p - [11]
1055 c - [6]
1056 c - [6]
1057 c - [2]
1058 p - [3]
1059 p - [13]
1060 c - [8]
1061 c - [17]
1062 c - [23]
1063 p - [26]
1064 p - [33]
1065 c - [12]
1066 c - [13]
1067 c - [11]
1068 p - [31]
1069 p - [13]
1070 c - [11]
1071 c - [13]
1072 c - [14]
1073 p - [8]
1074 p - [11]
1075 c - [10]
1076 c - [7]
1077 c - [20]
1078 p - [13]
1079 p - [8]
1080 c - [12]
1081 c - [18]
1082 c - [10]
1083 p - [32]
1084 p - [21]
1085 c - [7]
1086 c - [14]
1087 c - [9]
1088 p - [32]
1089 p - [17]
1090 c - [15]
1091 c - [18]
1092 c - [24]
1093 p - [28]
1094 p - [24]
1095 c - [13]
1096 c - [23]
1097 c - [24]
1098 p - [5]
1099 p - [10]
1100 c - [20]
1101 c - [25]
1102 c - [17]
1103 p - [29]
1104 p - [18]
1105 c - [22]
1106 c - [21]
1107 c - [12]
1108 p - [22]
1109 p - [15]
1110 c - [24]
1111 c - [22]
1112 c - [20]
1113 p - [15]
1114 p - [14]
1115 c - [20]
1116 c - [15]
1117 c - [15]
1118 p - [24]
1119 p - [22]
1120 c - [8]
1121 c - [23]
1122 c - [15]
1123 c - [21]
1124 c - [38]
1125 p - [16]
1126 p - [33]
1127 c - [9]
1128 c - [32]
1129 c - [37]
1130 p - [18]
1131 p - [20]
1132 c - [13]
1133 c - [25]
1134 c - [10]
1135 p - [8]
1136 p - [22]
1137 c - [10]
1138 c - [19]
1139 c - [34]
1140 p - [27]
1141 p - [18]
1142 c - [37]
1143 c - [9]
1144 c - [9]
1145 p - [9]
1146 p - [7]
1147 c - [10]
1148 c - [4]
1149 c - [4]
1150 p - [18]
1151 p - [11]
1152 c - [13]
1153 c - [7]
1154 c - [2]
1155 p - [7]
1156 p - [27]
1157 c - [9]
1158 c - [5]
1159 c - [30]
1160 p - [49]
1161 p - [26]
1162 c - [3]
1163 c - [10]
1164 c - [20]
1165 p - [10]
1166 p - [7]
1167 c - [6]
1168 c - [7]
1169 c - [13]
1170 p - [14]
1171 p - [16]
1172 c - [10]
1173 c - [9]
1174 c - [8]
1175 p - [8]
1176 p - [10]
1177 c - [9]
1178 c - [12]
1179 c - [8]
1180 p - [16]
1181 p - [10]
1182 c - [9]
1183 c - [21]
1184 c - [11]
1185 p - [8]
1186 p - [12]
1187 c - [9]
1188 c - [12]
1189 c - [10]
1190 p - [22]
1191 p - [7]
1192 c - [8]
1193 c - [8]
1194 c - [17]
1195 p - [9]
1196 p - [16]
1197 c - [22]
1198 c - [19]
1199 c - [12]
1200 p - [23]
1201 p - [14]
1202 c - [16]
1203 c - [16]
1204 c - [16]
1205 p - [50]
1206 p - [14]
1207 c - [37]
1208 c - [21]
1209 c - [14]
1210 p - [30]
1211 p - [31]
1212 c - [9]
1213 c - [13]
1214 c - [49]
1215 p - [28]
1216 p - [23]
1217 c - [14]
1218 c - [21]
1219 c - [21]
1220 p - [15]
1221 p - [27]
1222 c - [43]
1223 c - [9]
1224 c - [20]
1225 p - [37]
1226 p - [18]
1227 c - [35]
1228 c - [16]
1229 c - [12]
1230 p - [36]
1231 p - [22]
1232 c - [25]
1233 c - [17]
1234 c - [29]
1235 p - [29]
1236 p - [18]
1237 c - [9]
1238 c - [8]
1239 c - [27]
1240 p - [48]
1241 p - [16]
1242 c - [22]
1243 c - [13]
1244 c - [21]
1245 p - [17]
1246 p - [5]
1247 c - [11]
1248 c - [27]
1249 c - [12]
1250 p - [10]
1251 p - [28]
1252 c - [14]
1253 c - [8]
1254 c - [8]
1255 p - [24]
1256 p - [23]
1257 c - [21]
1258 c - [17]
1259 c - [15]
1260 p - [15]
1261 p - [39]
1262 c - [23]
1263 c - [25]
1264 c - [17]
1265 p - [27]
1266 p - [19]
1267 c - [24]
1268 c - [10]
1269 c - [13]
1270 p - [26]
1271 p - [22]
1272 c - [14]
1273 c - [11]
1274 c - [15]
1275 p - [6]
1276 p - [26]
1277 c - [13]
1278 c - [7]
1279 c - [20]
1280 c - [15]
1281 c - [36]
1282 p - [35]
1283 p - [34]
1284 c - [34]
1285 c - [19]
1286 c - [27]
1287 p - [42]
1288 p - [27]
1289 c - [23]
1290 c - [35]
1291 c - [20]
1292 p - [18]
1293 p - [24]
1294 c - [16]
1295 c - [29]
1296 c - [20]
1297 p - [77]
1298 p - [50]
1299 c - [20]
1300 c - [29]
1301 c - [9]
1302 p - [18]
1303 p - [34]
1304 c - [29]
1305 c - [35]
1306 c - [16]
1307 p - [20]
1308 p - [25]
1309 c - [12]
1310 c - [34]
1311 c - [9]
1312 p - [16]
1313 p - [27]
1314 c - [13]
1315 c - [35]
1316 c - [18]
1317 p - [37]
1318 p - [18]
1319 c - [31]
1320 c - [53]
1321 c - [21]
1322 p - [46]
1323 p - [24]
1324 c - [32]
1325 c - [47]
1326 c - [36]
1327 p - [14]
1328 p - [33]
1329 c - [46]
1330 c - [18]
1331 c - [20]
1332 p - [37]
1333 p - [62]
1334 c - [63]
1335 c - [45]
1336 c - [22]
1337 p - [40]
1338 p - [45]
1339 p - [25]
1340 c - [52]
1341 c - [77]
1342 p - [50]
1343 p - [27]
1344 c - [21]
1345 c - [25]
1346 c - [14]
1347 p - [18]
1348 p - [17]
1349 c - [17]
1350 c - [16]
1351 c - [11]
1352 p - [24]
1353 p - [20]
1354 c - [31]
1355 c - [26]
1356 c - [26]
1357 p - [12]
1358 p - [11]
1359 c - [12]
1360 c - [16]
1361 c - [25]
1362 p - [17]
1363 p - [16]
1364 c - [7]
1365 c - [22]
1366 c - [7]
1367 c - [20]
1368 c - [24]
1369 p - [3]
1370 p - [7]
1371 c - [18]
1372 c - [17]
1373 c - [11]
1374 c - [9]
1375 c - [11]
1376 c - [2]
1377 c - [18]
1378 c - [19]
1379 c - [27]
1380 c - [11]
1381 c - [8]
1382 c - [28]
1383 c - [2]
1384 c - [12]
1385 c - [9]
1386 c - [36]
1387 c - [14]
1388 c - [18]
1389 c - [6]
1390 p - [23]
1391 c - [31]
1392 c - [16]
1393 c - [21]
1394 c - [23]
1395 c - [12]
1396 c - [22]
1397 c - [30]
1398 c - [12]
1399 c - [7]
1400 c - [34]
1401 c - [21]
1402 p - [24]
1403 p - [30]
1404 c - [25]
1405 c - [25]
1406 c - [25]
1407 p - [25]
1408 p - [27]
1409 p - [26]
1410 c - [29]
1411 c - [27]
1412 p - [27]
1413 p - [27]
1414 c - [27]
1415 c - [33]
1416 c - [28]
1417 p - [26]
1418 p - [28]
1419 c - [28]
1420 c - [28]
1421 c - [24]
1422 p - [41]
1423 p - [26]
1424 c - [29]
1425 c - [27]
1426 c - [29]
1427 p - [28]
1428 p - [27]
1429 c - [32]
1430 c - [26]
1431 c - [25]
1432 p - [27]
1433 p - [28]
1434 c - [27]
1435 c - [26]
1436 c - [30]
1437 p - [28]
1438 p - [25]
1439 c - [27]
1440 c - [23]
1441 c - [33]
1442 p - [25]
1443 p - [23]
1444 c - [25]
1445 c - [24]
1446 c - [22]
1447 p - [26]
1448 p - [32]
1449 c - [26]
1450 c - [25]
1451 c - [25]
1452 p - [25]
1453 p - [25]
1454 c - [25]
1455 c - [30]
1456 c - [23]
1457 p - [22]
1458 p - [29]
1459 c - [21]
1460 c - [22]
1461 c - [25]
1462 p - [26]
1463 p - [27]
1464 c - [27]
1465 c - [30]
1466 c - [25]
1467 p - [27]
1468 p - [27]
1469 c - [24]
1470 c - [27]
1471 c - [39]
1472 p - [28]
1473 p - [30]
1474 c - [29]
1475 c - [35]
1476 c - [31]
1477 p - [28]
1478 p - [26]
1479 c - [26]
1480 c - [30]
1481 c - [27]
1482 c - [17]
1483 c - [18]
1484 p - [16]
1485 p - [12]
1486 c - [19]
1487 c - [21]
1488 c - [18]
1489 p - [23]
1490 p - [17]
1491 c - [18]
1492 c - [23]
1493 c - [24]
1494 p - [12]
1495 p - [13]
1496 c - [15]
1497 c - [18]
1498 c - [23]
1499 p - [19]
1500 p - [22]
1501 c - [17]
1502 c - [12]
1503 c - [31]
1504 p - [62]
1505 p - [25]
1506 c - [26]
1507 c - [12]
1508 c - [24]
1509 p - [36]
1510 p - [19]
1511 p - [30]
1512 c - [18]
1513 c - [15]
1514 p - [17]
1515 p - [14]
1516 c - [18]
1517 c - [18]
1518 c - [21]
1519 p - [30]
1520 p - [17]
1521 c - [18]
1522 c - [19]
1523 c - [19]
1524 p - [24]
1525 p - [40]
1526 c - [12]
1527 c - [25]
1528 c - [14]
1529 p - [14]
1530 p - [24]
1531 c - [19]
1532 c - [19]
1533 c - [22]
1534 p - [23]
1535 p - [39]
1536 c - [19]
1537 c - [18]
1538 c - [12]
1539 p - [13]
1540 p - [14]
1541 c - [19]
1542 c - [27]
1543 c - [26]
1544 p - [23]
1545 p - [15]
1546 c - [12]
1547 c - [14]
1548 c - [18]
1549 p - [12]
1550 p - [21]
1551 c - [22]
1552 c - [22]
1553 c - [15]
1554 p - [40]
1555 p - [13]
1556 c - [19]
1557 c - [19]
1558 c - [15]
1559 p - [21]
1560 p - [13]
1561 c - [11]
1562 c - [22]
1563 c - [17]
1564 c - [47]
1565 c - [22]
1566 p - [71]
1567 p - [58]
1568 c - [55]
1569 c - [29]
1570 c - [47]
1571 p - [55]
1572 p - [40]
1573 c - [58]
1574 c - [14]
1575 c - [23]
1576 p - [57]
1577 p - [35]
1578 c - [34]
1579 c - [48]
1580 c - [28]
1581 p - [36]
1582 p - [37]
1583 c - [39]
1584 c - [32]
1585 c - [44]
1586 p - [17]
1587 p - [29]
1588 c - [39]
1589 c - [19]
1590 c - [21]
1591 p - [39]
1592 p - [56]
1593 c - [27]
1594 c - [26]
1595 p - [33]
1596 c - [20]
1597 p - [22]
1598 c - [24]
1599 c - [69]
1600 c - [43]
1601 p - [20]
1602 c - [47]
1603 c - [67]
1604 c - [50]
1605 c - [29]
1606 c - [38]
1607 c - [24]
1608 c - [52]
1609 c - [33]
1610 c - [30]
1611 c - [52]
1612 p - [49]
1613 c - [63]
1614 c - [29]
1615 c - [35]
1616 p - [44]
1617 c - [42]
1618 c - [56]
1619 c - [60]
1620 c - [33]
1621 p - [45]
1622 c - [42]
1623 c - [60]
1624 c - [40]
1625 c - [45]
1626 c - [37]
1627 p - [30]
1628 c - [49]
1629 c - [22]
1630 c - [45]
1631 p - [31]
1632 c - [32]
1633 c - [28]
1634 c - [59]
1635 c - [52]
1636 c - [37]
1637 c - [60]
1638 c - [47]
1639 c - [42]
1640 c - [29]
1641 c - [45]
1642 p - [58]
1643 c - [38]
1644 c - [35]
1645 c - [28]
1646 p - [22]
1647 c - [41]
1648 c - [22]
1649 c - [54]
1650 c - [34]
1651 c - [47]
1652 c - [24]
1653 c - [37]
1654 c - [28]
1655 c - [17]
1656 c - [43]
1657 p - [32]
