#TFM v1.0.8 by tritical
field = bottom
crc32 = 276a215
159 c - [22]
160 c - [23]
161 c - [22]
162 p - [23]
163 p - [24]
164 c - [20]
165 c - [29]
166 c - [22]
167 p - [23]
168 p - [23]
169 c - [23]
170 c - [23]
171 c - [25]
172 p - [23]
173 p - [29]
174 c - [24]
175 c - [80]
176 c - [80]
177 p - [24]
178 p - [29]
179 c - [30]
180 c - [36]
181 c - [22]
182 p - [27]
183 p - [21]
184 c - [21]
185 c - [21]
186 c - [21]
187 p - [30]
188 p - [72]
189 c - [20]
190 c - [21]
191 c - [41]
192 p - [31]
193 p - [20]
194 c - [22]
195 c - [24]
196 c - [27]
197 p - [20]
198 p - [31]
199 c - [21]
200 c - [21]
201 c - [27]
202 p - [33]
203 p - [41]
204 c - [21]
205 c - [36]
206 c - [23]
207 p - [28]
208 p - [38]
209 p - [23]
210 c - [20]
211 c - [22]
212 p - [23]
213 p - [27]
214 c - [25]
215 c - [25]
216 c - [44]
217 c - [19]
218 c - [42]
219 c - [58]
220 c - [28]
221 c - [21]
222 p - [24]
223 p - [28]
224 p - [22]
225 c - [24]
226 c - [23]
227 p - [22]
228 c - [46]
229 p - [21]
230 c - [23]
231 p - [23]
232 c - [53]
233 p - [24]
234 c - [23]
235 c - [23]
236 c - [21]
237 p - [48]
238 c - [61]
239 c - [25]
240 c - [18]
241 p - [9]
242 p - [10]
243 c - [18]
244 c - [39]
245 c - [8]
246 c - [14]
247 c - [20]
248 c - [38]
249 c - [18]
250 c - [34]
251 c - [27]
252 c - [55]
253 p - [12]
254 c - [16]
255 c - [42]
256 c - [10]
257 c - [14]
258 p - [11]
259 c - [28]
260 c - [50]
261 c - [20]
262 c - [17]
263 p - [9]
264 c - [17]
265 c - [11]
266 c - [30]
267 p - [52]
268 p - [49]
269 c - [9]
270 c - [10]
271 c - [29]
272 p - [35]
273 p - [12]
274 c - [52]
275 c - [10]
276 c - [3]
277 p - [8]
278 p - [18]
279 c - [30]
280 c - [17]
281 c - [9]
282 p - [20]
283 p - [23]
284 c - [2]
285 c - [9]
286 c - [28]
287 p - [25]
288 p - [22]
289 c - [3]
290 c - [6]
291 c - [18]
292 p - [19]
293 p - [11]
294 c - [23]
295 c - [4]
296 c - [20]
297 p - [19]
298 p - [29]
299 c - [6]
300 c - [6]
301 c - [5]
302 p - [8]
303 p - [11]
304 c - [8]
305 c - [6]
306 c - [10]
307 p - [35]
308 p - [18]
309 c - [4]
310 c - [46]
311 c - [10]
312 p - [9]
313 p - [17]
314 c - [27]
315 c - [19]
316 c - [4]
317 p - [5]
318 p - [11]
319 c - [7]
320 c - [7]
321 c - [4]
322 p - [5]
323 p - [16]
324 c - [12]
325 c - [6]
326 c - [3]
327 p - [5]
328 p - [8]
329 p - [4]
330 c - [28]
331 c - [16]
332 p - [24]
333 p - [7]
334 c - [9]
335 c - [9]
336 c - [13]
337 p - [7]
338 p - [17]
339 c - [4]
340 c - [12]
341 c - [22]
342 p - [19]
343 p - [8]
344 p - [9]
345 c - [3]
346 c - [14]
347 p - [5]
348 p - [33]
349 c - [9]
350 c - [5]
351 c - [6]
352 p - [10]
353 p - [11]
354 c - [10]
355 c - [17]
356 c - [17]
357 p - [23]
358 p - [9]
359 c - [33]
360 c - [3]
361 c - [4]
362 p - [8]
363 p - [11]
364 c - [6]
365 c - [13]
366 c - [28]
367 p - [13]
368 p - [14]
369 c - [26]
370 c - [6]
371 c - [19]
372 p - [10]
373 p - [10]
374 c - [10]
375 c - [21]
376 c - [4]
377 p - [21]
378 p - [9]
379 c - [7]
380 c - [7]
381 c - [13]
382 p - [7]
383 p - [12]
384 c - [13]
385 c - [3]
386 c - [31]
387 p - [15]
388 p - [14]
389 c - [15]
390 c - [10]
391 c - [12]
392 p - [15]
393 p - [25]
394 c - [25]
395 c - [8]
396 c - [13]
397 p - [16]
398 p - [12]
399 c - [14]
400 c - [7]
401 c - [11]
402 p - [5]
403 p - [5]
404 c - [11]
405 c - [6]
406 c - [18]
407 p - [26]
408 p - [10]
409 c - [7]
410 c - [9]
411 c - [8]
412 p - [9]
413 c - [9]
414 p - [8]
415 c - [9]
416 c - [14]
417 c - [5]
418 p - [15]
419 c - [4]
420 c - [6]
421 c - [9]
422 p - [10]
423 p - [7]
424 c - [10]
425 c - [16]
426 c - [12]
427 p - [10]
428 p - [6]
429 c - [7]
430 c - [17]
431 c - [22]
432 p - [7]
433 p - [7]
434 c - [9]
435 c - [13]
436 c - [25]
437 p - [15]
438 p - [5]
439 c - [23]
440 c - [11]
441 c - [9]
442 p - [7]
443 l + [96]
444 c - [7]
445 l + [94]
446 l + [88]
447 c - [10]
448 c - [19]
449 p - [15]
450 c - [11]
451 c - [67]
452 p - [14]
453 p - [18]
454 c - [13]
455 c - [18]
456 c - [12]
457 p - [20]
458 p - [26]
459 c - [6]
460 c - [8]
461 c - [14]
462 p - [13]
463 p - [27]
464 c - [13]
465 c - [13]
466 c - [5]
467 p - [9]
468 p - [13]
469 c - [20]
470 c - [12]
471 c - [16]
472 p - [11]
473 p - [9]
474 c - [16]
475 c - [24]
476 c - [12]
477 p - [9]
478 p - [42]
479 c - [20]
480 c - [15]
481 c - [18]
482 p - [18]
483 p - [12]
484 c - [31]
485 c - [12]
486 c - [7]
487 p - [9]
488 p - [17]
489 c - [21]
490 c - [8]
491 c - [7]
492 p - [5]
493 p - [13]
494 c - [9]
495 c - [23]
496 c - [9]
497 p - [8]
498 p - [4]
499 c - [10]
500 c - [4]
501 c - [3]
502 p - [24]
503 p - [8]
504 c - [9]
505 c - [9]
506 c - [2]
507 p - [6]
508 p - [10]
509 c - [10]
510 c - [3]
511 c - [15]
512 p - [9]
513 p - [8]
514 c - [13]
515 c - [4]
516 c - [7]
517 p - [13]
518 p - [13]
519 c - [13]
520 c - [8]
521 c - [10]
522 u - [9]
523 p - [9]
524 c - [9]
525 c - [13]
526 c - [19]
527 p - [14]
528 p - [12]
529 c - [9]
530 c - [7]
531 c - [11]
532 p - [13]
533 p - [8]
534 c - [21]
535 c - [15]
536 c - [15]
537 p - [11]
538 p - [15]
539 p - [33]
540 c - [27]
541 c - [20]
542 p - [23]
543 u - [11]
544 c - [16]
545 c - [8]
546 c - [10]
547 p - [14]
548 p - [10]
549 c - [13]
550 c - [29]
551 c - [13]
552 p - [19]
553 p - [17]
554 c - [11]
555 c - [13]
556 c - [13]
557 p - [17]
558 p - [20]
559 c - [19]
560 c - [7]
561 c - [17]
562 p - [19]
563 p - [14]
564 c - [9]
565 c - [8]
566 c - [11]
567 p - [8]
568 p - [12]
569 c - [25]
570 c - [9]
571 c - [14]
572 p - [4]
573 p - [11]
574 c - [12]
575 c - [20]
576 c - [7]
577 p - [5]
578 p - [10]
579 c - [10]
580 c - [8]
581 c - [6]
582 p - [10]
583 p - [7]
584 c - [10]
585 c - [5]
586 c - [9]
587 p - [17]
588 p - [17]
589 c - [12]
590 c - [11]
591 c - [6]
592 p - [9]
593 p - [13]
594 c - [5]
595 c - [15]
596 c - [8]
597 p - [21]
598 p - [49]
599 p - [18]
600 c - [4]
601 c - [19]
602 u - [9]
603 p - [9]
604 c - [22]
605 c - [11]
606 c - [9]
607 p - [8]
608 p - [56]
609 c - [12]
610 c - [33]
611 c - [40]
612 p - [24]
613 p - [15]
614 c - [40]
615 c - [24]
616 c - [9]
617 p - [21]
618 p - [19]
619 c - [29]
620 c - [8]
621 c - [25]
622 p - [18]
623 p - [13]
624 c - [12]
625 c - [8]
626 c - [25]
627 p - [28]
628 p - [18]
629 c - [16]
630 c - [9]
631 c - [26]
632 c - [3]
633 p - [10]
634 c - [6]
635 c - [7]
636 c - [47]
637 p - [24]
638 p - [9]
639 c - [10]
640 c - [11]
641 c - [4]
642 p - [8]
643 c - [9]
644 c - [4]
645 c - [16]
646 c - [13]
647 p - [8]
648 p - [11]
649 c - [10]
650 c - [8]
651 c - [8]
652 p - [16]
653 p + [104]
654 c - [4]
655 c - [7]
656 c - [6]
657 p - [13]
658 p - [12]
659 c - [6]
660 c - [7]
661 c - [8]
662 p - [2]
663 p - [8]
664 c - [2]
665 c - [13]
666 c - [9]
667 p - [15]
668 p - [8]
669 c - [19]
670 c - [13]
671 c - [27]
672 p - [18]
673 p - [11]
674 p - [18]
675 c - [27]
676 c - [15]
677 p - [11]
678 p - [16]
679 c - [7]
680 c - [16]
681 c - [10]
682 p - [24]
683 p - [25]
684 c - [24]
685 c - [13]
686 u - [7]
687 p - [7]
688 p - [29]
689 c - [7]
690 c - [15]
691 c - [12]
692 p - [15]
693 p - [35]
694 c - [10]
695 c - [14]
696 c - [10]
697 p - [20]
698 p - [16]
699 c - [16]
700 c - [22]
701 c - [21]
702 p - [33]
703 p - [18]
704 c - [19]
705 c - [9]
706 c - [15]
707 c - [9]
708 p - [8]
709 c - [5]
710 p - [4]
711 p - [11]
712 c - [5]
713 p - [5]
714 p - [11]
715 p - [23]
716 p - [14]
717 c - [10]
718 c - [8]
719 c - [19]
720 c - [17]
721 c - [17]
722 p - [13]
723 c - [27]
724 c - [8]
725 c - [8]
726 c - [8]
727 p - [80]
728 p - [13]
729 p - [18]
730 p - [14]
731 c - [12]
732 p - [5]
733 p - [30]
734 p - [4]
735 p - [6]
736 c - [24]
737 c - [10]
738 p - [5]
739 p - [3]
740 c - [8]
741 p - [3]
742 c - [9]
743 c - [9]
744 p - [11]
745 c - [25]
746 p - [8]
747 p - [9]
748 c - [13]
749 p - [10]
750 c - [9]
751 p - [9]
752 p - [8]
753 p - [23]
754 p - [13]
755 c - [7]
756 c - [10]
757 p - [23]
758 p - [21]
759 c - [7]
760 p - [12]
761 c - [11]
762 c - [4]
763 c - [23]
764 c - [6]
765 p - [4]
766 c - [15]
767 c - [3]
768 p - [7]
769 c - [7]
770 p - [8]
771 p - [16]
772 p - [9]
773 p - [13]
774 c - [13]
775 c - [6]
776 p - [7]
777 p - [10]
778 c - [11]
779 c - [10]
780 c - [23]
781 c - [28]
782 p - [24]
783 p - [22]
784 c - [23]
785 c - [18]
786 c - [5]
787 p - [18]
788 p - [20]
789 c - [22]
790 c - [4]
791 c - [12]
792 p - [15]
793 p - [15]
794 c - [14]
795 c - [14]
796 c - [13]
797 p - [16]
798 p - [12]
799 c - [9]
800 c - [6]
801 c - [11]
802 p - [35]
803 p - [18]
804 c - [9]
805 c - [12]
806 c - [19]
807 p - [14]
808 p - [16]
809 c - [11]
810 c - [13]
811 c - [12]
812 p - [7]
813 p - [20]
814 c - [4]
815 c - [6]
816 c - [10]
817 p - [11]
818 p - [15]
819 c - [18]
820 c - [7]
821 c - [18]
822 p - [24]
823 p - [14]
824 c - [9]
825 c - [15]
826 c - [18]
827 p - [61]
828 p - [55]
829 c - [17]
830 c - [11]
831 c - [14]
832 p - [21]
833 p - [27]
834 c - [13]
835 c - [12]
836 c - [20]
837 p - [19]
838 p - [29]
839 c - [34]
840 c - [17]
841 c - [16]
842 p - [33]
843 p - [9]
844 c - [36]
845 c - [13]
846 c - [53]
847 p - [21]
848 p - [25]
849 p - [18]
850 c - [21]
851 c - [25]
852 p + [82]
853 p - [13]
854 c - [6]
855 c - [13]
856 c - [30]
857 p - [28]
858 p - [13]
859 c - [15]
860 c - [10]
861 c - [23]
862 p - [29]
863 p - [38]
864 c - [29]
865 c - [17]
866 c - [44]
867 p - [20]
868 p - [14]
869 c - [21]
870 c - [11]
871 l + [82]
872 p - [16]
873 p - [9]
874 c - [12]
875 c - [27]
876 c - [18]
877 p - [22]
878 p - [21]
879 c - [80]
880 c - [6]
881 c - [17]
882 p - [15]
883 p - [28]
884 c - [9]
885 c - [9]
886 c - [6]
887 p - [19]
888 p - [13]
889 c - [4]
890 c - [19]
891 c - [30]
892 p - [28]
893 p - [16]
894 c - [10]
895 c - [6]
896 c - [6]
897 p - [5]
898 p - [9]
899 c - [12]
900 c - [17]
901 c - [80]
902 p + [81]
903 p - [33]
904 c - [22]
905 c - [14]
906 c - [31]
907 p - [21]
908 p - [22]
909 c - [32]
910 c - [10]
911 c - [21]
912 p - [54]
913 p - [41]
914 c - [80]
915 c - [10]
916 c - [7]
917 p - [8]
918 p - [9]
919 c - [14]
920 c - [15]
921 c - [12]
922 p - [15]
923 p - [8]
924 c - [15]
925 c - [32]
926 c - [7]
927 p - [53]
928 p - [10]
929 c - [29]
930 c - [9]
931 c - [25]
932 p - [10]
933 p - [47]
934 l + [83]
935 c - [45]
936 c - [14]
937 p - [19]
938 p - [32]
939 c - [18]
940 c - [23]
941 c - [12]
942 p - [16]
943 p - [12]
944 c - [10]
945 c - [16]
946 c - [23]
947 p - [21]
948 p - [8]
949 c - [12]
950 c - [16]
951 c - [12]
952 p - [13]
953 p - [13]
954 c - [18]
955 c - [13]
956 c - [10]
957 p - [8]
958 p - [11]
959 c - [8]
960 c - [19]
961 c - [35]
962 p - [30]
963 p - [29]
964 c - [29]
965 c - [15]
966 c - [16]
967 p - [18]
968 p - [8]
969 c - [30]
970 c - [19]
971 c - [19]
972 p - [17]
973 p - [25]
974 c - [19]
975 c - [8]
976 c - [18]
977 p - [5]
978 p - [16]
979 c - [10]
980 c - [7]
981 c - [7]
982 p - [7]
983 p - [3]
984 c - [7]
985 c - [18]
986 c - [8]
987 p - [10]
988 p - [18]
989 c - [20]
990 c - [17]
991 c - [12]
992 p - [20]
993 p - [11]
994 c - [6]
995 c - [4]
996 c - [17]
997 p - [13]
998 p - [15]
999 p - [47]
1000 c - [20]
1001 c - [55]
1002 p - [6]
1003 p - [6]
1004 c - [21]
1005 c - [16]
1006 c - [29]
1007 p - [14]
1008 p - [17]
1009 c - [14]
1010 c - [13]
1011 c - [8]
1012 p - [8]
1013 p - [7]
1014 c - [16]
1015 c - [14]
1016 c - [12]
1017 p - [14]
1018 p - [25]
1019 c - [3]
1020 c - [10]
1021 c - [12]
1022 p - [20]
1023 p - [16]
1024 c - [21]
1025 c - [22]
1026 c - [27]
1027 p - [20]
1028 p - [21]
1029 c - [22]
1030 c - [11]
1031 c - [17]
1032 p - [25]
1033 p - [19]
1034 c - [27]
1035 c - [17]
1036 c - [19]
1037 p - [18]
1038 p - [19]
1039 c - [23]
1040 c - [20]
1041 c - [25]
1042 p - [22]
1043 p - [25]
1044 p - [16]
1045 c - [39]
1046 c - [22]
1047 p - [29]
1048 p - [16]
1049 c - [10]
1050 c - [16]
1051 c - [26]
1052 p - [19]
1053 p - [26]
1054 c - [21]
1055 c - [31]
1056 c - [15]
1057 p - [30]
1058 p - [11]
1059 c - [15]
1060 c - [15]
1061 c - [15]
1062 p - [16]
1063 p - [25]
1064 c - [26]
1065 c - [6]
1066 c - [17]
1067 p - [14]
1068 p - [9]
1069 c - [6]
1070 c - [20]
1071 c - [12]
1072 p - [16]
1073 p - [23]
1074 c - [12]
1075 c - [8]
1076 c - [11]
1077 p - [12]
1078 p - [24]
1079 c - [14]
1080 c - [15]
1081 c - [9]
1082 p - [20]
1083 p - [25]
1084 c - [12]
1085 c - [10]
1086 c - [12]
1087 p - [7]
1088 p - [25]
1089 c - [4]
1090 c - [4]
1091 c - [21]
1092 p - [24]
1093 p - [11]
1094 c - [18]
1095 c - [20]
1096 c - [23]
1097 p - [19]
1098 p - [31]
1099 p - [24]
1100 c - [24]
1101 c - [25]
1102 p - [12]
1103 p - [9]
1104 c - [36]
1105 c - [17]
1106 c - [44]
1107 p - [13]
1108 p - [18]
1109 c - [77]
1110 c - [27]
1111 c - [12]
1112 p - [26]
1113 p - [16]
1114 c - [19]
1115 c - [24]
1116 c - [9]
1117 p - [20]
1118 p - [28]
1119 c - [19]
1120 l + [86]
1121 c - [44]
1122 p - [15]
1123 p - [17]
1124 c - [25]
1125 c - [13]
1126 c - [19]
1127 p - [16]
1128 p + [91]
1129 l + [85]
1130 c - [14]
1131 c - [21]
1132 p - [26]
1133 p - [16]
1134 c - [11]
1135 c - [31]
1136 c - [13]
1137 p - [18]
1138 p - [13]
1139 c - [7]
1140 c - [7]
1141 c - [23]
1142 p - [15]
1143 p - [18]
1144 c - [11]
1145 c - [14]
1146 c - [18]
1147 p - [80]
1148 p - [8]
1149 c - [25]
1150 c - [10]
1151 c - [6]
1152 p - [13]
1153 p - [10]
1154 c - [9]
1155 c - [11]
1156 c - [9]
1157 p - [10]
1158 p - [19]
1159 c - [15]
1160 c - [16]
1161 c - [28]
1162 p - [16]
1163 p - [9]
1164 c - [18]
1165 c - [5]
1166 c - [10]
1167 p - [6]
1168 p - [11]
1169 c - [7]
1170 c - [5]
1171 c - [3]
1172 p - [4]
1173 p - [6]
1174 c - [12]
1175 c - [5]
1176 c - [80]
1177 p + [87]
1178 p - [39]
1179 c - [16]
1180 c - [18]
1181 c - [20]
1182 p - [13]
1183 p - [9]
1184 c - [8]
1185 c - [18]
1186 c - [25]
1187 p - [10]
1188 p - [28]
1189 c - [5]
1190 c - [11]
1191 c - [4]
1192 p - [7]
1193 p - [15]
1194 c - [17]
1195 c - [12]
1196 c - [7]
1197 p - [8]
1198 p - [24]
1199 c - [13]
1200 c - [11]
1201 c - [15]
1202 p - [20]
1203 p - [15]
1204 l + [91]
1205 c - [9]
1206 c - [15]
1207 p - [11]
1208 p - [25]
1209 c - [16]
1210 c - [15]
1211 c - [21]
1212 p - [25]
1213 p - [20]
1214 c - [16]
1215 c - [18]
1216 c - [20]
1217 p - [17]
1218 p - [21]
1219 c - [23]
1220 c - [19]
1221 c - [18]
1222 p - [14]
1223 p - [23]
1224 c - [26]
1225 c - [26]
1226 c - [28]
1227 p - [16]
1228 p - [21]
1229 l + [82]
1230 c - [18]
1231 c - [45]
1232 p - [37]
1233 p - [16]
1234 c - [5]
1235 c - [16]
1236 c - [22]
1237 p - [23]
1238 p - [32]
1239 c - [21]
1240 c - [9]
1241 c - [16]
1242 p - [21]
1243 p - [20]
1244 c - [25]
1245 c - [11]
1246 c - [9]
1247 p - [19]
1248 p - [12]
1249 c - [46]
1250 c - [28]
1251 c - [17]
1252 p - [24]
1253 p + [94]
1254 l + [96]
1255 c - [40]
1256 c - [16]
1257 p - [16]
1258 p - [16]
1259 c - [24]
1260 c - [17]
1261 c - [16]
1262 p - [15]
1263 p - [16]
1264 c - [30]
1265 c - [19]
1266 c - [17]
1267 p - [27]
1268 p - [22]
1269 c - [16]
1270 c - [16]
1271 c - [12]
1272 p - [45]
1273 p - [20]
1274 c - [6]
1275 c - [10]
1276 c - [16]
1277 p - [16]
1278 p - [75]
1279 c - [19]
1280 c - [16]
1281 c - [24]
1282 p - [28]
1283 p - [21]
1284 c - [16]
1285 c - [17]
1286 c - [21]
1287 p - [16]
1288 p - [15]
1289 c - [16]
1290 c - [16]
1291 c - [24]
1292 p - [8]
1293 p - [10]
1294 c - [14]
1295 c - [25]
1296 c - [15]
1297 u - [11]
1298 p - [11]
1299 c - [19]
1300 c - [16]
1301 c - [29]
1302 p - [14]
1303 p - [19]
1304 c - [12]
1305 c - [18]
1306 c - [17]
1307 p - [19]
1308 p + [82]
1309 l + [84]
1310 c - [16]
1311 c - [24]
1312 p - [17]
1313 p - [11]
1314 c - [13]
1315 c - [13]
1316 c - [9]
1317 p - [11]
1318 p - [13]
1319 p - [15]
1320 c - [25]
1321 c - [13]
1322 p - [11]
1323 p - [16]
1324 c - [15]
1325 c - [24]
1326 c - [13]
1327 p - [13]
1328 p - [77]
1329 c - [17]
1330 c - [21]
1331 c - [16]
1332 p - [19]
1333 p - [24]
1334 c - [16]
1335 c - [16]
1336 c - [16]
1337 p - [20]
1338 p - [19]
1339 l + [85]
1340 c - [28]
1341 c - [16]
1342 p - [17]
1343 p - [20]
1344 c - [23]
1345 c - [26]
1346 c - [16]
1347 p - [20]
1348 p - [25]
1349 c - [21]
1350 c - [16]
1351 c - [19]
1352 p - [18]
1353 p - [33]
1354 c - [17]
1355 c - [18]
1356 c - [23]
1357 p - [26]
1358 p - [19]
1359 c - [33]
1360 c - [19]
1361 c - [64]
1362 p - [42]
1363 p - [16]
1364 c - [35]
1365 c - [24]
1366 c - [53]
1367 p - [20]
1368 p - [17]
1369 c - [21]
1370 c - [48]
1371 c - [22]
1372 p - [35]
1373 p - [70]
1374 c - [26]
1375 c - [15]
1376 c - [28]
1377 p - [14]
1378 p - [22]
1379 c - [19]
1380 c - [22]
1381 c - [20]
1382 p - [19]
1383 p - [21]
1384 c - [20]
1385 c - [16]
1386 c - [9]
1387 p - [7]
1388 p - [21]
1389 c - [9]
1390 c - [32]
1391 c - [19]
1392 p - [18]
1393 p - [16]
1394 c - [16]
1395 c - [17]
1396 c - [28]
1397 p - [23]
1398 p - [19]
1399 c - [27]
1400 c - [24]
1401 c - [16]
1402 p - [16]
1403 p - [16]
1404 c - [30]
1405 c - [61]
1406 c - [15]
1407 p - [15]
1408 p - [36]
1409 c - [16]
1410 c - [55]
1411 c - [33]
1412 p - [45]
1413 p - [48]
1414 c - [11]
1415 c - [25]
1416 c - [14]
1417 p - [11]
1418 p - [38]
1419 c - [15]
1420 c - [6]
1421 c - [58]
1422 p - [40]
1423 p - [20]
1424 c - [18]
1425 c - [54]
1426 c - [24]
1427 p - [23]
1428 p - [38]
1429 c - [17]
1430 c - [49]
1431 c - [16]
1432 p - [27]
1433 p - [28]
1434 c - [16]
1435 c - [10]
1436 c - [42]
1437 p - [20]
1438 p - [68]
1439 c - [33]
1440 c - [14]
1441 c - [16]
1442 p - [42]
1443 p - [20]
1444 c - [37]
1445 c - [47]
1446 c - [21]
1447 p + [94]
1448 p - [68]
1449 c - [13]
1450 c - [17]
1451 c - [7]
1452 p - [37]
1453 p - [17]
1454 c - [16]
1455 c - [61]
1456 c - [51]
1457 p - [12]
1458 p - [15]
1459 c - [12]
1460 c - [12]
1461 c - [18]
1462 p - [23]
1463 p - [16]
1464 c - [33]
1465 c - [13]
1466 c - [6]
1467 p - [27]
1468 p - [9]
1469 c - [16]
1470 c - [32]
1471 c - [9]
1472 p - [19]
1473 p - [38]
1474 c - [19]
1475 c - [26]
1476 c - [12]
1477 p - [18]
1478 p - [19]
1479 c - [9]
1480 c - [6]
1481 c - [11]
1482 p - [9]
1483 p - [8]
1484 c - [8]
1485 c - [18]
1486 c - [20]
1487 p - [23]
1488 p - [42]
1489 c - [18]
1490 c - [9]
1491 c - [5]
1492 p - [26]
1493 p - [30]
1494 c - [9]
1495 c - [14]
1496 c - [6]
1497 p - [29]
1498 p - [25]
1499 c - [16]
1500 c - [16]
1501 c - [6]
1502 p - [13]
1503 p - [12]
1504 c - [15]
1505 c - [80]
1506 c - [80]
1507 p - [19]
1508 p - [22]
1509 c - [40]
1510 c - [12]
1511 c - [9]
1512 p - [24]
1513 p - [15]
1514 c - [33]
1515 c - [8]
1516 c - [32]
1517 p + [83]
1518 p - [17]
1519 c - [18]
1520 c - [15]
1521 c - [17]
1522 p - [17]
1523 p - [16]
1524 c - [10]
1525 c - [26]
1526 c - [28]
1527 p - [12]
1528 p - [24]
1529 c - [14]
1530 c - [24]
1531 c - [18]
1532 p - [8]
1533 p - [15]
1534 l + [91]
1535 c - [19]
1536 l + [91]
1537 p - [17]
1538 p - [16]
1539 c - [14]
1540 c - [22]
1541 c - [14]
1542 c - [28]
1543 c - [14]
1544 c - [16]
1545 c - [18]
1546 c - [10]
1547 c - [12]
1548 c - [11]
1549 c - [11]
1550 c - [16]
1551 c - [12]
1552 c - [11]
1553 c - [29]
1554 c - [14]
1555 c - [12]
1556 c - [14]
1557 c - [27]
1558 c - [14]
1559 c - [11]
1560 c - [13]
1561 c - [20]
1562 c - [15]
1563 c - [13]
1564 c - [21]
1565 c - [25]
1566 c - [20]
1567 p - [11]
1568 c - [25]
1569 c - [24]
1570 c - [26]
1571 c - [21]
1572 c - [17]
1573 c - [11]
1574 c - [19]
1575 c - [13]
1576 c - [34]
1577 c - [35]
1578 c - [19]
1579 c - [21]
1580 c - [14]
1581 c - [11]
1582 c - [16]
1583 c - [20]
1584 c - [16]
1585 c - [18]
1586 c - [14]
1587 c - [16]
1588 c - [21]
1589 c - [17]
1590 c - [17]
1591 c - [14]
1592 c - [21]
1593 c - [12]
1594 c - [17]
1595 c - [17]
1596 c - [19]
1597 c - [25]
1598 c - [42]
1599 c - [24]
1600 c - [10]
1601 c - [15]
1602 c - [18]
1603 c - [16]
1604 l + [86]
1605 c - [18]
1606 c - [14]
1607 c - [16]
1608 c - [26]
1609 c - [16]
1610 c - [12]
1611 c - [13]
1612 c - [14]
1613 c - [10]
1614 c - [12]
1615 c - [17]
1616 c - [11]
1617 l + [96]
1618 c - [14]
1619 c - [13]
1620 c - [11]
1621 c - [14]
1622 c - [16]
1623 c - [16]
1624 c - [25]
1625 c - [11]
1626 c - [9]
1627 p - [24]
1628 c - [40]
1629 c - [11]
1630 c - [12]
1631 c - [21]
1632 p - [15]
1633 c - [22]
1634 c - [20]
1635 c - [19]
1636 c - [14]
1637 c - [21]
1638 c - [25]
1639 c - [10]
1640 c - [19]
1641 c - [32]
1642 c - [14]
1643 p - [18]
1644 c - [14]
1645 p - [25]
1646 c - [26]
1647 c - [14]
1648 l + [96]
1649 p - [14]
1650 c - [22]
1651 c - [26]
1652 c - [12]
1653 c - [14]
1654 c - [20]
1655 c - [21]
1656 c - [12]
1657 c - [14]
1658 c - [14]
