#TFM v1.0.8 by tritical
field = bottom
crc32 = f7df6e5a
418 p - [19]
419 c - [31]
420 l + [98]
421 l + [96]
422 p + [85]
423 p + [93]
424 l + [87]
425 c - [79]
426 l + [83]
427 p + [84]
428 p + [83]
429 l + [93]
430 c - [80]
431 u - [9]
432 p - [9]
433 p - [80]
434 p - [80]
435 l + [84]
436 u - [23]
437 p - [23]
438 p - [64]
439 l + [87]
440 c - [28]
441 l + [89]
442 p - [30]
443 p - [16]
444 l + [94]
445 l + [84]
446 l + [81]
447 p - [51]
448 p + [87]
449 l + [81]
450 l + [90]
451 l + [106]
452 p - [80]
453 p + [94]
454 l + [101]
455 l + [96]
456 l + [87]
457 p + [86]
458 p + [93]
459 l + [97]
460 l + [96]
461 l + [87]
462 p + [95]
463 p + [99]
464 l + [91]
465 l + [85]
466 l + [94]
467 p + [85]
468 p + [87]
469 c - [14]
470 l + [95]
471 l + [83]
472 u - [13]
473 p - [13]
474 l + [83]
475 l + [95]
476 u - [30]
477 p - [30]
478 p - [48]
479 l + [88]
480 l + [97]
481 l + [92]
482 p + [89]
483 p - [33]
484 c - [29]
485 l + [85]
486 l + [86]
487 p + [87]
488 p - [80]
489 l + [88]
490 c - [19]
491 l + [96]
492 p + [88]
493 p + [96]
494 l + [95]
495 l + [96]
496 c - [37]
497 p - [71]
498 p + [84]
499 c - [80]
500 c - [75]
501 c - [42]
502 p - [28]
503 c - [27]
504 c - [45]
505 l + [93]
506 c - [13]
507 p + [91]
508 p - [80]
509 l + [83]
510 c - [65]
511 l + [87]
512 p + [91]
513 p + [90]
514 l + [82]
515 l + [81]
516 c - [6]
517 p - [6]
518 p + [90]
519 l + [82]
520 l + [82]
521 c - [16]
522 p - [15]
523 p + [98]
524 l + [96]
525 l + [92]
526 l + [85]
527 p + [84]
528 p - [3]
529 p - [5]
530 c - [59]
531 c - [74]
532 p - [80]
533 p - [3]
534 c - [80]
535 l + [87]
536 c - [7]
537 p - [9]
538 p + [96]
539 l + [92]
540 c - [3]
541 l + [82]
542 p + [85]
543 p + [93]
544 l + [89]
545 l + [97]
546 l + [90]
547 p + [87]
548 p + [100]
549 l + [93]
550 l + [83]
551 l + [84]
552 p + [84]
553 p - [13]
554 l + [84]
555 c - [8]
556 c - [23]
557 p + [89]
558 p + [96]
559 c - [4]
560 c - [31]
561 l + [100]
562 p + [82]
563 p - [80]
564 c - [80]
565 l + [82]
566 l + [91]
567 p + [90]
568 p - [12]
569 c - [74]
570 l + [99]
571 l + [94]
572 p + [94]
573 p + [89]
574 c - [68]
575 l + [82]
576 c - [76]
577 p - [24]
578 p - [25]
579 l + [84]
580 l + [93]
581 l + [115]
582 p + [94]
583 p + [96]
584 l + [99]
585 c - [54]
586 c - [80]
587 p - [24]
588 l + [100]
589 c - [33]
590 l + [99]
591 l + [99]
592 p + [100]
593 l + [109]
594 p + [109]
595 c - [48]
596 c - [15]
597 l + [110]
598 c - [7]
599 c - [61]
600 c - [17]
601 l + [108]
602 l + [106]
603 c - [8]
604 l + [101]
605 l + [99]
606 l + [105]
607 l + [100]
608 c - [8]
609 l + [103]
610 c - [21]
611 c - [27]
612 l + [105]
613 l + [96]
614 l + [100]
615 l + [86]
616 c - [20]
617 p - [80]
618 p - [47]
619 c - [6]
620 c - [20]
621 c - [68]
622 p - [17]
623 p - [16]
624 c - [30]
625 c - [80]
626 l + [84]
627 p - [8]
628 p - [6]
629 p - [34]
630 l + [83]
631 c - [34]
632 p - [30]
633 p - [37]
634 c - [9]
635 c - [15]
636 c - [12]
637 p - [13]
638 p - [80]
639 c - [17]
640 c - [12]
641 c - [10]
642 p - [11]
643 p - [9]
644 c - [4]
645 c - [14]
646 l + [84]
647 p - [7]
648 p - [10]
649 c - [17]
650 c - [5]
651 c - [10]
652 p - [6]
653 p - [9]
654 c - [8]
655 c - [40]
656 c - [4]
657 p - [15]
658 p - [6]
659 c - [8]
660 c - [5]
661 c - [8]
662 p - [5]
663 p - [22]
664 c - [8]
665 l + [85]
666 l + [85]
667 p - [8]
668 p - [4]
669 c - [9]
670 c - [8]
671 c - [72]
672 p - [24]
673 p - [13]
674 c - [65]
675 l + [81]
676 c - [41]
677 p - [15]
678 p + [90]
679 l + [100]
680 c - [14]
681 c - [13]
682 p - [34]
683 p + [93]
684 l + [88]
685 c - [16]
686 l + [87]
687 p + [85]
688 p - [14]
689 l + [88]
690 l + [112]
691 c - [24]
692 p + [81]
693 p + [99]
694 c - [15]
695 l + [83]
696 c - [80]
697 p + [82]
698 l + [86]
699 l + [99]
700 l + [106]
701 c - [8]
702 p + [82]
703 c - [45]
704 c - [14]
705 l + [94]
706 l + [96]
707 p + [93]
708 l + [82]
709 l + [81]
710 l + [91]
711 l + [101]
712 p + [102]
713 l + [109]
714 l + [84]
715 l + [87]
716 l + [83]
717 p + [83]
718 l + [87]
719 l + [90]
720 c - [42]
721 c - [12]
722 p + [91]
723 l + [84]
724 c - [7]
725 l + [91]
726 l + [88]
727 p + [87]
728 l + [85]
729 c - [22]
730 l + [91]
731 c - [21]
732 p + [97]
733 p + [88]
734 c - [80]
735 l + [113]
736 l + [96]
737 p - [14]
738 u - [20]
739 c - [40]
740 l + [84]
741 c - [7]
742 p + [85]
743 u - [5]
744 c - [6]
745 c - [0]
746 c - [0]
747 p - [4]
748 p - [3]
749 c - [2]
750 c - [0]
751 p - [14]
752 p - [10]
753 p - [26]
754 c - [13]
755 p - [15]
756 c - [13]
757 c - [0]
758 p - [7]
759 p - [10]
760 p - [8]
761 c - [1]
762 p - [16]
763 p - [35]
764 c - [7]
765 c - [12]
766 c - [22]
767 p - [11]
768 p - [15]
769 c - [8]
770 c - [4]
771 c - [6]
772 p - [3]
773 p + [112]
774 p + [95]
775 c - [11]
776 c - [6]
777 p - [80]
778 p - [11]
779 l + [101]
780 c - [9]
781 c - [0]
782 p - [6]
783 p - [12]
784 c - [5]
785 c - [2]
786 c - [15]
787 p - [27]
788 p - [3]
789 c - [6]
790 c - [11]
791 c - [17]
792 p - [66]
793 p - [14]
794 c - [20]
795 l + [256]
796 c - [77]
797 p + [90]
798 p + [100]
799 l + [90]
800 c - [18]
801 c - [7]
802 p - [22]
803 p - [16]
804 c - [8]
805 l + [96]
806 c - [63]
807 p + [85]
808 p - [39]
809 l + [99]
810 l + [85]
811 l + [82]
812 p + [94]
813 p + [88]
814 l + [96]
815 l + [84]
816 l + [85]
817 p + [85]
818 p + [105]
819 l + [88]
820 c - [8]
821 c - [29]
822 p - [14]
823 p - [17]
824 c - [80]
825 c - [14]
826 c - [11]
827 p + [95]
828 p + [83]
829 l + [93]
830 c - [80]
831 l + [93]
832 p + [90]
833 p - [64]
834 l + [85]
835 l + [87]
836 c - [80]
837 p + [83]
838 p + [92]
839 l + [81]
840 l + [95]
841 c - [14]
842 p + [97]
843 p + [85]
844 l + [86]
845 c - [23]
846 l + [102]
847 p + [96]
848 p - [27]
849 l + [94]
850 c - [3]
851 c - [6]
852 p + [96]
853 p + [90]
854 l + [86]
855 c - [39]
856 l + [95]
857 p - [7]
858 p + [93]
859 l + [84]
860 l + [93]
861 c - [80]
862 l + [93]
863 l + [83]
864 u - [26]
865 p - [26]
866 l + [96]
867 l + [96]
868 l + [96]
869 p + [96]
870 p + [96]
871 c - [29]
872 c - [80]
873 c - [80]
874 p + [93]
875 p + [94]
876 l + [96]
877 l + [96]
878 l + [92]
879 p + [88]
880 p + [95]
881 l + [88]
882 l + [83]
883 l + [96]
884 p + [95]
885 p + [96]
886 c - [76]
887 c - [80]
888 l + [107]
889 p + [96]
890 p + [81]
891 c - [41]
892 c - [14]
893 c - [2]
894 p + [96]
895 p + [96]
896 p + [83]
897 l + [96]
898 l + [89]
899 p + [81]
900 p - [3]
901 l + [89]
902 l + [96]
903 l + [87]
904 p + [94]
905 p + [82]
906 l + [96]
907 l + [83]
908 l + [88]
909 p + [94]
910 p - [22]
911 c - [79]
912 l + [120]
913 l + [89]
914 p + [93]
915 p - [3]
916 c - [5]
917 l + [96]
918 l + [97]
919 p - [32]
920 p + [81]
921 c - [80]
922 c - [4]
923 l + [83]
924 p + [82]
925 p + [94]
926 c - [34]
927 c - [33]
928 c - [13]
929 p - [11]
930 p - [38]
931 l + [95]
932 l + [104]
933 l + [109]
934 p - [34]
935 p - [16]
936 l + [82]
937 l + [84]
938 l + [88]
939 p + [95]
940 p + [91]
941 l + [100]
942 c - [58]
943 c - [23]
944 p - [64]
945 p - [28]
946 c - [34]
947 c - [10]
948 l + [103]
949 c - [23]
950 c - [32]
951 c - [25]
952 c - [45]
953 c - [41]
954 c - [32]
955 c - [27]
956 c - [32]
957 l + [96]
958 u - [26]
959 c - [24]
960 c - [30]
961 l + [84]
962 p + [87]
963 u - [19]
964 p - [19]
965 c - [31]
966 c - [34]
967 c - [32]
968 p - [16]
969 c - [43]
970 c - [76]
971 p - [25]
972 c - [11]
973 c - [50]
974 c - [8]
975 p + [96]
976 c - [10]
977 p - [77]
978 l + [89]
979 c - [4]
980 c - [59]
981 p - [40]
982 c - [1]
983 c - [18]
984 l + [90]
985 l + [85]
986 l + [95]
987 c - [9]
988 p - [9]
989 l + [93]
990 p + [91]
991 c - [2]
992 c - [9]
993 l + [93]
994 p - [4]
995 c - [7]
996 c - [8]
997 c - [10]
998 c - [4]
999 l + [95]
1000 c - [10]
1001 p - [62]
1002 c - [64]
1003 c - [9]
1004 c - [35]
1005 c - [6]
1006 c - [32]
1007 p - [67]
1008 u - [4]
1009 c - [6]
1010 c - [24]
1011 c - [6]
1012 l + [86]
1013 p + [87]
1014 u - [13]
1015 p - [13]
1016 l + [92]
1017 l + [87]
1018 p + [98]
1019 l + [92]
1020 p + [90]
1021 c - [80]
1022 l + [82]
1023 l + [86]
1024 c - [25]
1025 c - [55]
1026 p + [122]
1027 c - [30]
1028 l + [103]
1029 c - [35]
1030 p - [12]
1031 l + [99]
1032 l + [112]
1033 c - [10]
1034 l + [94]
1035 p + [101]
1036 l + [101]
1037 l + [85]
1038 l + [84]
1039 p + [83]
1040 u - [16]
1041 c - [14]
1042 c - [11]
1043 c - [17]
1044 p + [81]
1045 p - [47]
1046 l + [108]
1047 l + [101]
1048 l + [102]
1049 p - [58]
1050 p - [57]
1051 c - [8]
1052 c - [76]
1053 c - [29]
1054 p - [20]
1055 p + [86]
1056 l + [90]
1057 l + [91]
1058 l + [96]
1059 l + [96]
1060 p + [96]
1061 l + [90]
1062 l + [108]
1063 l + [95]
1064 l + [95]
1065 l + [102]
1066 c - [5]
1067 l + [101]
1068 l + [97]
1069 l + [105]
1070 l + [94]
1071 c - [5]
1072 l + [85]
1073 c - [9]
1074 c - [80]
1075 l + [86]
1076 c - [8]
1077 l + [107]
1078 l + [90]
1079 l + [94]
1080 l + [92]
1081 l + [109]
1082 l + [96]
1083 c - [14]
1084 l + [89]
1085 l + [96]
1086 l + [96]
1087 l + [90]
1088 l + [85]
1089 p + [87]
1090 p - [21]
1091 c - [80]
1092 c - [16]
1093 l + [96]
1094 p + [113]
1095 p - [8]
1096 c - [12]
1097 l + [96]
1098 l + [91]
1099 p - [24]
1100 p + [82]
1101 l + [93]
1102 c - [11]
1103 l + [88]
1104 p + [98]
1105 p + [96]
1106 l + [93]
1107 l + [91]
1108 c - [6]
1109 p + [96]
1110 p + [95]
1111 l + [103]
1112 l + [96]
1113 c - [10]
1114 p + [93]
1115 p - [6]
1116 c - [13]
1117 c - [4]
1118 l + [95]
1119 p + [94]
1120 p + [96]
1121 c - [8]
1122 l + [91]
1123 c - [14]
1124 p - [65]
1125 p + [94]
1126 c - [10]
1127 c - [10]
1128 l + [93]
1129 u - [6]
1130 p - [6]
1131 c - [4]
1132 l + [93]
1133 l + [86]
1134 p + [86]
1135 p + [86]
1136 l + [96]
1137 c - [7]
1138 c - [13]
1139 p - [6]
1140 u - [9]
1141 c - [17]
1142 c - [27]
1143 c - [5]
1144 p + [91]
1145 p - [4]
1146 c - [11]
1147 c - [4]
1148 l + [90]
1149 p - [5]
1150 p - [8]
1151 l + [89]
1152 l + [95]
1153 l + [96]
1154 p - [12]
1155 p - [9]
1156 c - [6]
1157 c - [6]
1158 c - [5]
1159 p - [10]
1160 p - [8]
1161 c - [10]
1162 c - [8]
1163 l + [95]
1164 p - [22]
1165 p + [101]
1166 l + [96]
1167 l + [93]
1168 l + [91]
1169 l + [109]
1170 c - [7]
1171 p - [14]
1172 p - [24]
1173 c - [17]
1174 l + [99]
1175 l + [93]
1176 p + [98]
1177 p - [10]
1178 l + [91]
1179 l + [88]
1180 l + [94]
1181 p + [95]
1182 p - [21]
1183 l + [89]
1184 c - [17]
1185 l + [104]
1186 p + [102]
1187 p - [40]
1188 l + [91]
1189 c - [7]
1190 l + [112]
1191 p + [96]
1192 p + [83]
1193 l + [97]
1194 l + [82]
1195 l + [95]
1196 p - [10]
1197 p + [93]
1198 l + [96]
1199 l + [96]
1200 l + [90]
1201 p - [7]
1202 p + [82]
1203 l + [96]
1204 l + [92]
1205 l + [99]
1206 p + [94]
1207 p + [96]
1208 c - [9]
1209 c - [5]
1210 c - [4]
1211 p - [22]
1212 p - [79]
1213 l + [94]
1214 c - [21]
1215 l + [82]
1216 p + [82]
1217 p - [19]
1218 l + [86]
1219 l + [93]
1220 l + [92]
1221 p + [89]
1222 p - [10]
1223 c - [10]
1224 l + [95]
1225 l + [94]
1226 p + [99]
1227 p - [11]
1228 l + [91]
1229 l + [96]
1230 l + [85]
1231 p - [61]
1232 p - [28]
1233 c - [27]
1234 l + [96]
1235 l + [96]
1236 p + [96]
1237 p - [50]
1238 l + [88]
1239 l + [88]
1240 l + [88]
1241 p - [21]
1242 p - [6]
1243 c - [11]
1244 c - [79]
1245 l + [98]
1246 p + [109]
1247 p - [11]
1248 l + [84]
1249 l + [87]
1250 c - [13]
1251 p + [88]
1252 p - [21]
1253 l + [91]
1254 c - [14]
1255 c - [6]
1256 p - [10]
1257 p - [8]
1258 c - [11]
1259 c - [59]
1260 c - [37]
1261 p - [13]
1262 p + [83]
1263 l + [82]
1264 c - [4]
1265 l + [91]
1266 p + [89]
1267 p - [19]
1268 c - [7]
1269 c - [11]
1270 c - [11]
1271 p + [92]
1272 p + [89]
1273 l + [93]
1274 l + [84]
1275 l + [86]
1276 p + [88]
1277 p + [91]
1278 c - [80]
1279 l + [91]
1280 c - [36]
1281 p - [18]
1282 p - [13]
1283 c - [9]
1284 l + [96]
1285 c - [15]
1286 p - [24]
1287 p - [76]
1288 l + [90]
1289 c - [70]
1290 l + [85]
1291 p - [16]
1292 p + [118]
1293 c - [67]
1294 l + [92]
1295 c - [15]
1296 p + [93]
1297 p + [93]
1298 l + [86]
1299 l + [90]
1300 l + [98]
1301 p - [14]
1302 p - [11]
1303 l + [100]
1304 c - [18]
1305 l + [84]
1306 u - [31]
1307 p - [31]
1308 l + [90]
1309 l + [96]
1310 c - [12]
1311 p - [11]
1312 l + [93]
1313 l + [95]
1314 c - [23]
1315 l + [101]
1316 l + [83]
1317 l + [82]
1318 p + [82]
1319 l + [99]
1320 l + [84]
1321 c - [70]
1322 p - [40]
1323 l + [96]
1324 c - [22]
1325 l + [83]
1326 c - [8]
1327 c - [18]
1328 l + [85]
1329 c - [22]
1330 p + [91]
1331 c - [27]
1332 c - [25]
1333 l + [84]
1334 l + [96]
1335 c - [16]
1336 c - [28]
1337 p - [73]
1338 l + [85]
1339 l + [94]
1340 l + [88]
1341 c - [21]
1342 c - [13]
1343 c - [16]
1344 c - [77]
1345 l + [93]
1346 c - [12]
1347 p - [13]
1348 c - [17]
1349 p - [46]
1350 c - [25]
1351 c - [28]
1352 p - [23]
1353 c - [15]
1354 c - [42]
1355 c - [43]
1356 c - [14]
1357 p + [95]
1358 c - [22]
1359 l + [93]
1360 l + [89]
1361 c - [80]
1362 p - [18]
1363 c - [15]
1364 c - [74]
1365 c - [26]
1366 l + [86]
1367 p + [82]
1368 l + [85]
1369 c - [33]
1370 c - [34]
1371 l + [96]
1372 p + [99]
1373 p - [16]
1374 c - [20]
1375 c - [9]
1376 l + [96]
1377 p - [11]
1378 l + [85]
1379 c - [31]
1380 c - [25]
1381 l + [97]
1382 p + [102]
1383 l + [96]
1384 l + [95]
1385 l + [94]
1386 l + [83]
1387 p - [14]
1388 l + [92]
1389 l + [84]
1390 l + [95]
1391 l + [97]
1392 p + [86]
1393 c - [80]
1394 c - [80]
1395 l + [91]
1396 p - [69]
1397 p + [90]
1398 c - [23]
1399 l + [96]
1400 l + [95]
1401 p + [92]
1402 p + [91]
1403 l + [84]
1404 l + [82]
1405 c - [59]
1406 p + [85]
1407 p - [22]
1408 l + [91]
1409 c - [66]
1410 l + [83]
1411 p - [74]
1412 p - [20]
1413 l + [85]
1414 c - [39]
1415 c - [52]
1416 p + [86]
1417 p + [84]
1418 c - [56]
1419 l + [82]
1420 l + [81]
1421 p + [89]
1422 p + [88]
1423 l + [96]
1424 l + [99]
1425 l + [89]
1426 l + [82]
1427 l + [82]
1428 p - [42]
1429 l + [81]
1430 p - [80]
1431 c - [12]
1432 c - [13]
1433 p + [90]
1434 c - [13]
1435 c - [80]
1436 l + [88]
1437 c - [29]
1438 p - [80]
1439 l + [97]
1440 c - [26]
1441 l + [91]
1442 l + [87]
1443 p + [91]
1444 l + [84]
1445 c - [14]
1446 l + [91]
1447 l + [88]
1448 p + [90]
1449 l + [108]
1450 c - [68]
1451 l + [97]
1452 c - [22]
1453 p - [23]
1454 l + [91]
1455 l + [84]
1456 l + [92]
1457 c - [15]
1458 p + [119]
1459 l + [93]
1460 l + [91]
1461 c - [13]
1462 l + [103]
1463 u - [15]
1464 c - [12]
1465 c - [18]
1466 l + [99]
1467 l + [106]
1468 u - [12]
1469 c - [16]
1470 l + [106]
1471 c - [20]
1472 c - [18]
1473 p + [115]
1474 l + [91]
1475 l + [87]
1476 l + [96]
1477 c - [80]
1478 p - [15]
1479 l + [101]
1480 l + [103]
1481 l + [86]
1482 l + [92]
1483 p + [97]
1484 c - [13]
1485 c - [15]
1486 l + [85]
1487 l + [84]
1488 p + [83]
1489 c - [22]
1490 l + [96]
1491 l + [89]
1492 l + [83]
1493 p - [80]
1494 p - [20]
1495 l + [85]
1496 l + [83]
1497 c - [8]
1498 p - [16]
1499 p + [91]
1500 c - [32]
1501 c - [15]
1502 c - [15]
1503 p - [45]
1504 p + [86]
1505 l + [94]
1506 l + [85]
1507 c - [37]
1508 p - [14]
1509 p - [28]
1510 c - [12]
1511 c - [30]
1512 l + [83]
1513 p + [90]
1514 p + [83]
1515 l + [86]
1516 c - [12]
1517 c - [26]
1518 p + [84]
1519 p - [12]
1520 c - [13]
1521 c - [10]
1522 l + [96]
1523 p - [16]
1524 p - [26]
1525 l + [106]
1526 l + [93]
1527 l + [86]
1528 p - [20]
1529 p - [20]
1530 l + [86]
1531 c - [11]
1532 c - [37]
1533 p - [21]
1534 p + [91]
1535 c - [26]
1536 l + [85]
1537 l + [86]
1538 p + [107]
1539 p + [89]
1540 c - [49]
1541 c - [26]
1542 l + [97]
1543 u - [11]
1544 p - [11]
1545 l + [102]
1546 l + [101]
1547 c - [9]
1548 p + [90]
1549 p + [89]
1550 c - [16]
1551 c - [4]
1552 c - [7]
1553 p - [4]
1554 p + [81]
1555 l + [84]
1556 c - [42]
1557 l + [86]
1558 p + [94]
1559 p - [80]
1560 c - [7]
1561 l + [96]
1562 l + [96]
1563 p + [84]
1564 p - [27]
1565 l + [87]
1566 c - [80]
1567 l + [90]
1568 p - [66]
1569 p + [83]
1570 l + [90]
1571 c - [44]
1572 l + [96]
1573 p + [96]
1574 p - [11]
1575 c - [6]
1576 l + [96]
1577 c - [4]
1578 p - [4]
1579 p + [81]
1580 l + [82]
1581 c - [20]
1582 c - [40]
1583 c - [11]
1584 c - [13]
1585 c - [11]
1586 c - [15]
1587 c - [10]
1588 c - [19]
1589 c - [16]
1590 c - [16]
1591 c - [8]
1592 c - [19]
1593 c - [26]
1594 c - [4]
1595 c - [33]
1596 p - [5]
1597 c - [69]
1598 c - [18]
1599 p - [34]
1600 p + [93]
1601 l + [99]
1602 l + [100]
1603 c - [46]
1604 p - [35]
1605 p - [24]
1606 c - [15]
1607 c - [15]
1608 c - [16]
1609 p - [24]
1610 p - [28]
1611 c - [26]
1612 c - [32]
1613 c - [8]
1614 p + [96]
1615 p + [95]
1616 c - [18]
1617 c - [10]
1618 l + [99]
1619 p + [92]
1620 p + [112]
1621 c - [62]
1622 c - [15]
1623 l + [96]
1624 p - [41]
1625 p - [15]
1626 c - [17]
1627 c - [24]
1628 c - [21]
1629 p - [32]
1630 p - [22]
1631 c - [22]
1632 c - [8]
1633 c - [67]
1634 p + [82]
1635 p - [27]
1636 l + [86]
1637 l + [86]
1638 c - [36]
1639 p + [102]
1640 p + [105]
1641 c - [5]
1642 c - [16]
1643 c - [80]
1644 p - [80]
1645 p - [18]
1646 c - [80]
1647 c - [20]
1648 c - [16]
1649 p - [17]
1650 p - [15]
1651 c - [9]
1652 c - [8]
1653 c - [27]
1654 p - [28]
1655 p - [25]
1656 c - [73]
1657 c - [78]
