#TFM v1.0.8 by tritical
field = bottom
crc32 = 51498591
392 p + [103]
393 p - [25]
394 c - [12]
395 c - [10]
396 c - [10]
397 p - [25]
398 p - [21]
399 c - [14]
400 c - [19]
401 c - [23]
402 p - [24]
403 p - [17]
404 l + [96]
405 l + [96]
406 c - [21]
407 p - [17]
408 p - [9]
409 c - [25]
410 c - [8]
411 c - [22]
412 p - [10]
413 p - [14]
414 c - [15]
415 c - [12]
416 c - [18]
417 p - [20]
418 p - [15]
419 c - [21]
420 c - [13]
421 c - [23]
422 p - [26]
423 p + [96]
424 p + [96]
425 c - [14]
426 c - [25]
427 p - [7]
428 p - [12]
429 c - [8]
430 c - [25]
431 c - [9]
432 p - [18]
433 p - [20]
434 c - [10]
435 l + [95]
436 c - [26]
437 p - [18]
438 c - [5]
439 c - [16]
440 c - [22]
441 c - [15]
442 p - [15]
443 p + [91]
444 c - [17]
445 c - [21]
446 c - [13]
447 p - [23]
448 p - [11]
449 c - [9]
450 c - [8]
451 c - [17]
452 p - [10]
453 p - [24]
454 c - [21]
455 c - [18]
456 c - [12]
457 p - [18]
458 c - [25]
459 c - [8]
460 c - [18]
461 c - [21]
462 l + [85]
463 p - [26]
464 p - [20]
465 c - [17]
466 c - [12]
467 c - [14]
468 p - [22]
469 p + [96]
470 c - [9]
471 c - [27]
472 c - [9]
473 p + [97]
474 p + [91]
475 c - [9]
476 c - [22]
477 c - [11]
478 p - [18]
479 c - [5]
480 c - [8]
481 c - [10]
482 c - [14]
483 p - [8]
484 c - [12]
485 c - [10]
486 c - [12]
487 c - [8]
488 p - [15]
489 l + [86]
490 c - [9]
491 c - [21]
492 l + [82]
493 p - [15]
494 c - [13]
495 c - [8]
496 c - [18]
497 c - [3]
498 p - [25]
499 c - [6]
500 c - [9]
501 c - [21]
502 c - [21]
503 c - [8]
504 c - [30]
505 c - [17]
506 p - [7]
507 c - [18]
508 c - [7]
509 p - [24]
510 u - [11]
511 c - [24]
512 l + [81]
513 p - [17]
514 c - [27]
515 c - [11]
516 c - [10]
517 c - [11]
518 c - [13]
519 c - [35]
520 c - [28]
521 c - [8]
522 c - [12]
523 c - [13]
524 p - [14]
525 c - [32]
526 c - [8]
527 c - [20]
528 c - [16]
529 c - [9]
530 c - [24]
531 l + [104]
532 c - [19]
533 c - [12]
534 c - [8]
535 c - [47]
536 l + [85]
537 c - [10]
538 l + [95]
539 c - [15]
540 c - [6]
541 c - [8]
542 c - [18]
543 c - [36]
544 c - [23]
545 c - [26]
546 c - [38]
547 c - [19]
548 c - [14]
549 p - [16]
550 c - [23]
551 c - [14]
552 p - [9]
553 c - [15]
554 l + [83]
555 c - [15]
556 l + [89]
557 l + [91]
558 c - [10]
559 c - [24]
560 p - [41]
561 c - [33]
562 c - [18]
563 c - [7]
564 p - [31]
565 c - [18]
566 c - [29]
567 l + [98]
568 c - [29]
569 c - [17]
570 c - [10]
571 c - [16]
572 c - [15]
573 c - [15]
574 c - [35]
575 p + [89]
576 c - [20]
577 c - [21]
578 c - [19]
579 p - [48]
580 c - [22]
581 c - [35]
582 c - [18]
583 c - [8]
584 p - [8]
585 l + [96]
586 c - [21]
587 c - [18]
588 p - [12]
589 c - [35]
590 c - [11]
591 c - [8]
592 c - [24]
593 c - [16]
594 c - [31]
595 c - [17]
596 c - [10]
597 c - [16]
598 c - [33]
599 c - [35]
600 c - [22]
601 c - [20]
602 c - [34]
603 c - [8]
604 c - [22]
605 c - [10]
606 c - [14]
607 c - [7]
608 c - [19]
609 c - [11]
610 c - [19]
611 c - [15]
612 l + [96]
613 c - [19]
614 c - [31]
615 c - [35]
616 c - [17]
617 c - [11]
618 p - [29]
619 c - [19]
620 p - [18]
621 c - [24]
622 c - [19]
623 l + [85]
624 p + [85]
625 c - [13]
626 c - [16]
627 c - [28]
628 c - [14]
629 c - [30]
630 p - [13]
631 c - [32]
632 c - [21]
633 c - [19]
634 c - [17]
635 p - [9]
636 c - [30]
637 l + [90]
638 c - [17]
639 p - [13]
640 c - [15]
641 p - [21]
642 c - [10]
643 c - [27]
644 c - [12]
645 c - [20]
646 c - [23]
647 c - [14]
648 c - [18]
649 p - [15]
650 p - [31]
651 c - [40]
652 c - [22]
653 c - [26]
654 p - [43]
655 p + [113]
656 l + [112]
657 c - [16]
658 c - [16]
659 p - [23]
660 p - [15]
661 c - [20]
662 c - [19]
663 c - [16]
664 p - [14]
665 p - [35]
666 c - [25]
667 c - [16]
668 c - [16]
669 p - [23]
670 p - [17]
671 c - [22]
672 c - [21]
673 c - [16]
674 p - [16]
675 p - [16]
676 c - [16]
677 c - [25]
678 c - [17]
679 p - [25]
680 p - [13]
681 c - [16]
682 c - [34]
683 c - [16]
684 p - [16]
685 p - [15]
686 c - [18]
687 c - [30]
688 c - [18]
689 p - [15]
690 p - [44]
691 p - [13]
692 c - [16]
693 c - [14]
694 p - [14]
695 p - [16]
696 c - [16]
697 c - [16]
698 c - [16]
699 p - [18]
700 p - [16]
701 c - [17]
702 c - [16]
703 c - [16]
704 p - [14]
705 p - [16]
706 c - [13]
707 c - [16]
708 c - [24]
709 p - [23]
710 p - [16]
711 c - [16]
712 c - [15]
713 c - [48]
714 p - [17]
715 p - [18]
716 c - [16]
717 c - [20]
718 c - [16]
719 p - [18]
720 p - [16]
721 c - [19]
722 c - [22]
723 c - [21]
724 p - [15]
725 p - [27]
726 c - [22]
727 c - [23]
728 c - [33]
729 p - [21]
730 p - [17]
731 c - [26]
732 c - [34]
733 c - [20]
734 p - [22]
735 p - [19]
736 c - [32]
737 c - [22]
738 c - [17]
739 p - [16]
740 p - [24]
741 c - [16]
742 c - [16]
743 c - [16]
744 p - [18]
745 p - [18]
746 c - [22]
747 c - [51]
748 c - [15]
749 p - [16]
750 p - [19]
751 c - [17]
752 c - [20]
753 c - [17]
754 p - [16]
755 p - [18]
756 c - [16]
757 c - [18]
758 c - [16]
759 p - [16]
760 p - [22]
761 c - [18]
762 c - [20]
763 c - [19]
764 p - [16]
765 p - [21]
766 c - [19]
767 c - [15]
768 c - [19]
769 p - [34]
770 p - [28]
771 c - [26]
772 c - [16]
773 c - [19]
774 p - [17]
775 p - [16]
776 c - [16]
777 c - [18]
778 c - [16]
779 p - [17]
780 p - [16]
781 c - [17]
782 c - [10]
783 c - [13]
784 p - [8]
785 p - [4]
786 c - [20]
787 c - [8]
788 c - [11]
789 p - [9]
790 p - [8]
791 c - [18]
792 c - [11]
793 c - [8]
794 p - [8]
795 p - [15]
796 c - [21]
797 c - [17]
798 c - [23]
799 c - [10]
800 c - [17]
801 c - [21]
802 c - [15]
803 c - [14]
804 c - [17]
805 c - [10]
806 c - [17]
807 c - [10]
808 c - [9]
809 c - [7]
810 c - [8]
811 c - [10]
812 l + [88]
813 c - [19]
814 p - [11]
815 p - [28]
816 c - [26]
817 c - [13]
818 l + [86]
819 p - [15]
820 p - [39]
821 c - [4]
822 c - [11]
823 c - [10]
824 p - [12]
825 p - [12]
826 c - [12]
827 c - [9]
828 c - [6]
829 p - [7]
830 p - [8]
831 l + [82]
832 c - [7]
833 c - [19]
834 p - [27]
835 p - [25]
836 c - [7]
837 c - [9]
838 c - [9]
839 p - [15]
840 p - [31]
841 l + [81]
842 c - [8]
843 c - [8]
844 p - [30]
845 p - [6]
846 c - [7]
847 c - [12]
848 c - [45]
849 p + [102]
850 p - [20]
851 c - [18]
852 c - [16]
853 c - [11]
854 p - [11]
855 p - [16]
856 c - [12]
857 c - [3]
858 c - [17]
859 p - [5]
860 c - [17]
861 c - [6]
862 c - [80]
863 c - [5]
864 p - [6]
865 c - [4]
866 c - [9]
867 c - [80]
868 c - [8]
869 p - [80]
870 p - [20]
871 c - [18]
872 c - [15]
873 c - [28]
874 p - [29]
875 p - [9]
876 c - [23]
877 c - [12]
878 c - [8]
879 p - [10]
880 p - [11]
881 c - [9]
882 c - [9]
883 c - [21]
884 c - [25]
885 c - [12]
886 c - [16]
887 c - [16]
888 c - [8]
889 c - [13]
890 c - [14]
891 c - [9]
892 c - [16]
893 c - [33]
894 c - [19]
895 c - [14]
896 c - [18]
897 c - [15]
898 l + [83]
899 c - [15]
900 p + [83]
901 l + [90]
902 c - [19]
903 c - [17]
904 c - [10]
905 c - [12]
906 c - [17]
907 c - [30]
908 c - [16]
909 c - [18]
910 c - [17]
911 c - [23]
912 c - [20]
913 c - [15]
914 c - [25]
915 p - [26]
916 c - [22]
917 c - [13]
918 c - [17]
919 c - [15]
920 c - [14]
921 c - [7]
922 c - [11]
923 c - [18]
924 c - [12]
925 c - [19]
926 c - [14]
927 c - [80]
928 l + [81]
929 c - [10]
930 c - [13]
931 l + [84]
932 c - [19]
933 c - [28]
934 c - [13]
935 c - [19]
936 c - [14]
937 c - [32]
938 c - [10]
939 c - [9]
940 c - [10]
941 c - [18]
942 c - [33]
943 c - [27]
944 l + [101]
945 c - [16]
946 c - [20]
947 c - [11]
948 c - [27]
949 c - [80]
950 c - [9]
951 l + [103]
952 l + [90]
953 c - [18]
954 c - [11]
955 c - [10]
956 c - [10]
957 c - [13]
958 c - [10]
959 c - [32]
960 c - [14]
961 c - [9]
962 l + [83]
963 c - [15]
964 c - [27]
965 c - [12]
966 c - [14]
967 c - [14]
968 c - [15]
969 l + [90]
970 l + [94]
971 c - [17]
972 c - [9]
973 p - [15]
974 l + [89]
975 l + [89]
976 c - [20]
977 c - [11]
978 c - [18]
979 c - [11]
980 c - [15]
981 c - [8]
982 l + [88]
983 c - [9]
984 c - [8]
985 c - [5]
986 p - [4]
987 p - [9]
988 c - [12]
989 c - [12]
990 c - [24]
991 p - [15]
992 p - [19]
993 l + [91]
994 c - [21]
995 c - [3]
996 p - [4]
997 p - [6]
998 c - [4]
999 c - [11]
1000 l + [83]
1001 p - [7]
1002 p - [5]
1003 c - [5]
1004 c - [9]
1005 c - [5]
1006 p - [8]
1007 p - [3]
1008 c - [6]
1009 c - [3]
1010 c - [27]
1011 p - [17]
1012 p - [16]
1013 c - [13]
1014 c - [9]
1015 c - [7]
1016 p - [5]
1017 p - [7]
1018 c - [4]
1019 l + [84]
1020 c - [2]
1021 p - [7]
1022 p - [4]
1023 c - [10]
1024 c - [8]
1025 c - [16]
1026 p - [10]
1027 p - [6]
1028 c - [11]
1029 c - [5]
1030 c - [2]
1031 p - [2]
1032 p - [2]
1033 c - [7]
1034 c - [3]
1035 c - [2]
1036 p - [9]
1037 p - [7]
1038 c - [11]
1039 c - [4]
1040 c - [5]
1041 p - [10]
1042 p - [11]
1043 p - [1]
1044 c - [12]
1045 c - [5]
1046 p - [4]
1047 c - [0]
1048 p - [3]
1049 c - [20]
1050 c - [1]
1051 l + [93]
1052 p + [92]
1053 c - [4]
1054 c - [12]
1055 c - [8]
1056 c - [5]
1057 c - [2]
1058 c - [3]
1059 c - [1]
1060 p - [9]
1061 c - [3]
1062 c - [6]
1063 l + [96]
1064 c - [3]
1065 p + [97]
1066 c - [14]
1067 c - [1]
1068 c - [5]
1069 c - [5]
1070 c - [0]
1071 c - [1]
1072 p - [4]
1073 c - [2]
1074 c - [20]
1075 c - [1]
1076 l + [86]
1077 c - [29]
1078 c - [2]
1079 c - [11]
1080 c - [10]
1081 p - [4]
1082 c - [6]
1083 l + [94]
1084 c - [6]
1085 c - [6]
1086 l + [96]
1087 c - [13]
1088 b - [5]
1089 c - [14]
1090 c - [16]
1091 p - [33]
1092 p - [10]
1093 c - [9]
1094 c - [10]
1095 c - [11]
1096 p - [16]
1097 p - [11]
1098 c - [18]
1099 c - [5]
1100 c - [9]
1101 p - [20]
1102 p - [13]
1103 c - [14]
1104 c - [8]
1105 c - [39]
1106 p - [18]
1107 p - [32]
1108 c - [26]
1109 c - [9]
1110 c - [20]
1111 p - [33]
1112 p - [16]
1113 c - [18]
1114 c - [29]
1115 c - [44]
1116 p - [26]
1117 p - [9]
1118 c - [13]
1119 c - [18]
1120 c - [20]
1121 p - [22]
1122 p - [11]
1123 c - [17]
1124 c - [40]
1125 c - [15]
1126 p - [14]
1127 p - [22]
1128 c - [24]
1129 c - [27]
1130 c - [16]
1131 p - [9]
1132 p - [26]
1133 c - [14]
1134 c - [16]
1135 c - [20]
1136 p - [29]
1137 p - [31]
1138 c - [13]
1139 c - [24]
1140 c - [16]
1141 p - [30]
1142 p - [13]
1143 c - [17]
1144 c - [11]
1145 c - [19]
1146 p - [20]
1147 p - [29]
1148 c - [10]
1149 c - [16]
1150 c - [17]
1151 p - [14]
1152 p - [17]
1153 c - [28]
1154 c - [29]
1155 c - [36]
1156 p - [33]
1157 p - [21]
1158 c - [24]
1159 c - [29]
1160 c - [31]
1161 p - [26]
1162 p - [27]
1163 l + [96]
1164 c - [27]
1165 c - [21]
1166 p - [10]
1167 p - [29]
1168 c - [10]
1169 c - [32]
1170 c - [42]
1171 p - [23]
1172 p - [20]
1173 c - [28]
1174 c - [8]
1175 c - [30]
1176 p - [30]
1177 p - [32]
1178 c - [8]
1179 c - [13]
1180 c - [34]
1181 p - [19]
1182 p + [96]
1183 c - [17]
1184 c - [35]
1185 c - [28]
1186 p - [31]
1187 p - [19]
1188 c - [28]
1189 c - [45]
1190 c - [31]
1191 p - [28]
1192 p - [20]
1193 c - [28]
1194 c - [16]
1195 c - [9]
1196 p - [23]
1197 p - [26]
1198 c - [21]
1199 c - [20]
1200 c - [12]
1201 p - [43]
1202 p - [31]
1203 c - [16]
1204 c - [40]
1205 c - [8]
1206 p - [17]
1207 p - [40]
1208 c - [32]
1209 c - [21]
1210 c - [34]
1211 p - [36]
1212 p - [23]
1213 c - [28]
1214 c - [29]
1215 c - [18]
1216 p - [18]
1217 p - [38]
1218 c - [6]
1219 c - [24]
1220 c - [32]
1221 p - [24]
1222 p - [20]
1223 c - [22]
1224 c - [58]
1225 c - [9]
1226 p - [42]
1227 p - [15]
1228 c - [21]
1229 c - [30]
1230 c - [28]
1231 p - [42]
1232 p - [13]
1233 c - [23]
1234 c - [30]
1235 c - [40]
1236 p - [48]
1237 p - [33]
1238 c - [20]
1239 c - [26]
1240 c - [17]
1241 p - [15]
1242 p - [23]
1243 c - [23]
1244 c - [27]
1245 c - [31]
1246 p + [95]
1247 p - [20]
1248 c - [10]
1249 l + [96]
1250 c - [17]
1251 p - [17]
1252 p - [13]
1253 c - [21]
1254 c - [12]
1255 c - [14]
1256 p - [10]
1257 p + [88]
1258 c - [37]
1259 c - [14]
1260 c - [24]
1261 c - [17]
1262 p - [16]
1263 l + [111]
1264 l + [112]
1265 c - [16]
1266 c - [16]
1267 c - [15]
1268 c - [17]
1269 l + [112]
1270 l + [112]
1271 c - [29]
1272 c - [16]
1273 p - [16]
1274 p - [27]
1275 c - [17]
1276 p - [17]
1277 p - [18]
1278 c - [26]
1279 c - [28]
1280 c - [38]
1281 c - [16]
1282 l + [111]
1283 c - [17]
1284 c - [20]
1285 c - [16]
1286 p - [18]
1287 l + [112]
1288 p + [112]
1289 c - [19]
1290 c - [18]
1291 c - [17]
1292 p - [15]
1293 c - [16]
1294 c - [20]
1295 l + [112]
1296 l + [112]
1297 c - [20]
1298 c - [21]
1299 c - [20]
1300 c - [23]
1301 c - [18]
1302 c - [20]
1303 p - [24]
1304 c - [16]
1305 c - [31]
1306 l + [110]
1307 p + [108]
1308 l + [112]
1309 c - [22]
1310 c - [26]
1311 p - [21]
1312 c - [19]
1313 c - [15]
1314 l + [112]
1315 l + [112]
1316 l + [112]
1317 c - [23]
1318 p - [22]
1319 c - [21]
1320 c - [43]
1321 c - [34]
1322 c - [21]
1323 p - [20]
1324 c - [16]
1325 c - [16]
1326 l + [112]
1327 p + [112]
1328 p - [27]
1329 c - [41]
1330 l + [108]
1331 l + [109]
1332 p + [109]
1333 p + [110]
1334 l + [112]
1335 l + [112]
1336 c - [47]
1337 l + [154]
1338 l + [166]
1339 l + [93]
1340 c - [80]
1341 c - [70]
1342 l + [86]
1343 c - [44]
1344 c - [80]
1345 c - [58]
1346 c - [53]
1347 c - [55]
1348 c - [48]
1349 c - [66]
1350 c - [6]
1351 l + [256]
1352 l + [149]
1353 l + [100]
1354 l + [133]
1355 l + [139]
1356 l + [130]
1357 l + [111]
1358 l + [99]
1359 c - [75]
1360 c - [75]
1361 l + [128]
1362 l + [83]
1363 l + [103]
1364 l + [81]
1365 c - [73]
1366 c - [64]
1367 c - [71]
1368 c - [60]
1369 c - [65]
1370 c - [68]
1371 l + [84]
1372 l + [81]
1373 c - [71]
1374 l + [83]
1375 l + [93]
1376 l + [106]
1377 l + [120]
1378 l + [107]
1379 l + [117]
1380 l + [114]
1381 l + [244]
1382 l + [106]
1383 l + [97]
1384 l + [166]
1385 l + [148]
1386 l + [117]
1387 l + [119]
1388 l + [113]
1389 l + [85]
1390 c - [73]
1391 c - [74]
1392 c - [73]
1393 l + [81]
1394 l + [101]
1395 l + [86]
1396 c - [62]
1397 c - [70]
1398 c - [80]
1399 c - [63]
1400 c - [80]
1401 c - [69]
1402 c - [76]
1403 l + [90]
1404 c - [73]
1405 l + [84]
1406 l + [89]
1407 l + [149]
1408 l + [96]
1409 l + [104]
1410 l + [143]
1411 l + [236]
1412 l + [132]
1413 l + [94]
1414 l + [167]
1415 l + [111]
1416 l + [93]
1417 l + [95]
1418 l + [92]
1419 l + [92]
1420 l + [105]
1421 l + [107]
1422 c - [54]
1423 c - [78]
1424 c - [76]
1425 c - [68]
1426 c - [71]
1427 c - [61]
1428 l + [108]
1429 c - [40]
1430 c - [58]
1431 l + [135]
1432 c - [64]
1433 c - [62]
1434 l + [91]
1435 l + [99]
1436 l + [89]
1437 c - [55]
1438 c - [47]
1439 c - [63]
1440 c - [9]
1441 l + [217]
1442 l + [136]
1443 l + [93]
1444 l + [148]
1445 l + [136]
1446 l + [146]
1447 l + [108]
1448 l + [104]
1449 l + [83]
1450 l + [85]
1451 p + [129]
1452 l + [113]
1453 l + [112]
1454 l + [132]
1455 l + [119]
1456 l + [108]
1457 l + [129]
1458 l + [119]
1459 l + [103]
1460 l + [84]
1461 l + [113]
1462 c - [72]
1463 c - [48]
1464 l + [98]
1465 c - [55]
1466 c - [48]
1467 c - [50]
1468 c - [60]
1469 c - [79]
1470 c - [31]
1471 l + [155]
1472 l + [179]
1473 l + [191]
1474 l + [181]
1475 l + [156]
1476 l + [222]
1477 l + [183]
1478 l + [148]
1479 l + [164]
1480 l + [155]
1481 l + [148]
1482 l + [135]
1483 l + [112]
1484 l + [165]
1485 c - [66]
1486 l + [91]
1487 l + [179]
1488 l + [81]
1489 l + [158]
1490 l + [121]
1491 l + [102]
1492 c - [7]
1493 c - [4]
1494 p - [5]
1495 p + [95]
1496 l + [86]
1497 l + [90]
1498 c - [9]
1499 p - [7]
1500 p - [24]
1501 c - [12]
1502 c - [13]
1503 c - [12]
1504 p - [14]
1505 p - [8]
1506 c - [4]
1507 c - [4]
1508 c - [7]
1509 p - [11]
1510 p - [3]
1511 c - [7]
1512 c - [17]
1513 c - [7]
1514 p - [9]
1515 p + [109]
1516 l + [96]
1517 c - [4]
1518 c - [3]
1519 p - [12]
1520 p - [7]
1521 c - [8]
1522 c - [4]
1523 c - [8]
1524 p - [7]
1525 p - [8]
1526 c - [11]
1527 c - [6]
1528 c - [3]
1529 p - [3]
1530 p - [5]
1531 c - [7]
1532 c - [6]
1533 c - [6]
1534 p - [6]
1535 p - [7]
1536 c - [4]
1537 c - [5]
1538 c - [5]
1539 p - [3]
1540 p - [2]
1541 c - [3]
1542 c - [6]
1543 c - [16]
1544 p - [10]
1545 p - [10]
1546 c - [12]
1547 c - [9]
1548 c - [2]
1549 c - [44]
1550 c - [35]
1551 c - [17]
1552 c - [18]
1553 c - [63]
1554 c - [36]
1555 c - [27]
1556 c - [26]
1557 c - [52]
1558 c - [32]
1559 c - [19]
1560 c - [25]
1561 c - [52]
1562 c - [18]
1563 c - [17]
1564 c - [18]
1565 c - [19]
1566 c - [14]
1567 c - [53]
1568 c - [26]
1569 c - [29]
1570 c - [36]
1571 l + [97]
1572 c - [15]
1573 c - [19]
1574 c - [54]
1575 c - [12]
1576 c - [18]
1577 c - [15]
1578 c - [23]
1579 c - [11]
1580 c - [40]
1581 c - [7]
1582 c - [14]
1583 c - [15]
1584 c - [25]
1585 c - [48]
1586 c - [35]
1587 c - [22]
1588 c - [22]
1589 c - [23]
1590 c - [11]
1591 c - [40]
1592 c - [20]
1593 c - [10]
1594 p - [6]
1595 p - [14]
1596 c - [6]
1597 c - [7]
1598 c - [29]
1599 p - [16]
1600 p - [11]
1601 c - [15]
1602 c - [10]
1603 c - [5]
1604 p - [7]
1605 p - [9]
1606 c - [10]
1607 c - [8]
1608 c - [5]
1609 u - [38]
1610 p - [38]
1611 c - [28]
1612 u - [22]
1613 c - [17]
1614 c - [18]
1615 c - [19]
1616 c - [18]
1617 c - [14]
1618 p - [15]
1619 c - [23]
1620 p - [19]
1621 p - [15]
1622 p - [17]
1623 p - [17]
1624 c - [7]
1625 u - [10]
1626 p - [10]
1627 c - [25]
1628 c - [17]
1629 c - [9]
1630 c - [25]
1631 p - [12]
1632 c - [22]
1633 p - [31]
1634 p - [31]
1635 p - [21]
1636 p - [24]
1637 c - [18]
1638 u - [14]
1639 c - [20]
1640 c - [14]
1641 c - [35]
1642 c - [17]
1643 c - [20]
1644 c - [8]
1645 c - [21]
1646 p - [8]
1647 c - [17]
1648 p - [27]
1649 p - [34]
1650 p - [22]
1651 p - [15]
1652 c - [38]
1653 u - [35]
1654 c - [18]
1655 c - [14]
1656 c - [23]
1657 l + [98]
1658 c - [12]
