#TFM v1.0.8 by tritical
field = bottom
crc32 = 23659eeb
235 p - [13]
236 c - [6]
237 c - [22]
238 c - [2]
239 c - [4]
240 p - [9]
241 p - [2]
242 c - [3]
243 c - [8]
244 c - [2]
245 p - [4]
246 p - [4]
247 c - [6]
248 c - [11]
249 c - [9]
250 p - [10]
251 c - [8]
252 c - [6]
253 p - [4]
254 p - [5]
255 c - [13]
256 c - [3]
257 c - [15]
258 p - [12]
259 p - [5]
260 c - [2]
261 c - [10]
262 c - [11]
263 p - [5]
264 p - [16]
265 c - [7]
266 c - [7]
267 c - [4]
268 p - [5]
269 p - [5]
270 c - [3]
271 c - [11]
272 c - [5]
273 p - [8]
274 p - [7]
275 c - [24]
276 c - [9]
277 c - [18]
278 p - [27]
279 p - [11]
280 c - [3]
281 c - [8]
282 c - [3]
283 c - [4]
284 p - [6]
285 p - [10]
286 c - [11]
287 c - [8]
288 c - [8]
289 p - [17]
290 p - [11]
291 c - [4]
292 c - [7]
293 c - [5]
294 p - [10]
295 p - [9]
296 c - [8]
297 c - [9]
298 c - [11]
299 p - [7]
300 p - [10]
301 c - [15]
302 c - [3]
303 c - [7]
304 c - [4]
305 c - [9]
306 p - [8]
307 p - [10]
308 c - [6]
309 c - [6]
310 c - [4]
311 p - [6]
312 p - [4]
313 c - [5]
314 c - [5]
315 c - [3]
316 p - [12]
317 p - [9]
318 c - [12]
319 c - [4]
320 c - [9]
321 p - [5]
322 p - [10]
323 c - [6]
324 c - [5]
325 c - [3]
326 p - [12]
327 p - [12]
328 c - [7]
329 c - [13]
330 c - [7]
331 p - [39]
332 p + [102]
333 c - [5]
334 c - [3]
335 c - [10]
336 p - [5]
337 p - [8]
338 c - [40]
339 c - [9]
340 c - [4]
341 p - [14]
342 p - [4]
343 p - [9]
344 c - [16]
345 c - [11]
346 p - [11]
347 c - [3]
348 c - [7]
349 p - [2]
350 p - [3]
351 c - [6]
352 c - [5]
353 c - [12]
354 p - [12]
355 p - [5]
356 c - [3]
357 c - [6]
358 c - [4]
359 p - [4]
360 p - [6]
361 l + [128]
362 c - [2]
363 c - [2]
364 p - [13]
365 p - [6]
366 c - [3]
367 c - [9]
368 c - [12]
369 p - [2]
370 p - [7]
371 c - [6]
372 c - [3]
373 c - [4]
374 p - [3]
375 p - [2]
376 c - [4]
377 c - [3]
378 p - [7]
379 p - [6]
380 c - [4]
381 c - [6]
382 c - [5]
383 p - [6]
384 p - [10]
385 c - [6]
386 c - [4]
387 c - [17]
388 p - [13]
389 p - [7]
390 c - [4]
391 c - [15]
392 c - [3]
393 p - [5]
394 p - [10]
395 c - [13]
396 c - [8]
397 c - [6]
398 p - [5]
399 p - [10]
400 c - [7]
401 c - [7]
402 c - [7]
403 p - [11]
404 p - [13]
405 c - [18]
406 c - [6]
407 c - [4]
408 p - [6]
409 p - [13]
410 c - [9]
411 c - [20]
412 c - [10]
413 p - [9]
414 p - [9]
415 c - [9]
416 c - [14]
417 c - [12]
418 p - [12]
419 p - [16]
420 c - [9]
421 c - [16]
422 c - [10]
423 p - [10]
424 p - [11]
425 p - [9]
426 c - [12]
427 c - [9]
428 p - [11]
429 p - [31]
430 c - [9]
431 c - [12]
432 c - [9]
433 p - [10]
434 p - [7]
435 c - [5]
436 c - [6]
437 c - [7]
438 c - [10]
439 p - [25]
440 p - [14]
441 c - [12]
442 c - [12]
443 c - [9]
444 p - [19]
445 p - [10]
446 c - [27]
447 c - [18]
448 c - [7]
449 c - [1]
450 c - [6]
451 p - [6]
452 p - [4]
453 c - [7]
454 c - [6]
455 c - [4]
456 u - [3]
457 p - [3]
458 c - [1]
459 c - [1]
460 c - [14]
461 p - [9]
462 p - [6]
463 c - [4]
464 c - [6]
465 c - [7]
466 p - [4]
467 p - [7]
468 p - [6]
469 c - [8]
470 c - [7]
471 p - [7]
472 p - [10]
473 c - [7]
474 c - [6]
475 c - [7]
476 p - [4]
477 p - [5]
478 c - [6]
479 c - [7]
480 c - [14]
481 p - [6]
482 p - [10]
483 c - [7]
484 c - [14]
485 c - [8]
486 p - [13]
487 p - [6]
488 c - [15]
489 c - [5]
490 c - [6]
491 p - [5]
492 p - [10]
493 c - [13]
494 c - [9]
495 c - [7]
496 p - [8]
497 c - [12]
498 c - [7]
499 p - [8]
500 c - [7]
501 c - [10]
502 c - [10]
503 c - [10]
504 p - [10]
505 c - [10]
506 c - [10]
507 c - [20]
508 c - [18]
509 p - [16]
510 c - [7]
511 c - [12]
512 c - [12]
513 c - [10]
514 p - [7]
515 c - [11]
516 c - [8]
517 c - [17]
518 c - [7]
519 c - [8]
520 c - [8]
521 c - [10]
522 c - [7]
523 c - [16]
524 c - [7]
525 c - [7]
526 c - [11]
527 c - [10]
528 p - [16]
529 c - [15]
530 c - [16]
531 c - [8]
532 c - [8]
533 p - [14]
534 c - [11]
535 c - [12]
536 c - [14]
537 c - [12]
538 p - [10]
539 c - [12]
540 c - [9]
541 c - [21]
542 c - [9]
543 p - [7]
544 c - [26]
545 c - [31]
546 c - [17]
547 c - [19]
548 p - [14]
549 p - [22]
550 c - [14]
551 c - [14]
552 c - [14]
553 p - [14]
554 p - [26]
555 c - [26]
556 c - [27]
557 c - [29]
558 p - [29]
559 p - [30]
560 c - [16]
561 c - [12]
562 c - [11]
563 p - [12]
564 p - [15]
565 c - [14]
566 c - [12]
567 c - [4]
568 p - [5]
569 p - [8]
570 c - [16]
571 c - [5]
572 c - [4]
573 p - [5]
574 p - [6]
575 c - [7]
576 c - [4]
577 c - [4]
578 p + [188]
579 p - [8]
580 c - [6]
581 c - [21]
582 c - [4]
583 p - [3]
584 p - [7]
585 c - [6]
586 c - [2]
587 c - [5]
588 p - [8]
589 p - [3]
590 c - [5]
591 c - [3]
592 c - [11]
593 p - [8]
594 p - [8]
595 c - [5]
596 c - [6]
597 c - [5]
598 p - [22]
599 p - [28]
600 c - [5]
601 c - [14]
602 c - [2]
603 p - [8]
604 p - [2]
605 c - [14]
606 c - [4]
607 c - [6]
608 p - [7]
609 p - [7]
610 c - [3]
611 c - [12]
612 c - [4]
613 p - [4]
614 p - [9]
615 c - [8]
616 c - [19]
617 c - [6]
618 p - [9]
619 p - [6]
620 c - [4]
621 c - [4]
622 c - [8]
623 p - [11]
624 p - [23]
625 c - [11]
626 c - [4]
627 c - [9]
628 p - [12]
629 p - [25]
630 c - [3]
631 c - [4]
632 c - [3]
633 p - [4]
634 p - [14]
635 p - [10]
636 c - [5]
637 c - [4]
638 p - [4]
639 p - [10]
640 c - [7]
641 c - [7]
642 c - [7]
643 p - [8]
644 p - [6]
645 c - [16]
646 c - [10]
647 c - [4]
648 p - [4]
649 p - [10]
650 c - [4]
651 c - [4]
652 c - [9]
653 p - [5]
654 p - [6]
655 c - [10]
656 c - [1]
657 c - [9]
658 p - [14]
659 p - [6]
660 c - [3]
661 c - [19]
662 c - [6]
663 p - [6]
664 p - [9]
665 c - [19]
666 c - [6]
667 c - [5]
668 p - [13]
669 p - [8]
670 c - [8]
671 c - [19]
672 c - [8]
673 p - [20]
674 p - [16]
675 c - [6]
676 c - [9]
677 c - [12]
678 p - [4]
679 p - [9]
680 c - [6]
681 c - [6]
682 c - [22]
683 p - [6]
684 p - [11]
685 c - [20]
686 c - [12]
687 c - [13]
688 c - [3]
689 c - [0]
690 p - [0]
691 p - [15]
692 c - [5]
693 c - [4]
694 c - [9]
695 p - [7]
696 p - [9]
697 c - [10]
698 c - [20]
699 c - [10]
700 u - [1]
701 p - [1]
702 c - [8]
703 c - [8]
704 c - [4]
705 p - [10]
706 p - [19]
707 c - [8]
708 c - [16]
709 c - [9]
710 p - [10]
711 p - [16]
712 c - [5]
713 c - [1]
714 c - [3]
715 p - [3]
716 p - [10]
717 c - [8]
718 c - [17]
719 c - [13]
720 p - [16]
721 p - [31]
722 c - [10]
723 c - [12]
724 c - [7]
725 p - [2]
726 p - [8]
727 p - [0]
728 c - [8]
729 c - [4]
730 p - [7]
731 p - [7]
732 c - [8]
733 c - [15]
734 c - [9]
735 p - [11]
736 p - [15]
737 c - [13]
738 u - [16]
739 p - [16]
740 c - [22]
741 c - [9]
742 c - [23]
743 p - [14]
744 p - [13]
745 c - [16]
746 c - [4]
747 c - [10]
748 p - [15]
749 p - [14]
750 c - [8]
751 c - [13]
752 c - [17]
753 p - [20]
754 p - [10]
755 c - [9]
756 c - [4]
757 c - [16]
758 p - [22]
759 p - [8]
760 c - [4]
761 c - [11]
762 c - [11]
763 p - [13]
764 p - [10]
765 c - [9]
766 c - [12]
767 c - [12]
768 p - [11]
769 p - [13]
770 c - [5]
771 c - [10]
772 c - [5]
773 p - [6]
774 p - [24]
775 c - [4]
776 c - [5]
777 c - [4]
778 p - [4]
779 p - [10]
780 c - [5]
781 c - [5]
782 c - [3]
783 p - [2]
784 p - [2]
785 c - [5]
786 c - [8]
787 c - [8]
788 p - [16]
789 p - [10]
790 c - [9]
791 c - [7]
792 c - [11]
793 p - [10]
794 p - [5]
795 c - [8]
796 c - [5]
797 c - [8]
798 p - [7]
799 p - [11]
800 c - [7]
801 c - [16]
802 c - [7]
803 p - [6]
804 p - [8]
805 c - [6]
806 c - [14]
807 c - [10]
808 p - [11]
809 p - [7]
810 c - [7]
811 c - [10]
812 c - [13]
813 p - [13]
814 p - [8]
815 c - [6]
816 c - [10]
817 c - [11]
818 p - [11]
819 p - [11]
820 c - [7]
821 c - [7]
822 c - [8]
823 p - [8]
824 p - [12]
825 c - [8]
826 c - [7]
827 c - [6]
828 p - [6]
829 p - [10]
830 c - [13]
831 c - [8]
832 c - [8]
833 p - [8]
834 p - [7]
835 c - [10]
836 c - [11]
837 c - [8]
838 p - [16]
839 p - [7]
840 c - [7]
841 c - [10]
842 c - [9]
843 p - [9]
844 p - [7]
845 c - [9]
846 c - [8]
847 c - [12]
848 p - [12]
849 p - [8]
850 c - [9]
851 c - [9]
852 c - [10]
853 p - [9]
854 p - [16]
855 c - [8]
856 c - [10]
857 c - [10]
858 p - [9]
859 p - [16]
860 c - [12]
861 c - [11]
862 c - [8]
863 p - [9]
864 p - [11]
865 c - [16]
866 c - [9]
867 c - [9]
868 p - [10]
869 p - [12]
870 c - [16]
871 c - [13]
872 c - [8]
873 p - [10]
874 p - [8]
875 c - [11]
876 c - [13]
877 c - [10]
878 p - [10]
879 p - [7]
880 c - [10]
881 c - [10]
882 c - [15]
883 p - [15]
884 c - [1]
885 c - [3]
886 p - [2]
887 p - [1]
888 c - [5]
889 c - [3]
890 c - [1]
891 p - [6]
892 p - [9]
893 p - [7]
894 c - [7]
895 c - [7]
896 p - [4]
897 p - [4]
898 c - [8]
899 c - [6]
900 c - [14]
901 p - [3]
902 p - [8]
903 c - [18]
904 c - [4]
905 c - [4]
906 p - [5]
907 p - [7]
908 c - [6]
909 c - [7]
910 c - [6]
911 p - [8]
912 p - [5]
913 c - [6]
914 c - [3]
915 c - [8]
916 p - [9]
917 p - [4]
918 c - [6]
919 c - [8]
920 c - [5]
921 p - [5]
922 p - [9]
923 c - [8]
924 c - [5]
925 c - [7]
926 p - [7]
927 p - [4]
928 c - [4]
929 c - [2]
930 c - [6]
931 p - [6]
932 p - [6]
933 c - [4]
934 c - [4]
935 c - [5]
936 p - [4]
937 p - [5]
938 c - [6]
939 c - [4]
940 c - [4]
941 c - [7]
942 p - [7]
943 p - [12]
944 c - [5]
945 c - [4]
946 c - [6]
947 p - [10]
948 p - [7]
949 c - [10]
950 c - [6]
951 c - [8]
952 p - [6]
953 p - [4]
954 c - [6]
955 c - [8]
956 c - [10]
957 p - [10]
958 p - [7]
959 c - [8]
960 c - [8]
961 c - [7]
962 p - [7]
963 p - [6]
964 c - [7]
965 c - [11]
966 c - [7]
967 p - [8]
968 p - [6]
969 c - [6]
970 c - [7]
971 c - [27]
972 p - [13]
973 p - [4]
974 c - [5]
975 c - [12]
976 c - [7]
977 p - [4]
978 c - [12]
979 c - [12]
980 c - [7]
981 p - [11]
982 c - [6]
983 c - [7]
984 c - [9]
985 p - [9]
986 c - [8]
987 c - [8]
988 c - [9]
989 c - [4]
990 p - [5]
991 c - [4]
992 c - [4]
993 c - [17]
994 c - [14]
995 c - [12]
996 p - [6]
997 c - [5]
998 c - [2]
999 c - [11]
1000 p - [5]
1001 c - [6]
1002 c - [7]
1003 c - [7]
1004 c - [6]
1005 p - [11]
1006 p - [6]
1007 c - [3]
1008 c - [7]
1009 c - [4]
1010 p - [5]
1011 p - [7]
1012 c - [10]
1013 c - [4]
1014 c - [5]
1015 p - [4]
1016 p - [4]
1017 c - [5]
1018 c - [6]
1019 c - [5]
1020 p - [5]
1021 p - [9]
1022 c - [6]
1023 c - [6]
1024 c - [9]
1025 p - [5]
1026 p - [7]
1027 c - [8]
1028 c - [7]
1029 c - [9]
1030 p - [10]
1031 c - [9]
1032 c - [8]
1033 c - [9]
1034 c - [9]
1035 p - [28]
1036 p - [29]
1037 c - [6]
1038 c - [5]
1039 c - [11]
1040 p - [9]
1041 p - [6]
1042 c - [3]
1043 p - [8]
1044 c - [2]
1045 c - [2]
1046 c - [1]
1047 c - [3]
1048 p - [5]
1049 c - [8]
1050 p - [8]
1051 c - [16]
1052 p - [7]
1053 c - [10]
1054 p - [16]
1055 p - [16]
1056 p - [15]
1057 p - [6]
1058 c - [6]
1059 c - [13]
1060 p - [8]
1061 c - [6]
1062 c - [8]
1063 c - [18]
1064 c - [12]
1065 c - [10]
1066 c - [9]
1067 c - [8]
1068 c - [9]
1069 c - [9]
1070 c - [9]
1071 c - [8]
1072 c - [9]
1073 c - [11]
1074 c - [7]
1075 c - [8]
1076 c - [8]
1077 c - [12]
1078 c - [8]
1079 c - [10]
1080 c - [9]
1081 c - [7]
1082 c - [9]
1083 c - [10]
1084 c - [16]
1085 c - [9]
1086 c - [11]
1087 c - [9]
1088 c - [10]
1089 c - [16]
1090 c - [16]
1091 p - [16]
1092 p - [16]
1093 c - [16]
1094 c - [16]
1095 c - [16]
1096 p - [16]
1097 p - [16]
1098 c - [16]
1099 c - [16]
1100 c - [16]
1101 p - [16]
1102 p - [16]
1103 c - [16]
1104 c - [16]
1105 c - [16]
1106 p - [16]
1107 p - [16]
1108 c - [16]
1109 c - [16]
1110 c - [16]
1111 p - [16]
1112 c - [16]
1113 c - [27]
1114 c - [38]
1115 c - [17]
1116 p - [16]
1117 p - [16]
1118 p + [256]
1119 p - [16]
1120 c - [16]
1121 c - [16]
1122 c - [16]
1123 p - [16]
1124 p - [16]
1125 c - [16]
1126 c - [16]
1127 c - [16]
1128 p - [16]
1129 p - [16]
1130 c - [16]
1131 c - [16]
1132 c - [16]
1133 p - [16]
1134 p - [16]
1135 c - [16]
1136 c - [16]
1137 c - [19]
1138 p - [16]
1139 p - [16]
1140 c - [16]
1141 c - [16]
1142 c - [16]
1143 c - [16]
1144 c - [16]
1145 c - [16]
1146 u - [16]
1147 c - [16]
1148 p - [16]
1149 c - [16]
1150 c - [16]
1151 c - [17]
1152 c - [16]
1153 c - [16]
1154 c - [16]
1155 c - [16]
1156 p - [16]
1157 c - [16]
1158 p - [16]
1159 c - [16]
1160 c - [16]
1161 c - [16]
1162 c - [16]
1163 c - [16]
1164 c - [16]
1165 c - [16]
1166 p - [16]
1167 c - [16]
1168 p - [16]
1169 c - [17]
1170 c - [12]
1171 c - [14]
1172 c - [17]
1173 c - [16]
1174 c - [16]
1175 c - [16]
1176 p - [16]
1177 c - [11]
1178 p - [19]
1179 c - [10]
1180 c - [16]
1181 c - [41]
1182 c - [18]
1183 c - [29]
1184 c - [36]
1185 c - [16]
1186 p - [22]
1187 c - [21]
1188 p - [16]
1189 c - [16]
1190 c - [16]
1191 c - [20]
1192 c - [16]
1193 c - [16]
1194 c - [16]
1195 c - [16]
1196 p - [16]
1197 c - [16]
1198 p - [16]
1199 c - [16]
1200 c - [16]
1201 c - [16]
1202 c - [16]
1203 c - [16]
1204 c - [23]
1205 c - [16]
1206 p - [16]
1207 c - [16]
1208 p - [16]
1209 c - [16]
1210 c - [17]
1211 c - [16]
1212 c - [16]
1213 c - [16]
1214 c - [16]
1215 c - [16]
1216 p - [16]
1217 c - [16]
1218 p - [16]
1219 c - [16]
1220 c - [16]
1221 c - [16]
1222 c - [16]
1223 c - [16]
1224 c - [0]
1225 c - [0]
1226 p - [0]
1227 c - [0]
1228 c - [0]
1229 c - [0]
1230 c - [0]
1231 p - [0]
1232 p - [1]
1233 c - [4]
1234 c - [0]
1235 c - [0]
1236 p - [1]
1237 p - [10]
1238 c - [4]
1239 c - [2]
1240 c - [0]
1241 p - [1]
1242 p - [3]
1243 c - [3]
1244 c - [1]
1245 c - [4]
1246 p - [15]
1247 p - [13]
1248 c - [6]
1249 c - [7]
1250 c - [14]
1251 p - [17]
1252 p - [21]
1253 c - [2]
1254 c - [2]
1255 c - [7]
1256 p - [9]
1257 p - [11]
1258 c - [5]
1259 c - [6]
1260 c - [6]
1261 p - [6]
1262 p - [6]
1263 c - [6]
1264 c - [12]
1265 c - [3]
1266 p - [14]
1267 p - [13]
1268 c - [2]
1269 c - [4]
1270 c - [14]
1271 c - [14]
1272 p - [13]
1273 c - [2]
1274 c - [4]
1275 c - [4]
1276 c - [13]
1277 p - [21]
1278 c - [11]
1279 p - [28]
1280 c - [22]
1281 c - [33]
1282 p - [44]
1283 p - [44]
1284 c - [48]
1285 c - [51]
1286 c - [44]
1287 p - [46]
1288 p - [42]
1289 c - [44]
1290 c - [45]
1291 c - [45]
1292 p - [43]
1293 p - [42]
1294 c - [43]
1295 c - [46]
1296 c - [44]
1297 p - [43]
1298 p - [44]
1299 c - [44]
1300 c - [38]
1301 c - [39]
1302 p - [37]
1303 p - [42]
1304 c - [42]
1305 c - [44]
1306 c - [44]
1307 p - [44]
1308 p - [45]
1309 c - [45]
1310 c - [45]
1311 c - [45]
1312 p - [46]
1313 p - [38]
1314 c - [40]
1315 c - [40]
1316 c - [37]
1317 p - [38]
1318 p - [39]
1319 c - [39]
1320 c - [42]
1321 c - [43]
1322 p - [44]
1323 p - [42]
1324 c - [40]
1325 c - [43]
1326 c - [43]
1327 p - [43]
1328 p - [42]
1329 c - [42]
1330 c - [38]
1331 c - [40]
1332 p - [40]
1333 p - [36]
1334 c - [44]
1335 c - [40]
1336 c - [37]
1337 p - [38]
1338 c - [43]
1339 c - [43]
1340 c - [44]
1341 c - [47]
1342 p - [46]
1343 p - [46]
1344 c - [45]
1345 c - [46]
1346 c - [45]
1347 p - [46]
1348 c - [46]
1349 c - [47]
1350 c - [47]
1351 c - [46]
1352 c - [47]
1353 c - [45]
1354 c - [45]
1355 c - [45]
1356 c - [46]
1357 c - [46]
1358 c - [47]
1359 c - [49]
1360 p - [48]
1361 c - [46]
1362 c - [46]
1363 u - [47]
1364 c - [44]
1365 c - [44]
1366 c - [49]
1367 p - [45]
1368 p - [42]
1369 c - [42]
1370 c - [43]
1371 c - [42]
1372 c - [42]
1373 p - [46]
1374 c - [43]
1375 c - [43]
1376 c - [40]
1377 c - [41]
1378 p - [38]
1379 c - [42]
1380 c - [42]
1381 c - [42]
1382 p - [44]
1383 p - [43]
1384 c - [43]
1385 c - [40]
1386 c - [45]
1387 p - [45]
1388 p - [45]
1389 c - [44]
1390 c - [46]
1391 c - [47]
1392 c - [46]
1393 p - [46]
1394 c - [38]
1395 c - [39]
1396 c - [40]
1397 c - [40]
1398 p - [40]
1399 c - [39]
1400 c - [37]
1401 c - [39]
1402 c - [74]
1403 p - [37]
1404 c - [37]
1405 c - [37]
1406 c - [39]
1407 c - [38]
1408 p - [38]
1409 c - [35]
1410 c - [35]
1411 c - [30]
1412 c - [28]
1413 c - [6]
1414 c - [12]
1415 c - [9]
1416 c - [4]
1417 c - [4]
1418 c - [4]
1419 p - [4]
1420 c - [4]
1421 c - [11]
1422 c - [5]
1423 c - [10]
1424 c - [9]
1425 p - [4]
1426 c - [25]
1427 c - [12]
1428 c - [29]
1429 c - [20]
1430 p - [16]
1431 p - [16]
1432 p - [16]
1433 p - [16]
1434 p - [16]
1435 p - [16]
1436 c - [20]
1437 c - [20]
1438 c - [21]
1439 c - [19]
1440 c - [22]
1441 c - [20]
1442 c - [20]
1443 c - [23]
1444 c - [21]
1445 c - [18]
1446 c - [22]
1447 c - [26]
1448 c - [18]
1449 c - [17]
1450 c - [18]
1451 c - [23]
1452 c - [24]
1453 c - [20]
1454 c - [22]
1455 c - [18]
1456 c - [29]
1457 c - [24]
1458 c - [22]
1459 c - [16]
1460 c - [16]
1461 p - [16]
1462 p - [16]
1463 c - [16]
1464 c - [16]
1465 c - [16]
1466 p - [16]
1467 p - [24]
1468 c - [29]
1469 c - [35]
1470 c - [29]
1471 p - [31]
1472 p - [28]
1473 c - [31]
1474 c - [33]
1475 c - [30]
1476 p - [32]
1477 p - [24]
1478 c - [23]
1479 c - [36]
1480 c - [30]
1481 p - [29]
1482 p - [29]
1483 c - [33]
1484 c - [26]
1485 c - [29]
1486 p - [32]
1487 p - [33]
1488 c - [24]
1489 c - [20]
1490 c - [19]
1491 p - [19]
1492 p - [16]
1493 c - [16]
1494 c - [20]
1495 c - [18]
1496 p - [17]
1497 p - [16]
1498 c - [16]
1499 c - [31]
1500 c - [27]
1501 p - [28]
1502 c - [17]
1503 c - [18]
1504 p - [16]
1505 p - [16]
1506 c - [17]
1507 c - [16]
1508 c - [16]
1509 p - [16]
1510 p - [16]
1511 c - [16]
1512 c - [20]
1513 c - [17]
1514 p - [17]
1515 p - [20]
1516 c - [18]
1517 c - [17]
1518 c - [17]
1519 p - [20]
1520 p - [21]
1521 c - [16]
1522 c - [16]
1523 c - [16]
1524 p - [16]
1525 p - [16]
1526 c - [16]
1527 c - [16]
1528 c - [28]
1529 p - [29]
1530 p - [33]
1531 c - [28]
1532 c - [31]
1533 c - [26]
1534 p - [27]
1535 p - [33]
1536 c - [36]
1537 c - [38]
1538 c - [22]
1539 p - [23]
1540 p - [25]
1541 c - [37]
1542 c - [37]
1543 c - [18]
1544 p - [21]
1545 p - [19]
1546 c - [30]
1547 c - [37]
1548 c - [16]
1549 p - [17]
1550 p - [16]
1551 c - [16]
1552 c - [16]
1553 c - [16]
1554 p - [18]
1555 p - [16]
1556 c - [16]
1557 c - [14]
1558 c - [12]
1559 c - [12]
1560 c - [14]
1561 c - [12]
1562 c - [13]
1563 c - [15]
1564 c - [15]
1565 c - [13]
1566 c - [5]
1567 c - [7]
1568 c - [15]
1569 c - [7]
1570 c - [10]
1571 c - [9]
1572 c - [6]
1573 c - [10]
1574 c - [9]
1575 c - [11]
1576 c - [13]
1577 c - [6]
1578 c - [28]
1579 c - [14]
1580 c - [5]
1581 c - [19]
1582 c - [4]
1583 c - [13]
1584 c - [13]
1585 c - [11]
1586 c - [5]
1587 c - [4]
1588 c - [11]
1589 c - [14]
1590 c - [9]
1591 c - [5]
1592 c - [5]
1593 c - [7]
1594 c - [9]
1595 c - [2]
1596 c - [8]
1597 c - [2]
1598 c - [11]
1599 c - [4]
1600 c - [8]
1601 c - [7]
1602 c - [3]
1603 c - [8]
1604 c - [5]
1605 c - [10]
1606 c - [8]
1607 c - [7]
1608 c - [4]
1609 c - [9]
1610 c - [14]
1611 c - [6]
1612 c - [6]
1613 c - [4]
1614 c - [15]
1615 c - [4]
1616 c - [5]
1617 c - [13]
1618 c - [8]
1619 c - [8]
1620 c - [12]
1621 c - [5]
1622 c - [5]
1623 c - [4]
1624 p - [5]
1625 p - [6]
1626 c - [9]
1627 c - [5]
1628 c - [5]
1629 p - [11]
1630 p - [6]
1631 c - [6]
1632 c - [4]
1633 c - [5]
1634 p - [6]
1635 p - [8]
1636 c - [3]
1637 c - [6]
1638 c - [5]
1639 p - [5]
1640 p - [7]
1641 c - [8]
1642 c - [7]
1643 c - [10]
1644 p - [5]
1645 c - [5]
1646 c - [5]
1647 c - [5]
1648 c - [6]
1649 p - [7]
1650 c - [5]
1651 c - [5]
1652 c - [4]
1653 p - [6]
1654 p - [6]
1655 c - [5]
1656 c - [15]
1657 c - [7]
1658 p - [12]
