#TFM v1.0.8 by tritical
field = bottom
crc32 = 4cdd4a77
355 p - [30]
356 c - [21]
357 p - [22]
358 c - [67]
359 c - [43]
360 c - [29]
361 c - [8]
362 c - [7]
363 c - [9]
364 p - [14]
365 p - [17]
366 c - [11]
367 p - [39]
368 c - [73]
369 c - [17]
370 p - [9]
371 c - [5]
372 c - [28]
373 c - [15]
374 p - [17]
375 c - [31]
376 c - [26]
377 p - [54]
378 c - [26]
379 p - [25]
380 c - [52]
381 c - [22]
382 c - [9]
383 c - [22]
384 p - [19]
385 p - [10]
386 p - [21]
387 c - [25]
388 c - [23]
389 p - [34]
390 p - [29]
391 c - [19]
392 c - [24]
393 c - [28]
394 p - [9]
395 c - [36]
396 c - [18]
397 c - [6]
398 p - [58]
399 p - [67]
400 p - [80]
401 c - [38]
402 c - [18]
403 c - [23]
404 p - [18]
405 p - [10]
406 c - [10]
407 c - [21]
408 c - [31]
409 p - [26]
410 p - [37]
411 c - [65]
412 c - [60]
413 c - [13]
414 p - [27]
415 p - [13]
416 c - [21]
417 c - [49]
418 c - [64]
419 p - [64]
420 u - [18]
421 c - [13]
422 c - [28]
423 c - [8]
424 p - [5]
425 p - [8]
426 c - [17]
427 c - [4]
428 c - [10]
429 p - [8]
430 p - [11]
431 c - [7]
432 c - [7]
433 c - [9]
434 p - [8]
435 p - [33]
436 c - [11]
437 c - [3]
438 c - [19]
439 p - [10]
440 p - [19]
441 c - [19]
442 c - [19]
443 c - [8]
444 p - [12]
445 p - [12]
446 c - [9]
447 c - [7]
448 c - [4]
449 p - [4]
450 p - [4]
451 c - [8]
452 c - [16]
453 c - [8]
454 p - [19]
455 p - [13]
456 p - [4]
457 c - [3]
458 c - [11]
459 p - [13]
460 p - [16]
461 c - [14]
462 l + [192]
463 c - [8]
464 p - [8]
465 p - [8]
466 c - [13]
467 c - [61]
468 c - [62]
469 p - [62]
470 p - [4]
471 c - [6]
472 c - [7]
473 c - [52]
474 p + [126]
475 p - [70]
476 p + [139]
477 l + [123]
478 l + [90]
479 p - [19]
480 p - [19]
481 c - [33]
482 c - [6]
483 c - [12]
484 p - [17]
485 p - [5]
486 c - [9]
487 c - [2]
488 c - [7]
489 p - [14]
490 p - [27]
491 c - [14]
492 c - [42]
493 c - [5]
494 p - [15]
495 p - [14]
496 p - [10]
497 c - [11]
498 c - [18]
499 p - [8]
500 p - [21]
501 c - [5]
502 c - [16]
503 c - [12]
504 p - [13]
505 p - [13]
506 c - [10]
507 c - [15]
508 c - [9]
509 p - [15]
510 p - [4]
511 p - [3]
512 c - [65]
513 c - [11]
514 p - [15]
515 p - [19]
516 c - [6]
517 c - [4]
518 c - [7]
519 p - [26]
520 p - [29]
521 c - [31]
522 c - [25]
523 c - [15]
524 p - [15]
525 p - [8]
526 c - [7]
527 c - [28]
528 c - [13]
529 p - [17]
530 p - [15]
531 c - [27]
532 c - [2]
533 c - [19]
534 p - [16]
535 p - [23]
536 c - [14]
537 c - [12]
538 c - [34]
539 p - [15]
540 p - [44]
541 c - [25]
542 c - [26]
543 c - [20]
544 p - [15]
545 p - [6]
546 c - [13]
547 c - [22]
548 c - [9]
549 p - [21]
550 p - [6]
551 c - [6]
552 c - [4]
553 c - [4]
554 p - [13]
555 p - [16]
556 c - [2]
557 c - [68]
558 c - [18]
559 p - [19]
560 p - [14]
561 p - [13]
562 c - [13]
563 c - [5]
564 p - [13]
565 p - [6]
566 p - [16]
567 c - [10]
568 c - [8]
569 p - [6]
570 p - [4]
571 c - [6]
572 c - [7]
573 c - [7]
574 p - [31]
575 p - [23]
576 p - [15]
577 c - [68]
578 c - [58]
579 p - [59]
580 p - [16]
581 c - [6]
582 c - [12]
583 c - [12]
584 p - [11]
585 p - [10]
586 c - [52]
587 c - [62]
588 c - [57]
589 p - [67]
590 p - [20]
591 c - [33]
592 c - [22]
593 c - [16]
594 p - [12]
595 p - [9]
596 c - [22]
597 c - [8]
598 c - [10]
599 p - [16]
600 p - [11]
601 c - [6]
602 c - [25]
603 c - [5]
604 p - [17]
605 p - [9]
606 p - [8]
607 c - [14]
608 c - [19]
609 p - [23]
610 p - [31]
611 c - [14]
612 c - [74]
613 c - [80]
614 p - [71]
615 p - [72]
616 p - [6]
617 c - [16]
618 c - [47]
619 p - [17]
620 p - [79]
621 c - [21]
622 c - [22]
623 c - [5]
624 p - [9]
625 p - [13]
626 p - [14]
627 c - [13]
628 c - [19]
629 p - [20]
630 p - [6]
631 p - [27]
632 c - [11]
633 c - [72]
634 p - [75]
635 p - [14]
636 c - [9]
637 c - [20]
638 c - [13]
639 p - [12]
640 p - [11]
641 c - [7]
642 c - [71]
643 c - [69]
644 p - [69]
645 p - [44]
646 c - [76]
647 c - [79]
648 c - [80]
649 p - [80]
650 p - [19]
651 c - [64]
652 c - [70]
653 c - [26]
654 p - [14]
655 p - [35]
656 c - [79]
657 c - [48]
658 c - [19]
659 p - [23]
660 p - [79]
661 p - [19]
662 c - [80]
663 c - [3]
664 p - [8]
665 p - [77]
666 p - [79]
667 c - [42]
668 c - [8]
669 p - [15]
670 p - [18]
671 p - [78]
672 c - [78]
673 c - [31]
674 p - [32]
675 p - [74]
676 c - [72]
677 c - [18]
678 c - [38]
679 p - [13]
680 p - [27]
681 c - [21]
682 c - [9]
683 c - [80]
684 p - [80]
685 p - [68]
686 p - [16]
687 c - [64]
688 c - [74]
689 p - [68]
690 p - [31]
691 c - [56]
692 c - [80]
693 c - [74]
694 p - [78]
695 p - [71]
696 c - [6]
697 c - [9]
698 c - [4]
699 p - [2]
700 p - [40]
701 c - [74]
702 c - [66]
703 c - [73]
704 p - [80]
705 p - [17]
706 c - [5]
707 c - [8]
708 c - [65]
709 p - [68]
710 p - [71]
711 c - [3]
712 c - [9]
713 c - [5]
714 p - [7]
715 p - [8]
716 p - [22]
717 l + [81]
718 c - [49]
719 p - [54]
720 p - [73]
721 c - [13]
722 c - [5]
723 c - [7]
724 p - [9]
725 p - [68]
726 c - [76]
727 c - [76]
728 c - [25]
729 p - [17]
730 p - [8]
731 c - [15]
732 c - [3]
733 c - [67]
734 p - [66]
735 p - [28]
736 c - [28]
737 c - [23]
738 c - [8]
739 p - [19]
740 p - [72]
741 c - [71]
742 c - [68]
743 c - [15]
744 p - [21]
745 p - [26]
746 p - [17]
747 c - [18]
748 c - [19]
749 p - [20]
750 p - [16]
751 c - [16]
752 c - [68]
753 c - [14]
754 p - [15]
755 p - [12]
756 c - [16]
757 l + [98]
758 c - [53]
759 p - [51]
760 p - [29]
761 c - [11]
762 c - [37]
763 c - [80]
764 p - [75]
765 p - [80]
766 c - [53]
767 c - [52]
768 c - [10]
769 p - [14]
770 p - [65]
771 p - [29]
772 c - [39]
773 c - [79]
774 p - [80]
775 p - [74]
776 c - [17]
777 c - [74]
778 c - [73]
779 p - [54]
780 p - [18]
781 c - [73]
782 c - [64]
783 c - [66]
784 p - [48]
785 p - [50]
786 c - [25]
787 c - [25]
788 c - [76]
789 p + [84]
790 p - [78]
791 c - [21]
792 c - [38]
793 c - [28]
794 p - [22]
795 p - [77]
796 c - [23]
797 c - [14]
798 c - [11]
799 p - [14]
800 p - [30]
801 l + [87]
802 c - [78]
803 c - [69]
804 p - [77]
805 p - [71]
806 c - [15]
807 c - [24]
808 c - [17]
809 p - [31]
810 p - [18]
811 c - [27]
812 c - [13]
813 c - [77]
814 p - [74]
815 p - [74]
816 c - [15]
817 c - [10]
818 c - [37]
819 p - [12]
820 p - [15]
821 c - [10]
822 c - [7]
823 c - [27]
824 p - [25]
825 p - [29]
826 c - [12]
827 c - [15]
828 c - [10]
829 p - [12]
830 p - [22]
831 c - [16]
832 c - [9]
833 c - [14]
834 p - [13]
835 p - [19]
836 c - [25]
837 c - [8]
838 c - [26]
839 p - [32]
840 p - [32]
841 c - [11]
842 c - [10]
843 c - [10]
844 p - [22]
845 p - [15]
846 c - [12]
847 c - [13]
848 c - [13]
849 p - [28]
850 p - [32]
851 p - [13]
852 l + [85]
853 c - [11]
854 p - [27]
855 c - [12]
856 p - [14]
857 p - [17]
858 c - [19]
859 c - [8]
860 c - [15]
861 p - [4]
862 p - [8]
863 c - [5]
864 c - [13]
865 c - [10]
866 p - [19]
867 p - [13]
868 c - [13]
869 c - [15]
870 c - [16]
871 p - [17]
872 p - [19]
873 c - [19]
874 c - [10]
875 c - [18]
876 p - [5]
877 p - [18]
878 c - [24]
879 c - [20]
880 c - [21]
881 c - [7]
882 c - [14]
883 c - [12]
884 c - [14]
885 c - [17]
886 c - [22]
887 p - [26]
888 c - [8]
889 c - [8]
890 c - [16]
891 p - [22]
892 p - [18]
893 c - [5]
894 c - [49]
895 c - [22]
896 p - [14]
897 p - [17]
898 c - [41]
899 c - [62]
900 c - [57]
901 p - [54]
902 p - [19]
903 c - [27]
904 c - [10]
905 c - [4]
906 p - [17]
907 p - [9]
908 c - [34]
909 c - [42]
910 c - [14]
911 c - [7]
912 p - [17]
913 p - [14]
914 c - [49]
915 c - [15]
916 p - [14]
917 c - [24]
918 c - [13]
919 p - [27]
920 c - [18]
921 c - [11]
922 c - [14]
923 c - [35]
924 c - [26]
925 p - [48]
926 c - [72]
927 p - [66]
928 c - [58]
929 c - [37]
930 c - [41]
931 p - [25]
932 c - [36]
933 p - [35]
934 p - [25]
935 c - [68]
936 c - [24]
937 p - [29]
938 c - [70]
939 c - [18]
940 c - [16]
941 p - [7]
942 p - [39]
943 c - [64]
944 c - [65]
945 c - [9]
946 p - [22]
947 c - [39]
948 p - [31]
949 c - [24]
950 c - [14]
951 c - [5]
952 p - [23]
953 c - [10]
954 c - [18]
955 c - [19]
956 c - [19]
957 p - [11]
958 c - [11]
959 c - [36]
960 p - [11]
961 p - [17]
962 c - [21]
963 c - [32]
964 p - [25]
965 c - [10]
966 c - [15]
967 c - [35]
968 c - [15]
969 c - [11]
970 c - [17]
971 c - [32]
972 p - [46]
973 c - [10]
974 c - [33]
975 p - [24]
976 p - [64]
977 p - [31]
978 c - [4]
979 c - [18]
980 c - [11]
981 p - [14]
982 p - [64]
983 p - [9]
984 c - [25]
985 c - [11]
986 p - [12]
987 p - [41]
988 c - [61]
989 c - [31]
990 c - [28]
991 p - [28]
992 p - [50]
993 c - [52]
994 c - [14]
995 c - [15]
996 p - [43]
997 p - [28]
998 c - [16]
999 c - [22]
1000 c - [27]
1001 p - [43]
1002 p - [65]
1003 c - [24]
1004 c - [20]
1005 c - [14]
1006 p - [15]
1007 p - [21]
1008 c - [21]
1009 c - [23]
1010 c - [15]
1011 p - [12]
1012 p - [24]
1013 c - [43]
1014 c - [27]
1015 c - [30]
1016 p - [17]
1017 p - [22]
1018 c - [12]
1019 c - [10]
1020 c - [48]
1021 p - [37]
1022 u - [4]
1023 c - [7]
1024 c - [6]
1025 c - [6]
1026 p - [36]
1027 p - [10]
1028 c - [4]
1029 c - [8]
1030 c - [4]
1031 p - [4]
1032 p - [18]
1033 c - [4]
1034 c - [2]
1035 c - [3]
1036 p - [5]
1037 p - [5]
1038 c - [11]
1039 p - [8]
1040 c - [12]
1041 p - [7]
1042 p - [10]
1043 p - [14]
1044 c - [4]
1045 c - [29]
1046 p - [10]
1047 p - [27]
1048 c - [9]
1049 c - [5]
1050 c - [9]
1051 p - [13]
1052 p - [14]
1053 c - [56]
1054 c - [16]
1055 c - [23]
1056 c - [8]
1057 p - [8]
1058 c - [7]
1059 c - [7]
1060 c - [4]
1061 p - [22]
1062 p - [11]
1063 c - [33]
1064 c - [10]
1065 c - [15]
1066 p - [37]
1067 p - [24]
1068 c - [9]
1069 c - [30]
1070 c - [35]
1071 p - [28]
1072 p - [41]
1073 c - [39]
1074 c - [14]
1075 c - [34]
1076 p - [16]
1077 p - [15]
1078 l + [96]
1079 n - [10]
1080 c - [12]
1081 p - [10]
1082 p - [24]
1083 p - [8]
1084 c - [79]
1085 c - [64]
1086 p + [82]
1087 p - [67]
1088 c - [48]
1089 c - [17]
1090 p - [22]
1091 c - [34]
1092 p - [11]
1093 p - [10]
1094 c - [66]
1095 c - [74]
1096 p - [79]
1097 p - [33]
1098 c - [64]
1099 c - [25]
1100 c - [64]
1101 c - [14]
1102 p - [11]
1103 c - [6]
1104 c - [10]
1105 c - [13]
1106 p - [30]
1107 p - [2]
1108 c - [18]
1109 c - [25]
1110 c - [67]
1111 p - [76]
1112 p - [65]
1113 c - [7]
1114 c - [7]
1115 c - [57]
1116 p - [53]
1117 c - [64]
1118 c - [35]
1119 c - [65]
1120 c - [59]
1121 c - [13]
1122 p - [9]
1123 c - [4]
1124 c - [8]
1125 c - [5]
1126 p - [13]
1127 p - [7]
1128 c - [4]
1129 c - [8]
1130 c - [9]
1131 p - [12]
1132 p - [18]
1133 c - [8]
1134 c - [5]
1135 p - [17]
1136 p - [77]
1137 p - [64]
1138 c - [13]
1139 c - [10]
1140 p - [15]
1141 p - [48]
1142 c - [8]
1143 c - [16]
1144 c - [7]
1145 c - [13]
1146 p - [11]
1147 p - [9]
1148 c - [14]
1149 c - [14]
1150 c - [21]
1151 p - [46]
1152 p - [32]
1153 c - [14]
1154 c - [80]
1155 c - [10]
1156 p - [12]
1157 p - [70]
1158 c - [31]
1159 c - [77]
1160 c - [10]
1161 p - [16]
1162 p - [21]
1163 p - [15]
1164 c - [65]
1165 c - [74]
1166 p - [73]
1167 p - [31]
1168 c - [16]
1169 c - [11]
1170 c - [68]
1171 p - [24]
1172 p - [37]
1173 c - [65]
1174 c - [66]
1175 c - [46]
1176 p - [18]
1177 p - [44]
1178 c - [65]
1179 c - [70]
1180 c - [18]
1181 p - [40]
1182 p - [15]
1183 c - [35]
1184 c - [10]
1185 c - [22]
1186 p - [46]
1187 p - [19]
1188 c - [12]
1189 c - [17]
1190 c - [16]
1191 p - [41]
1192 p - [22]
1193 c - [16]
1194 c - [19]
1195 c - [21]
1196 p - [28]
1197 p - [20]
1198 c - [19]
1199 c - [43]
1200 c - [38]
1201 p - [12]
1202 p - [59]
1203 c - [24]
1204 c - [14]
1205 c - [15]
1206 p - [46]
1207 p - [38]
1208 p - [14]
1209 c - [35]
1210 c - [35]
1211 p - [36]
1212 p - [55]
1213 c - [25]
1214 c - [14]
1215 c - [72]
1216 p - [80]
1217 p - [74]
1218 c - [31]
1219 c - [20]
1220 c - [9]
1221 p - [12]
1222 p - [30]
1223 c - [17]
1224 c - [41]
1225 c - [15]
1226 p - [11]
1227 p - [59]
1228 c - [24]
1229 c - [19]
1230 c - [19]
1231 p - [24]
1232 p - [30]
1233 c - [12]
1234 c - [20]
1235 c - [48]
1236 p - [19]
1237 p - [39]
1238 c - [22]
1239 c - [22]
1240 c - [48]
1241 p - [56]
1242 p + [86]
1243 c - [25]
1244 c - [16]
1245 c - [22]
1246 p - [22]
1247 p - [26]
1248 p - [39]
1249 c - [27]
1250 c - [66]
1251 p - [73]
1252 p - [37]
1253 c - [10]
1254 c - [17]
1255 c - [14]
1256 p - [15]
1257 p - [38]
1258 c - [40]
1259 c - [19]
1260 c - [66]
1261 u - [17]
1262 p - [17]
1263 p - [22]
1264 c - [20]
1265 c - [21]
1266 p - [12]
1267 p - [13]
1268 p - [10]
1269 c - [26]
1270 c - [6]
1271 p - [17]
1272 p - [18]
1273 c - [7]
1274 c - [18]
1275 c - [16]
1276 p - [10]
1277 p - [11]
1278 c - [17]
1279 c - [31]
1280 c - [16]
1281 p - [17]
1282 p - [6]
1283 p - [9]
1284 c - [14]
1285 c - [15]
1286 p - [14]
1287 p - [13]
1288 p - [8]
1289 c - [13]
1290 c - [24]
1291 p - [20]
1292 p - [11]
1293 c - [15]
1294 c - [16]
1295 c - [26]
1296 p - [12]
1297 p - [14]
1298 c - [15]
1299 c - [10]
1300 c - [6]
1301 p - [8]
1302 p - [5]
1303 c - [9]
1304 p + [92]
1305 c - [3]
1306 p - [14]
1307 p - [65]
1308 c - [6]
1309 c - [9]
1310 c - [10]
1311 p - [12]
1312 p - [3]
1313 p - [13]
1314 c - [13]
1315 c - [64]
1316 p - [67]
1317 p - [11]
1318 c - [17]
1319 c - [14]
1320 c - [11]
1321 p - [3]
1322 p - [11]
1323 c - [1]
1324 c - [13]
1325 c - [6]
1326 p - [3]
1327 p - [5]
1328 c - [10]
1329 c - [64]
1330 c - [8]
1331 p - [13]
1332 p - [10]
1333 c - [8]
1334 c - [21]
1335 c - [7]
1336 p - [8]
1337 p - [13]
1338 p - [6]
1339 c - [6]
1340 c - [3]
1341 p - [14]
1342 p - [8]
1343 c - [1]
1344 c - [24]
1345 c - [13]
1346 p - [12]
1347 p - [8]
1348 c - [17]
1349 c - [8]
1350 c - [17]
1351 p - [18]
1352 p - [6]
1353 p - [5]
1354 c - [14]
1355 c - [10]
1356 p - [11]
1357 p - [5]
1358 c - [12]
1359 c - [3]
1360 c - [6]
1361 p - [10]
1362 p - [10]
1363 c - [11]
1364 c - [4]
1365 c - [65]
1366 p - [64]
1367 p - [10]
1368 c - [10]
1369 c - [9]
1370 c - [6]
1371 p - [6]
1372 p - [6]
1373 c - [7]
1374 c - [13]
1375 c - [9]
1376 p - [12]
1377 p - [12]
1378 c - [9]
1379 c - [23]
1380 c - [6]
1381 p - [14]
1382 p - [20]
1383 c - [2]
1384 c - [67]
1385 c - [12]
1386 p - [6]
1387 p - [7]
1388 c - [8]
1389 c - [14]
1390 c - [10]
1391 p - [24]
1392 p - [20]
1393 p - [8]
1394 c - [9]
1395 c - [19]
1396 p - [20]
1397 p - [24]
1398 c - [13]
1399 c - [9]
1400 c - [13]
1401 p - [9]
1402 p - [7]
1403 c - [12]
1404 c - [12]
1405 c - [6]
1406 p - [9]
1407 p - [13]
1408 c - [20]
1409 c - [79]
1410 c - [74]
1411 p - [67]
1412 p + [83]
1413 p - [20]
1414 c - [73]
1415 c - [66]
1416 p - [64]
1417 p - [6]
1418 c - [11]
1419 c - [8]
1420 c - [67]
1421 p + [82]
1422 n - [63]
1423 c - [5]
1424 c - [3]
1425 c - [5]
1426 p - [9]
1427 p - [78]
1428 c - [74]
1429 l + [82]
1430 c - [80]
1431 c - [49]
1432 p - [5]
1433 p - [7]
1434 c - [75]
1435 c - [4]
1436 p - [5]
1437 p - [2]
1438 c - [3]
1439 c - [0]
1440 p - [33]
1441 c - [16]
1442 p - [6]
1443 p - [0]
1444 c - [80]
1445 c - [75]
1446 c - [5]
1447 p - [15]
1448 c - [2]
1449 c - [4]
1450 p - [32]
1451 p - [80]
1452 c - [1]
1453 p - [0]
1454 c - [0]
1455 p - [29]
1456 p - [4]
1457 c - [64]
1458 p - [68]
1459 c - [66]
1460 c - [69]
1461 c - [64]
1462 c - [2]
1463 p - [0]
1464 p - [2]
1465 c - [50]
1466 p - [56]
1467 p - [66]
1468 p - [64]
1469 c - [48]
1470 c - [0]
1471 p - [1]
1472 p - [49]
1473 c - [2]
1474 c - [10]
1475 c - [12]
1476 p - [0]
1477 p - [3]
1478 c - [3]
1479 p - [7]
1480 c - [48]
1481 c - [2]
1482 p - [3]
1483 c - [48]
1484 c - [64]
1485 p - [54]
1486 p - [65]
1487 c - [2]
1488 c - [0]
1489 c - [0]
1490 p - [3]
1491 c - [55]
1492 p - [41]
1493 p - [80]
1494 c - [41]
1495 c - [56]
1496 p - [53]
1497 c - [6]
1498 c - [0]
1499 c - [2]
1500 c - [2]
1501 p - [4]
1502 p - [1]
1503 p - [0]
1504 c - [48]
1505 c - [28]
1506 c - [47]
1507 p - [2]
1508 c - [0]
1509 p - [23]
1510 c - [64]
1511 p - [64]
1512 p - [64]
1513 c - [1]
1514 c - [47]
1515 c - [48]
1516 p - [64]
1517 c - [31]
1518 c - [3]
1519 c - [2]
1520 p - [16]
1521 p - [58]
1522 p - [79]
1523 c - [62]
1524 c - [53]
1525 c - [51]
1526 p - [48]
1527 p - [12]
1528 c - [16]
1529 c - [18]
1530 c - [8]
1531 p - [7]
1532 p - [5]
1533 c - [67]
1534 c - [64]
1535 c - [11]
1536 p - [1]
1537 p - [57]
1538 c - [4]
1539 c - [1]
1540 c - [4]
1541 p - [6]
1542 p - [8]
1543 p - [2]
1544 c - [4]
1545 c - [12]
1546 p - [16]
1547 p + [97]
1548 p - [27]
1549 c - [21]
1550 c - [12]
1551 p - [1]
1552 p - [2]
1553 p - [0]
1554 c - [68]
1555 c - [63]
1556 p - [62]
1557 p - [63]
1558 p - [48]
1559 c - [80]
1560 c - [68]
1561 p - [79]
1562 c - [24]
1563 p - [1]
1564 c - [52]
1565 c - [64]
1566 c - [18]
1567 p - [0]
1568 c - [0]
1569 c - [2]
1570 c - [47]
1571 p - [36]
1572 p - [50]
1573 c - [1]
1574 c - [0]
1575 c - [0]
1576 p - [1]
1577 p - [0]
1578 p - [1]
1579 c - [49]
1580 c - [48]
1581 p - [47]
1582 p - [4]
1583 c - [9]
1584 c - [3]
1585 c - [1]
1586 p - [1]
1587 p - [9]
1588 c - [18]
1589 c - [62]
1590 c - [57]
1591 p - [60]
1592 p - [63]
1593 c - [4]
1594 c - [6]
1595 c - [7]
1596 p - [4]
1597 p - [8]
1598 c - [6]
1599 c - [14]
1600 c - [16]
1601 p - [14]
1602 c - [38]
1603 c - [8]
1604 c - [14]
1605 c - [10]
1606 p - [16]
1607 p - [10]
1608 c - [19]
1609 c - [10]
1610 p - [65]
1611 c - [39]
1612 p - [26]
1613 p - [28]
1614 c - [67]
1615 c - [18]
1616 p - [13]
1617 p - [31]
1618 c - [20]
1619 c - [27]
1620 c - [55]
1621 p - [52]
1622 p - [16]
1623 c - [8]
1624 c - [13]
1625 c - [18]
1626 p - [13]
1627 p - [18]
1628 p - [12]
1629 c - [19]
1630 c - [26]
1631 p - [13]
1632 p - [29]
1633 c - [15]
1634 c - [26]
1635 c - [51]
1636 p - [53]
1637 p - [18]
1638 c - [19]
1639 c - [10]
1640 c - [20]
1641 p - [23]
1642 p - [61]
1643 c - [30]
1644 c - [14]
1645 c - [28]
1646 p - [18]
1647 p - [11]
1648 p - [21]
1649 c - [17]
1650 c - [9]
1651 p - [7]
1652 p - [13]
1653 p - [5]
1654 c - [13]
1655 c - [5]
1656 p - [7]
1657 p - [5]
