#TFM v1.0.8 by tritical
field = bottom
crc32 = 6e749f4d
245 p - [24]
246 p - [17]
247 c - [17]
248 c - [33]
249 c - [24]
250 p - [25]
251 p - [24]
252 c - [22]
253 c - [30]
254 c - [30]
255 p - [38]
256 p - [26]
257 c - [6]
258 c - [24]
259 c - [19]
260 p - [13]
261 p - [15]
262 c - [25]
263 c - [54]
264 c - [17]
265 p - [38]
266 p - [13]
267 c - [17]
268 c - [21]
269 c - [9]
270 p - [14]
271 p - [33]
272 c - [16]
273 c - [44]
274 c - [22]
275 p - [23]
276 p - [5]
277 c - [16]
278 c - [6]
279 c - [26]
280 p - [25]
281 p - [39]
282 c - [11]
283 c - [16]
284 c - [29]
285 p - [14]
286 p - [6]
287 c - [8]
288 c - [9]
289 c - [20]
290 p - [32]
291 p - [37]
292 c - [18]
293 c - [13]
294 c - [16]
295 p - [18]
296 p - [16]
297 c - [43]
298 c - [22]
299 c - [9]
300 p - [29]
301 p - [23]
302 c - [36]
303 c - [10]
304 c - [5]
305 p - [11]
306 p - [19]
307 c - [6]
308 c - [7]
309 c - [9]
310 p - [9]
311 p - [25]
312 c - [22]
313 c - [14]
314 l + [88]
315 p - [23]
316 p - [24]
317 c - [7]
318 l + [86]
319 l + [94]
320 p - [5]
321 p - [17]
322 c - [20]
323 c - [18]
324 c - [5]
325 p - [5]
326 p - [31]
327 c - [5]
328 c - [6]
329 c - [28]
330 p - [20]
331 p - [36]
332 c - [26]
333 c - [20]
334 c - [10]
335 p - [11]
336 p - [17]
337 c - [8]
338 c - [13]
339 c - [22]
340 p - [26]
341 p - [25]
342 c - [18]
343 c - [22]
344 c - [28]
345 p - [24]
346 p - [16]
347 c - [24]
348 c - [38]
349 c - [18]
350 c - [20]
351 c - [12]
352 c - [14]
353 c - [8]
354 c - [22]
355 c - [13]
356 p - [23]
357 l + [87]
358 c - [21]
359 c - [9]
360 p - [10]
361 p - [24]
362 c - [17]
363 c - [33]
364 c - [16]
365 c - [14]
366 p - [45]
367 c - [13]
368 c - [6]
369 c - [7]
370 p - [13]
371 p - [16]
372 c - [16]
373 c - [8]
374 c - [10]
375 p - [15]
376 p - [7]
377 p - [36]
378 c - [21]
379 c - [8]
380 p - [16]
381 p - [17]
382 c - [11]
383 c - [17]
384 c - [32]
385 p - [10]
386 p - [12]
387 c - [26]
388 c - [26]
389 c - [13]
390 p - [23]
391 p - [28]
392 c - [9]
393 c - [20]
394 c - [22]
395 p + [96]
396 p + [96]
397 c - [22]
398 c - [11]
399 c - [13]
400 p + [96]
401 p - [15]
402 c - [10]
403 c - [8]
404 c - [15]
405 p - [7]
406 p - [15]
407 c - [13]
408 c - [15]
409 c - [10]
410 p - [9]
411 p - [14]
412 c - [15]
413 l + [96]
414 c - [17]
415 p + [96]
416 p - [18]
417 c - [10]
418 c - [13]
419 c - [27]
420 p - [13]
421 p - [7]
422 c - [10]
423 c - [20]
424 c - [11]
425 p - [18]
426 p - [8]
427 c - [16]
428 c - [12]
429 c - [12]
430 p - [16]
431 p - [7]
432 c - [11]
433 p - [18]
434 c - [15]
435 c - [12]
436 c - [7]
437 c - [20]
438 l + [96]
439 l + [97]
440 c - [6]
441 c - [7]
442 c - [22]
443 c - [11]
444 l + [105]
445 c - [5]
446 c - [15]
447 c - [12]
448 c - [13]
449 c - [11]
450 l + [95]
451 l + [98]
452 c - [11]
453 c - [11]
454 c - [8]
455 c - [19]
456 c - [19]
457 l + [94]
458 l + [97]
459 c - [23]
460 c - [9]
461 c - [12]
462 l + [99]
463 c - [13]
464 c - [10]
465 c - [17]
466 c - [16]
467 c - [20]
468 c - [15]
469 c - [7]
470 p - [9]
471 c - [9]
472 c - [7]
473 c - [17]
474 c - [16]
475 l + [96]
476 c - [13]
477 c - [12]
478 c - [20]
479 c - [11]
480 l + [99]
481 l + [102]
482 l + [103]
483 l + [101]
484 c - [9]
485 c - [8]
486 l + [94]
487 c - [16]
488 c - [8]
489 c - [6]
490 c - [6]
491 p - [6]
492 c - [11]
493 c - [9]
494 c - [9]
495 c - [14]
496 c - [7]
497 c - [14]
498 c - [14]
499 c - [12]
500 c - [12]
501 c - [6]
502 l + [96]
503 c - [9]
504 c - [6]
505 c - [13]
506 c - [17]
507 c - [7]
508 c - [15]
509 c - [12]
510 p - [15]
511 c - [16]
512 c - [16]
513 c - [20]
514 c - [11]
515 c - [12]
516 c - [12]
517 c - [11]
518 c - [10]
519 c - [8]
520 c - [5]
521 c - [55]
522 c - [14]
523 c - [16]
524 p - [23]
525 p - [13]
526 c - [17]
527 l + [97]
528 c - [11]
529 p - [8]
530 p - [38]
531 c - [17]
532 c - [14]
533 c - [15]
534 p - [16]
535 p - [13]
536 c - [15]
537 c - [21]
538 c - [13]
539 c - [12]
540 c - [12]
541 p - [9]
542 c - [12]
543 c - [10]
544 c - [20]
545 c - [12]
546 c - [10]
547 c - [12]
548 c - [18]
549 c - [14]
550 c - [6]
551 c - [19]
552 c - [15]
553 c - [28]
554 p - [18]
555 p - [12]
556 c - [19]
557 c - [15]
558 l + [81]
559 p - [42]
560 p - [33]
561 c - [18]
562 c - [15]
563 c - [21]
564 p - [13]
565 p - [15]
566 c - [11]
567 c - [16]
568 c - [21]
569 p - [8]
570 p - [27]
571 c - [19]
572 c - [21]
573 c - [42]
574 p - [47]
575 p - [20]
576 c - [16]
577 c - [29]
578 c - [28]
579 p - [55]
580 p - [28]
581 c - [11]
582 c - [16]
583 c - [14]
584 p - [11]
585 p - [14]
586 p - [23]
587 c - [40]
588 c - [18]
589 p - [22]
590 p - [31]
591 c - [29]
592 c - [15]
593 c - [19]
594 p - [18]
595 p - [16]
596 c - [35]
597 c - [8]
598 c - [17]
599 p - [14]
600 p - [55]
601 c - [10]
602 c - [32]
603 c - [21]
604 p - [15]
605 p - [22]
606 c - [10]
607 c - [23]
608 c - [24]
609 p - [22]
610 p - [29]
611 c - [17]
612 c - [19]
613 c - [30]
614 p - [48]
615 p - [15]
616 c - [11]
617 c - [14]
618 c - [24]
619 p - [24]
620 p - [21]
621 p - [15]
622 c - [17]
623 c - [11]
624 p - [17]
625 p - [20]
626 c - [16]
627 c - [17]
628 c - [40]
629 p - [18]
630 p - [13]
631 c - [12]
632 l + [90]
633 c - [11]
634 p - [19]
635 p - [16]
636 c - [10]
637 c - [15]
638 c - [12]
639 p - [22]
640 p - [8]
641 c - [16]
642 c - [15]
643 c - [23]
644 p - [10]
645 p - [18]
646 c - [11]
647 c - [16]
648 c - [13]
649 p - [14]
650 p - [13]
651 c - [18]
652 c - [19]
653 c - [14]
654 p - [13]
655 p - [10]
656 c - [16]
657 c - [8]
658 l + [96]
659 p - [28]
660 p - [31]
661 c - [35]
662 c - [30]
663 c - [11]
664 c - [27]
665 c - [29]
666 c - [24]
667 c - [17]
668 c - [10]
669 c - [31]
670 l + [89]
671 l + [93]
672 c - [30]
673 c - [21]
674 l + [96]
675 l + [93]
676 l + [97]
677 c - [19]
678 c - [35]
679 c - [30]
680 c - [41]
681 c - [18]
682 c - [20]
683 c - [29]
684 c - [22]
685 c - [25]
686 c - [29]
687 p - [32]
688 c - [25]
689 l + [94]
690 p - [14]
691 c - [13]
692 c - [24]
693 c - [34]
694 c - [34]
695 c - [42]
696 c - [29]
697 c - [31]
698 c - [29]
699 c - [17]
700 c - [22]
701 c - [33]
702 l + [92]
703 c - [28]
704 c - [52]
705 c - [24]
706 c - [19]
707 c - [28]
708 c - [28]
709 c - [12]
710 c - [36]
711 c - [29]
712 c - [29]
713 c - [24]
714 c - [13]
715 c - [26]
716 c - [36]
717 c - [23]
718 c - [17]
719 c - [20]
720 p + [91]
721 l + [89]
722 l + [117]
723 c - [25]
724 p - [19]
725 c - [20]
726 c - [28]
727 c - [18]
728 p - [21]
729 c - [12]
730 c - [11]
731 c - [33]
732 c - [34]
733 c - [15]
734 c - [13]
735 c - [30]
736 c - [29]
737 c - [13]
738 c - [12]
739 p - [24]
740 c - [19]
741 c - [32]
742 c - [23]
743 c - [14]
744 c - [26]
745 c - [20]
746 l + [82]
747 c - [28]
748 c - [20]
749 c - [14]
750 c - [22]
751 c - [18]
752 c - [17]
753 c - [18]
754 c - [20]
755 l + [93]
756 l + [97]
757 l + [95]
758 l + [87]
759 l + [91]
760 c - [21]
761 c - [16]
762 c - [40]
763 c - [49]
764 l + [89]
765 l + [96]
766 c - [13]
767 c - [19]
768 p - [18]
769 c - [22]
770 c - [31]
771 c - [17]
772 l + [92]
773 c - [14]
774 c - [19]
775 l + [87]
776 l + [90]
777 l + [88]
778 c - [29]
779 l + [92]
780 p - [15]
781 c - [13]
782 l + [92]
783 c - [38]
784 p + [94]
785 c - [19]
786 c - [41]
787 c - [23]
788 p - [14]
789 c - [19]
790 l + [96]
791 c - [37]
792 l + [92]
793 p + [93]
794 c - [56]
795 c - [44]
796 c - [35]
797 c - [30]
798 p - [27]
799 c - [45]
800 l + [94]
801 l + [87]
802 c - [55]
803 l + [92]
804 c - [34]
805 c - [22]
806 c - [36]
807 c - [18]
808 l + [93]
809 l + [93]
810 c - [34]
811 c - [20]
812 c - [39]
813 l + [85]
814 l + [93]
815 c - [30]
816 c - [25]
817 c - [33]
818 c - [17]
819 c - [16]
820 l + [85]
821 c - [49]
822 c - [19]
823 c - [28]
824 p - [18]
825 c - [20]
826 c - [21]
827 c - [23]
828 c - [40]
829 c - [19]
830 c - [26]
831 l + [86]
832 l + [85]
833 l + [85]
834 c - [23]
835 c - [45]
836 c - [34]
837 c - [14]
838 c - [26]
839 l + [103]
840 c - [10]
841 c - [13]
842 p - [22]
843 c - [31]
844 c - [21]
845 c - [19]
846 c - [20]
847 c - [22]
848 c - [30]
849 c - [14]
850 c - [18]
851 c - [32]
852 c - [21]
853 c - [29]
854 c - [21]
855 c - [15]
856 c - [34]
857 c - [34]
858 c - [19]
859 c - [44]
860 c - [39]
861 c - [43]
862 c - [15]
863 c - [27]
864 c - [58]
865 c - [18]
866 p - [12]
867 c - [15]
868 c - [20]
869 c - [41]
870 l + [96]
871 c - [49]
872 c - [15]
873 c - [27]
874 c - [33]
875 c - [17]
876 p - [23]
877 c - [34]
878 c - [20]
879 p - [22]
880 c - [25]
881 c - [21]
882 c - [23]
883 l + [96]
884 c - [20]
885 c - [23]
886 c - [20]
887 c - [20]
888 c - [22]
889 c - [24]
890 c - [41]
891 c - [40]
892 c - [21]
893 c - [24]
894 c - [40]
895 c - [22]
896 c - [19]
897 c - [42]
898 c - [21]
899 c - [25]
900 c - [23]
901 c - [23]
902 c - [25]
903 c - [21]
904 c - [23]
905 c - [19]
906 c - [20]
907 c - [18]
908 c - [26]
909 c - [18]
910 c - [20]
911 c - [22]
912 c - [41]
913 c - [20]
914 c - [17]
915 c - [21]
916 c - [21]
917 c - [21]
918 c - [20]
919 c - [36]
920 c - [26]
921 c - [22]
922 c - [18]
923 c - [21]
924 c - [27]
925 c - [17]
926 c - [29]
927 c - [23]
928 c - [18]
929 c - [33]
930 c - [28]
931 c - [19]
932 c - [21]
933 c - [21]
934 c - [24]
935 c - [17]
936 c - [28]
937 c - [22]
938 c - [27]
939 c - [27]
940 c - [30]
941 c - [16]
942 c - [21]
943 c - [28]
944 p - [30]
945 c - [21]
946 c - [18]
947 c - [19]
948 c - [33]
949 c - [18]
950 c - [21]
951 c - [25]
952 c - [20]
953 c - [24]
954 c - [19]
955 c - [22]
956 c - [29]
957 c - [22]
958 p - [20]
959 c - [19]
960 c - [23]
961 c - [17]
962 c - [23]
963 c - [22]
964 c - [39]
965 c - [19]
966 c - [26]
967 c - [16]
968 c - [25]
969 c - [24]
970 c - [29]
971 c - [24]
972 c - [18]
973 c - [22]
974 c - [17]
975 c - [19]
976 c - [22]
977 c - [26]
978 c - [41]
979 c - [22]
980 c - [22]
981 c - [21]
982 c - [25]
983 c - [17]
984 c - [33]
985 c - [42]
986 c - [19]
987 c - [21]
988 c - [49]
989 c - [17]
990 c - [50]
991 c - [38]
992 c - [37]
993 c - [25]
994 c - [22]
995 p - [26]
996 c - [23]
997 c - [28]
998 c - [48]
999 c - [23]
1000 c - [16]
1001 c - [20]
1002 c - [36]
1003 c - [19]
1004 c - [28]
1005 c - [21]
1006 c - [23]
1007 c - [19]
1008 c - [25]
1009 l + [94]
1010 c - [30]
1011 c - [36]
1012 c - [23]
1013 c - [21]
1014 c - [18]
1015 c - [27]
1016 c - [16]
1017 p - [15]
1018 c - [20]
1019 c - [24]
1020 c - [20]
1021 c - [20]
1022 c - [20]
1023 c - [22]
1024 c - [24]
1025 c - [19]
1026 c - [25]
1027 c - [24]
1028 c - [35]
1029 c - [21]
1030 c - [24]
1031 c - [21]
1032 c - [20]
1033 c - [21]
1034 c - [22]
1035 c - [31]
1036 c - [24]
1037 c - [19]
1038 c - [24]
1039 c - [19]
1040 c - [24]
1041 c - [25]
1042 c - [20]
1043 c - [20]
1044 c - [19]
1045 c - [26]
1046 c - [26]
1047 c - [18]
1048 p - [24]
1049 c - [18]
1050 c - [26]
1051 c - [21]
1052 c - [32]
1053 c - [21]
1054 l + [96]
1055 c - [22]
1056 c - [30]
1057 c - [24]
1058 c - [28]
1059 l + [96]
1060 c - [28]
1061 c - [26]
1062 c - [19]
1063 c - [22]
1064 p - [23]
1065 c - [16]
1066 c - [20]
1067 p - [21]
1068 c - [29]
1069 c - [22]
1070 c - [21]
1071 c - [22]
1072 c - [30]
1073 c - [26]
1074 c - [24]
1075 c - [17]
1076 c - [22]
1077 c - [22]
1078 l + [96]
1079 c - [20]
1080 l + [91]
1081 c - [18]
1082 c - [20]
1083 c - [21]
1084 c - [17]
1085 c - [20]
1086 l + [92]
1087 c - [20]
1088 c - [24]
1089 c - [22]
1090 c - [19]
1091 c - [18]
1092 c - [30]
1093 c - [24]
1094 c - [20]
1095 c - [20]
1096 c - [17]
1097 l + [94]
1098 l + [89]
1099 c - [18]
1100 c - [27]
1101 c - [22]
1102 c - [16]
1103 c - [25]
1104 c - [18]
1105 c - [19]
1106 c - [17]
1107 c - [22]
1108 c - [22]
1109 l + [96]
1110 l + [95]
1111 c - [17]
1112 c - [20]
1113 c - [21]
1114 c - [20]
1115 c - [46]
1116 c - [20]
1117 c - [29]
1118 c - [19]
1119 c - [27]
1120 c - [19]
1121 c - [25]
1122 l + [86]
1123 c - [22]
1124 c - [17]
1125 c - [17]
1126 l + [96]
1127 l + [96]
1128 l + [93]
1129 c - [18]
1130 c - [23]
1131 c - [27]
1132 c - [28]
1133 c - [24]
1134 c - [23]
1135 c - [17]
1136 c - [26]
1137 c - [27]
1138 c - [23]
1139 c - [30]
1140 l + [89]
1141 c - [22]
1142 c - [20]
1143 c - [25]
1144 c - [20]
1145 c - [16]
1146 c - [21]
1147 c - [18]
1148 c - [23]
1149 c - [23]
1150 p - [45]
1151 c - [31]
1152 c - [26]
1153 l + [96]
1154 c - [17]
1155 c - [21]
1156 c - [21]
1157 c - [28]
1158 c - [19]
1159 c - [20]
1160 c - [20]
1161 c - [15]
1162 c - [22]
1163 l + [96]
1164 l + [96]
1165 l + [96]
1166 l + [96]
1167 c - [19]
1168 c - [19]
1169 p - [15]
1170 c - [21]
1171 l + [93]
1172 c - [22]
1173 c - [21]
1174 c - [24]
1175 c - [20]
1176 c - [34]
1177 c - [17]
1178 c - [20]
1179 c - [19]
1180 c - [33]
1181 c - [19]
1182 c - [22]
1183 c - [16]
1184 c - [19]
1185 c - [26]
1186 c - [24]
1187 c - [20]
1188 c - [34]
1189 c - [19]
1190 c - [22]
1191 c - [21]
1192 c - [22]
1193 c - [20]
1194 c - [19]
1195 c - [21]
1196 c - [30]
1197 c - [24]
1198 c - [18]
1199 c - [20]
1200 c - [19]
1201 c - [20]
1202 c - [28]
1203 c - [26]
1204 c - [25]
1205 c - [23]
1206 c - [23]
1207 c - [23]
1208 c - [24]
1209 c - [21]
1210 c - [29]
1211 c - [18]
1212 c - [38]
1213 c - [20]
1214 c - [21]
1215 c - [19]
1216 c - [24]
1217 c - [44]
1218 c - [20]
1219 c - [26]
1220 c - [22]
1221 c - [20]
1222 c - [24]
1223 c - [17]
1224 c - [21]
1225 c - [18]
1226 c - [45]
1227 c - [20]
1228 l + [96]
1229 c - [19]
1230 c - [19]
1231 c - [17]
1232 c - [24]
1233 c - [25]
1234 c - [18]
1235 c - [17]
1236 c - [19]
1237 c - [23]
1238 c - [20]
1239 l + [95]
1240 l + [96]
1241 c - [20]
1242 c - [28]
1243 c - [22]
1244 c - [21]
1245 p - [16]
1246 c - [24]
1247 c - [15]
1248 c - [28]
1249 c - [20]
1250 c - [41]
1251 c - [19]
1252 c - [17]
1253 c - [20]
1254 c - [20]
1255 c - [18]
1256 c - [45]
1257 c - [41]
1258 c - [18]
1259 c - [22]
1260 c - [16]
1261 c - [17]
1262 c - [19]
1263 c - [10]
1264 c - [21]
1265 c - [9]
1266 c - [9]
1267 c - [22]
1268 c - [16]
1269 p - [22]
1270 c - [26]
1271 c - [14]
1272 c - [43]
1273 c - [21]
1274 p - [11]
1275 c - [13]
1276 c - [15]
1277 c - [13]
1278 p + [82]
1279 c - [24]
1280 c - [38]
1281 c - [23]
1282 c - [20]
1283 c - [34]
1284 c - [23]
1285 c - [21]
1286 c - [18]
1287 c - [35]
1288 c - [26]
1289 p - [33]
1290 c - [31]
1291 c - [60]
1292 p - [16]
1293 p - [33]
1294 c - [24]
1295 p - [28]
1296 c - [20]
1297 c - [30]
1298 c - [34]
1299 p - [14]
1300 c - [23]
1301 c - [19]
1302 c - [20]
1303 p - [24]
1304 p - [14]
1305 c - [31]
1306 c - [20]
1307 c - [16]
1308 c - [25]
1309 p - [20]
1310 c - [22]
1311 c - [24]
1312 c - [10]
1313 c - [26]
1314 c - [21]
1315 c - [10]
1316 c - [14]
1317 c - [46]
1318 c - [10]
1319 c - [8]
1320 c - [10]
1321 c - [5]
1322 p - [11]
1323 p - [16]
1324 c - [17]
1325 c - [20]
1326 c - [13]
1327 c - [21]
1328 c - [52]
1329 c - [51]
1330 c - [19]
1331 c - [15]
1332 c - [10]
1333 c - [23]
1334 p - [22]
1335 p - [16]
1336 c - [21]
1337 c - [16]
1338 p - [17]
1339 c - [17]
1340 c - [9]
1341 c - [25]
1342 c - [9]
1343 p - [17]
1344 c - [12]
1345 c - [12]
1346 c - [15]
1347 c - [24]
1348 c - [16]
1349 p - [13]
1350 c - [15]
1351 c - [26]
1352 c - [27]
1353 p - [16]
1354 c - [25]
1355 c - [6]
1356 c - [36]
1357 c - [16]
1358 c - [24]
1359 c - [11]
1360 c - [13]
1361 c - [32]
1362 c - [44]
1363 c - [50]
1364 p - [24]
1365 c - [25]
1366 c - [14]
1367 c - [23]
1368 c - [37]
1369 p - [41]
1370 c - [19]
1371 c - [23]
1372 c - [16]
1373 c - [20]
1374 c - [17]
1375 c - [17]
1376 c - [29]
1377 p - [22]
1378 c - [26]
1379 c - [18]
1380 c - [23]
1381 c - [20]
1382 c - [31]
1383 c - [8]
1384 c - [13]
1385 c - [7]
1386 p - [18]
1387 c - [9]
1388 c - [16]
1389 c - [9]
1390 c - [11]
1391 c - [31]
1392 c - [9]
1393 c - [11]
1394 c - [27]
1395 c - [10]
1396 c - [17]
1397 p - [12]
1398 c - [10]
1399 c - [25]
1400 c - [20]
1401 c - [24]
1402 c - [19]
1403 c - [15]
1404 c - [16]
1405 c - [21]
1406 c - [12]
1407 c - [28]
1408 c - [15]
1409 c - [12]
1410 c - [30]
1411 c - [21]
1412 c - [16]
1413 c - [9]
1414 c - [15]
1415 c - [20]
1416 c - [21]
1417 c - [25]
1418 c - [14]
1419 c - [10]
1420 c - [8]
1421 c - [16]
1422 c - [36]
1423 c - [18]
1424 c - [25]
1425 c - [23]
1426 c - [25]
1427 c - [15]
1428 p - [37]
1429 c - [36]
1430 c - [18]
1431 c - [12]
1432 c - [20]
1433 c - [20]
1434 c - [12]
1435 c - [24]
1436 c - [18]
1437 c - [13]
1438 c - [13]
1439 p - [27]
1440 c - [16]
1441 c - [15]
1442 c - [27]
1443 c - [15]
1444 p - [29]
1445 c - [11]
1446 c - [28]
1447 c - [17]
1448 c - [10]
1449 c - [38]
1450 c - [19]
1451 c - [26]
1452 c - [16]
1453 c - [7]
1454 c - [19]
1455 c - [27]
1456 c - [29]
1457 c - [35]
1458 c - [18]
1459 c - [59]
1460 c - [23]
1461 c - [13]
1462 c - [16]
1463 c - [18]
1464 c - [21]
1465 c - [40]
1466 l + [84]
1467 c - [14]
1468 c - [15]
1469 c - [17]
1470 c - [16]
1471 c - [15]
1472 p - [11]
1473 c - [16]
1474 c - [18]
1475 c - [40]
1476 c - [11]
1477 l + [93]
1478 c - [26]
1479 c - [36]
1480 c - [15]
1481 c - [19]
1482 c - [25]
1483 l + [88]
1484 l + [96]
1485 c - [33]
1486 c - [46]
1487 c - [18]
1488 c - [28]
1489 c - [13]
1490 c - [11]
1491 c - [19]
1492 c - [19]
1493 c - [17]
1494 c - [28]
1495 c - [22]
1496 c - [7]
1497 c - [28]
1498 l + [85]
1499 c - [24]
1500 c - [31]
1501 c - [10]
1502 l + [81]
1503 l + [82]
1504 l + [81]
1505 c - [38]
1506 c - [48]
1507 c - [19]
1508 c - [31]
1509 l + [92]
1510 l + [93]
1511 c - [16]
1512 c - [10]
1513 c - [13]
1514 l + [82]
1515 c - [25]
1516 c - [7]
1517 c - [16]
1518 c - [22]
1519 c - [14]
1520 c - [37]
1521 c - [9]
1522 c - [13]
1523 c - [18]
1524 p - [28]
1525 l + [96]
1526 c - [10]
1527 c - [13]
1528 c - [30]
1529 c - [25]
1530 c - [16]
1531 c - [15]
1532 c - [22]
1533 l + [81]
1534 c - [11]
1535 c - [15]
1536 l + [82]
1537 c - [25]
1538 c - [11]
1539 c - [10]
1540 c - [9]
1541 l + [85]
1542 p + [85]
1543 c - [34]
1544 c - [41]
1545 c - [16]
1546 c - [12]
1547 c - [11]
1548 c - [28]
1549 c - [28]
1550 c - [16]
1551 c - [33]
1552 c - [9]
1553 c - [21]
1554 l + [82]
1555 c - [17]
1556 c - [8]
1557 c - [47]
1558 c - [12]
1559 c - [40]
1560 c - [7]
1561 c - [29]
1562 c - [14]
1563 c - [13]
1564 p - [28]
1565 c - [29]
1566 c - [17]
1567 c - [12]
1568 c - [12]
1569 c - [17]
1570 p - [21]
1571 c - [34]
1572 c - [28]
1573 c - [41]
1574 c - [35]
1575 c - [22]
1576 c - [27]
1577 c - [13]
1578 c - [19]
1579 p - [28]
1580 c - [13]
1581 c - [18]
1582 c - [29]
1583 p - [18]
1584 c - [18]
1585 c - [23]
1586 c - [8]
1587 c - [31]
1588 c - [34]
1589 c - [27]
1590 c - [27]
1591 c - [21]
1592 c - [20]
1593 c - [32]
1594 p - [38]
1595 c - [35]
1596 c - [14]
1597 c - [22]
1598 c - [24]
1599 c - [80]
1600 c - [26]
1601 c - [27]
1602 c - [19]
1603 c - [34]
1604 c - [33]
1605 p - [34]
1606 c - [35]
1607 c - [53]
1608 c - [18]
1609 c - [38]
1610 c - [49]
1611 c - [39]
1612 c - [31]
1613 c - [51]
1614 p - [43]
1615 c - [27]
1616 n - [26]
1617 c - [25]
1618 p - [16]
1619 p - [44]
1620 c - [19]
1621 p - [20]
1622 c - [21]
1623 p - [30]
1624 c - [26]
1625 c - [14]
1626 c - [36]
1627 c - [17]
1628 c - [20]
1629 c - [24]
1630 c - [9]
1631 p - [25]
1632 c - [29]
1633 c - [29]
1634 c - [19]
1635 c - [26]
1636 c - [19]
1637 c - [30]
1638 c - [22]
1639 c - [11]
1640 p - [12]
1641 c - [18]
1642 c - [16]
1643 c - [23]
1644 c - [16]
1645 c - [28]
1646 c - [11]
1647 p - [15]
1648 c - [26]
1649 c - [24]
1650 p - [32]
1651 c - [25]
1652 c - [17]
1653 c - [24]
1654 p - [22]
1655 c - [25]
1656 c - [27]
1657 p - [22]
